Group,Order,PeriodMechanicalDeg,AmplitudeMeanDeg,AmplitudeSDDeg,EnergyRatioMean,PhaseCircularMeanDeg,PhaseCoherence
ALL,1,360.0,0.2546613683900867,0.047928312800347934,0.06139172946902636,-25.719524096318473,0.9525639102873118
ALL,2,180.0,0.23046066519933672,0.031374548754189026,0.04827776520482182,2.3423755405182574,0.33194478313395875
ALL,3,120.0,0.044880378494674786,0.028645316030120563,0.0026521486880729745,15.263806104975894,0.6593217481964936
ALL,4,90.0,0.03991738856619138,0.024328322726024833,0.0019931393354337005,53.984825861098905,0.6187516558711107
ALL,5,72.0,0.03716724533036499,0.007088177615895485,0.0013062186937723575,-10.60213364185679,0.6349150351744629
ALL,6,60.0,0.03976218203014826,0.018801990527470728,0.0018060405973774213,74.67005981722288,0.1570685177129969
ALL,7,51.42857142857143,0.043458496324374464,0.019213395623241016,0.002102696008389946,2.810309715816167,0.7296733273936454
ALL,8,45.0,0.03213239408959985,0.014743358171467947,0.0011638306494644588,21.876426841792817,0.31460552600710595
ALL,9,40.0,0.29370027486431427,0.10497353873259949,0.08449222931781489,79.60454230840907,0.47615513704527496
ALL,10,36.0,0.0312805424715018,0.002614250056125717,0.0008918267038550637,43.900684308694025,0.1435182247272726
ALL,11,32.72727272727273,0.03768921192381251,0.004808232357224264,0.0013074833557955392,136.21433941399002,0.02794142411853333
ALL,12,30.0,0.026375622594085733,0.005270887652552851,0.000646278356455634,-99.0577579124836,0.4771655270016431
ALL,13,27.692307692307693,0.027129144785617,0.007636469831962978,0.000714062018993956,13.095417732709729,0.02175700412622012
ALL,14,25.714285714285715,0.020806147698211784,0.010544245156199285,0.0004783050370553843,52.619108483961796,0.10064399674037247
ALL,15,24.0,0.018682223831392362,0.006314805870213636,0.0003420974244828698,105.60307294663338,0.5570831818461351
ALL,16,22.5,0.018304274000882227,0.0108331972679434,0.00038934621507568566,98.2697853063455,0.6057962897291795
ALL,17,21.176470588235293,0.015527268277301318,0.0050498207250209955,0.00024141698440164312,84.44519964234246,0.564730877235512
