"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"122","ALIGN_RAMP","29677","3","16.4794921875","-1","-1000","-6000000","24400","19932","19932","0","2902","1336","1916"
"123","ALIGN_RAMP","29675","1","5.4931640625","-2","-2000","-1000000","24600","19933","19933","0","2902","1336","1826"
"124","ALIGN_RAMP","29675","1","5.4931640625","0","0","2000000","24800","19934","19934","0","2902","1336","1736"
"125","ALIGN_RAMP","29678","4","21.97265625","3","3000","3000000","25000","19935","19935","0","2902","1336","1646"
"126","ALIGN_RAMP","29675","1","5.4931640625","-3","-3000","-6000000","25200","19936","19936","0","2902","1336","1556"
"127","ALIGN_RAMP","29673","-1","-5.4931640625","-2","-2000","1000000","25400","19937","19937","0","2902","1336","1466"
"128","ALIGN_RAMP","29678","4","21.97265625","5","5000","7000000","25600","19938","19938","0","2902","1336","1376"
"129","ALIGN_RAMP","29676","2","10.986328125","-2","-2000","-7000000","25800","19939","19939","0","2902","1336","1286"
"130","ALIGN_RAMP","29679","5","27.4658203125","3","3000","5000000","26000","19940","19940","0","2902","1336","1196"
"131","ALIGN_RAMP","29675","1","5.4931640625","-4","-4000","-7000000","26200","19941","19941","0","2902","1336","1106"
"132","ALIGN_RAMP","29680","6","32.958984375","5","5000","9000000","26400","19942","19942","0","2902","1336","1016"
"133","ALIGN_RAMP","29674","0","0","-6","-6000","-11000000","26600","19943","19943","0","2902","1336","926"
"134","ALIGN_RAMP","29677","3","16.4794921875","3","3000","9000000","26800","19944","19944","0","2902","1336","836"
"135","ALIGN_RAMP","29676","2","10.986328125","-1","-1000","-4000000","27000","19945","19945","0","2902","1336","746"
"136","ALIGN_RAMP","29676","2","10.986328125","0","0","1000000","27200","19946","19946","0","2902","1336","656"
"137","ALIGN_RAMP","29679","5","27.4658203125","3","3000","3000000","27400","19947","19947","0","2902","1336","566"
"138","ALIGN_RAMP","29676","2","10.986328125","-3","-3000","-6000000","27600","19948","19948","0","2902","1336","476"
"139","ALIGN_RAMP","29676","2","10.986328125","0","0","3000000","27800","19949","19949","0","2902","1336","386"
"140","ALIGN_RAMP","29677","3","16.4794921875","1","1000","1000000","28000","19950","19950","0","2902","1336","296"
"141","ALIGN_RAMP","29675","1","5.4931640625","-2","-2000","-3000000","28200","19951","19951","0","2902","1336","206"
"142","ALIGN_RAMP","29673","-1","-5.4931640625","-2","-2000","0","28400","19952","19952","0","2902","1336","116"
"143","ALIGN_RAMP","29675","1","5.4931640625","2","2000","4000000","28600","19953","19953","0","2902","1336","26"
"144","ALIGN_RAMP","29676","2","10.986328125","1","1000","-1000000","28800","19954","19954","0","2902","1336","2091"
"145","ALIGN_RAMP","29677","3","16.4794921875","1","1000","0","29000","19955","19955","0","2902","1336","2001"
"146","ALIGN_RAMP","29674","0","0","-3","-3000","-4000000","29200","19956","19956","0","2902","1336","1911"
"147","ALIGN_RAMP","29674","0","0","0","0","3000000","29400","19957","19957","0","2902","1336","1821"
"148","ALIGN_RAMP","29673","-1","-5.4931640625","-1","-1000","-1000000","29600","19958","19958","0","2902","1336","1731"
"149","ALIGN_RAMP","29673","-1","-5.4931640625","0","0","1000000","29800","19959","19959","0","2902","1336","1641"
"150","ALIGN_RAMP","29679","5","27.4658203125","6","6000","6000000","30000","19960","19960","0","2902","1336","1551"
"151","ALIGN_RAMP","29675","1","5.4931640625","-4","-4000","-10000000","30200","19961","19961","0","2902","1336","1461"
"152","ALIGN_RAMP","29676","2","10.986328125","1","1000","5000000","30400","19962","19962","0","2902","1336","1371"
"153","ALIGN_RAMP","29675","1","5.4931640625","-1","-1000","-2000000","30600","19963","19963","0","2902","1336","1281"
"154","ALIGN_RAMP","29671","-3","-16.4794921875","-4","-4000","-3000000","30800","19964","19964","0","2902","1336","1191"
"155","ALIGN_RAMP","29677","3","16.4794921875","6","6000","10000000","31000","19965","19965","0","2902","1336","1101"
"156","ALIGN_RAMP","29679","5","27.4658203125","2","2000","-4000000","31200","19966","19966","0","2902","1336","1011"
"157","ALIGN_RAMP","29676","2","10.986328125","-3","-3000","-5000000","31400","19967","19967","0","2902","1336","921"
"158","ALIGN_RAMP","29675","1","5.4931640625","-1","-1000","2000000","31600","19968","19968","0","2902","1336","831"
"159","ALIGN_RAMP","29676","2","10.986328125","1","1000","2000000","31800","19969","19969","0","2902","1336","741"
"160","ALIGN_RAMP","29673","-1","-5.4931640625","-3","-3000","-4000000","32000","19970","19970","0","2902","1336","651"
"161","ALIGN_RAMP","29674","0","0","1","1000","4000000","32200","19971","19971","0","2902","1336","561"
"162","ALIGN_RAMP","29673","-1","-5.4931640625","-1","-1000","-2000000","32400","19972","19972","0","2902","1336","471"
"163","ALIGN_RAMP","29673","-1","-5.4931640625","0","0","1000000","32600","19973","19973","0","2902","1336","381"
"164","ALIGN_RAMP","29671","-3","-16.4794921875","-2","-2000","-2000000","32800","19974","19974","0","2902","1336","291"
"165","ALIGN_RAMP","29676","2","10.986328125","5","5000","7000000","33000","19975","19975","0","2902","1336","201"
"166","ALIGN_RAMP","29678","4","21.97265625","2","2000","-3000000","33200","19976","19976","0","2902","1336","111"
"167","ALIGN_RAMP","29676","2","10.986328125","-2","-2000","-4000000","33400","19977","19977","0","2902","1336","21"
"168","ALIGN_RAMP","29672","-2","-10.986328125","-4","-4000","-2000000","33600","19978","19978","0","2902","1336","2086"
"169","ALIGN_RAMP","29676","2","10.986328125","4","4000","8000000","33800","19979","19979","0","2902","1336","1996"
"170","ALIGN_RAMP","29676","2","10.986328125","0","0","-4000000","34000","19980","19980","0","2902","1336","1906"
"171","ALIGN_RAMP","29674","0","0","-2","-2000","-2000000","34200","19981","19981","0","2902","1336","1816"
"172","ALIGN_RAMP","29678","4","21.97265625","4","4000","6000000","34400","19982","19982","0","2902","1336","1726"
"173","ALIGN_RAMP","29677","3","16.4794921875","-1","-1000","-5000000","34600","19983","19983","0","2902","1336","1636"
"174","ALIGN_RAMP","29675","1","5.4931640625","-2","-2000","-1000000","34800","19984","19984","0","2902","1336","1546"
"175","ALIGN_RAMP","29677","3","16.4794921875","2","2000","4000000","35000","19985","19985","0","2902","1336","1456"
"176","ALIGN_RAMP","29673","-1","-5.4931640625","-4","-4000","-6000000","35200","19986","19986","0","2902","1336","1366"
"177","ALIGN_RAMP","29673","-1","-5.4931640625","0","0","4000000","35400","19987","19987","0","2902","1336","1276"
"178","ALIGN_RAMP","29673","-1","-5.4931640625","0","0","0","35600","19988","19988","0","2902","1336","1186"
"179","ALIGN_RAMP","29675","1","5.4931640625","2","2000","2000000","35800","19989","19989","0","2902","1336","1096"
"180","ALIGN_RAMP","29673","-1","-5.4931640625","-2","-2000","-4000000","36000","19990","19990","0","2902","1336","1006"
"181","ALIGN_RAMP","29670","-4","-21.97265625","-3","-3000","-1000000","36200","19991","19991","0","2902","1336","916"
"182","ALIGN_RAMP","29674","0","0","4","4000","7000000","36400","19992","19992","0","2902","1336","826"
"183","ALIGN_RAMP","29674","0","0","0","0","-4000000","36600","19993","19993","0","2902","1336","736"
"184","ALIGN_RAMP","29678","4","21.97265625","4","4000","4000000","36800","19994","19994","0","2902","1336","646"
"185","ALIGN_RAMP","29671","-3","-16.4794921875","-7","-7000","-11000000","37000","19995","19995","0","2902","1336","556"
"186","ALIGN_RAMP","29674","0","0","3","3000","10000000","37200","19996","19996","0","2902","1336","466"
"187","ALIGN_RAMP","29675","1","5.4931640625","1","1000","-2000000","37400","19997","19997","0","2902","1336","376"
"188","ALIGN_RAMP","29672","-2","-10.986328125","-3","-3000","-4000000","37600","19998","19998","0","2902","1336","286"
"189","ALIGN_RAMP","29670","-4","-21.97265625","-2","-2000","1000000","37800","19999","19999","0","2902","1336","196"
"190","ALIGN_RAMP","29671","-3","-16.4794921875","1","1000","3000000","38000","20000","20000","0","2902","1336","106"
"191","ALIGN_RAMP","29675","1","5.4931640625","4","4000","3000000","38200","20001","20001","0","2902","1336","16"
"192","ALIGN_RAMP","29669","-5","-27.4658203125","-6","-6000","-10000000","38400","20002","20002","0","2902","1336","2081"
"193","ALIGN_RAMP","29675","1","5.4931640625","6","6000","12000000","38600","20003","20003","0","2902","1336","1991"
"194","ALIGN_RAMP","29677","3","16.4794921875","2","2000","-4000000","38800","20004","20004","0","2902","1336","1901"
"195","ALIGN_RAMP","29675","1","5.4931640625","-2","-2000","-4000000","39000","20005","20005","0","2902","1336","1811"
"196","ALIGN_RAMP","29671","-3","-16.4794921875","-4","-4000","-2000000","39200","20006","20006","0","2902","1336","1721"
"197","ALIGN_RAMP","29676","2","10.986328125","5","5000","9000000","39400","20007","20007","0","2902","1336","1631"
"198","ALIGN_RAMP","29669","-5","-27.4658203125","-7","-7000","-12000000","39600","20008","20008","0","2902","1336","1541"
"199","ALIGN_RAMP","29670","-4","-21.97265625","1","1000","8000000","39800","20009","20009","0","2902","1336","1451"
