motor_id,jig_id,test_id,sweep_id,run_order,run_role,eligible_for_statistics,eligibility_source,analysis_points,closure_index,shadow_contract_version,officially_valid,problems,rms_ac,raw_p2p,system_inl_deg,robust_p2p,closure_error_deg,tracking_rms_deg,tracking_max_abs_deg,mean_dc,p99_abs_deviation,A1,A2,A3,A6,A9,A12,A18,A27,A36,A45,A72,A108
UNKNOWN,JIG7,1,1,0,PRECONDITION,False,DECLARED_ROLE,360,360,,False,META.RunRole=PRECONDITION (excluded from official statistics); META.EligibleForStatistics=0 (excluded from official statistics),0.7600727101753023,3.062610626220703,1.5313053131103516,2.948301315307617,0.03424644470214844,0.8330928682030988,1.8731689453125,0.3476567268371582,1.52164888381958,0.21204470751683233,0.10113206809282484,0.029155064176258683,0.02078808188135199,0.4306171347849217,0.10330275813486431,0.04111227890033397,0.10658815348344168,0.8998079470496312,0.12855726176412663,0.18317839630864674,0.09467345280813264
UNKNOWN,JIG7,2,2,1,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7531831421353841,3.1009769439697266,1.5504884719848633,2.9379329681396484,-0.03579139709472656,0.8214782801071949,1.8896484375,0.3277614116668701,1.5082767009735107,0.20388931708758457,0.09662445110564433,0.031710471386395704,0.014629188904163374,0.43157719441139925,0.10059185199191997,0.0429438067752468,0.10031341235383874,0.8922530352457823,0.12880872218072167,0.18056690897377867,0.09459403950491305
UNKNOWN,JIG7,3,3,2,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7549038007943702,3.092479705810547,1.5462398529052734,2.9468421936035156,0.025835037231445312,0.8296025685565709,1.8951416015625,0.3456153869628906,1.5324821472167969,0.2154148908293511,0.10269416051764424,0.031465630091021296,0.01858267249922869,0.42981078329881817,0.09913333187794802,0.04154675632237523,0.10510192105049823,0.8920403146627494,0.12922464063877354,0.17932769226122722,0.09515321776992562
UNKNOWN,JIG7,4,4,3,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7545758233321561,3.129901885986328,1.564950942993164,2.97235107421875,-0.013904571533203125,0.8105444824711241,1.8621826171875,0.2988090515136719,1.5372600555419922,0.21581873671514826,0.10141414369519323,0.03304443183926825,0.019103582173246987,0.4332255149484624,0.10315634901437175,0.03684692371320124,0.1022453568297417,0.8907662996282062,0.12667425615058714,0.1793217817521094,0.09775213318771195
UNKNOWN,JIG7,5,5,4,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7520611479436028,3.1551361083984375,1.5775680541992188,2.964763641357422,-0.03527641296386719,0.8089986017687781,1.8731689453125,0.30078792572021484,1.531428337097168,0.21491382956793142,0.10302268039119705,0.03167013373510264,0.014684757727194759,0.4311631452932179,0.09670432361023369,0.042563671749732676,0.10191170196497593,0.8883984085308322,0.12856144426156668,0.1772167471773973,0.09508684499435316
UNKNOWN,JIG7,6,6,5,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.754340759107683,3.086214065551758,1.543107032775879,2.9336414337158203,-0.013990402221679688,0.8268266111269884,1.856689453125,0.34200286865234375,1.5092792510986328,0.21823758401887092,0.10118100585721214,0.032209531343685774,0.016921348165564454,0.43592514882215255,0.09757100541628157,0.039455097434271745,0.10235328083553646,0.8880784559834021,0.12903132421669947,0.17920690506821457,0.09278447273646968
UNKNOWN,JIG7,7,7,6,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7498970732823022,3.0586624145507812,1.5293312072753906,2.9085445404052734,-0.010128021240234375,0.8180465087702479,1.86767578125,0.3238091468811035,1.5059552192687988,0.2131004258766783,0.10585658520875153,0.035581699559368574,0.02008009680240869,0.42899269276624885,0.09809448360932599,0.04280447237163408,0.0998522233558696,0.8861866667854513,0.12840047283307507,0.17574591102716533,0.0894843024987825
UNKNOWN,JIG7,8,8,7,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7548355289364542,3.1923866271972656,1.5961933135986328,2.995851516723633,-0.0624847412109375,0.7938617857160623,1.8621826171875,0.2636139392852783,1.5589706897735596,0.2114514026195578,0.11887265855903126,0.031373644470272695,0.02075616649984824,0.4302233372692235,0.1401875788808102,0.04407459638921738,0.10011456042345787,0.8860207374681766,0.12715453847461858,0.17721552478318528,0.09256659149390982
UNKNOWN,JIG7,9,9,8,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7575431770857862,3.160543441772461,1.5802717208862305,3.0063228607177734,-0.0185394287109375,0.818241676414754,1.8951416015625,0.314572811126709,1.5683016777038574,0.2136920090568642,0.12044678525988492,0.030500766225634694,0.01754461693610911,0.432963678203291,0.1429561337255882,0.04094428042782326,0.10237721710167323,0.8872854656048322,0.130769332612632,0.1772677584166578,0.09449485045931573
UNKNOWN,JIG7,10,10,9,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7546635091652835,3.161916732788086,1.580958366394043,2.994701385498047,0.014591217041015625,0.8242323441573358,1.9281005859375,0.3399012088775635,1.5516588687896729,0.21901165819505247,0.11920529731233315,0.026033729975547322,0.021220633670297733,0.4366337658995025,0.10530319375192944,0.04339928714039814,0.10427802188844913,0.8857430203138255,0.1302826180575814,0.17535493143887135,0.09175143722976778
