motor_id,jig_id,test_id,sweep_id,run_order,run_role,eligible_for_statistics,eligibility_source,analysis_points,closure_index,shadow_contract_version,officially_valid,problems,rms_ac,raw_p2p,system_inl_deg,robust_p2p,closure_error_deg,tracking_rms_deg,tracking_max_abs_deg,mean_dc,p99_abs_deviation,A1,A2,A3,A6,A9,A12,A18,A27,A36,A45,A72,A108
UNKNOWN,JIG8,1,1,0,PRECONDITION,False,DECLARED_ROLE,360,360,,False,META.RunRole=PRECONDITION (excluded from official statistics); META.EligibleForStatistics=0 (excluded from official statistics),0.7075192075250271,2.8279495239257812,1.4139747619628906,2.702962875366211,-0.04488945007324219,0.7690424941101016,1.7578125,0.3185768127441406,1.3638229370117188,0.21017480428927832,0.16320224741062284,0.0353006022238422,0.01487696828247362,0.1761348845674142,0.09808957982977415,0.1098897922854251,0.029390567797417774,0.8949552874906355,0.044400630101019585,0.19481313886235924,0.11683742138174044
UNKNOWN,JIG8,2,2,1,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7098544944626987,2.9006481170654297,1.4503240585327148,2.7554397583007812,-0.01373291015625,0.7694365553390116,1.790771484375,0.33048009872436523,1.391798496246338,0.2111415327164949,0.16490160002634832,0.035557279917678916,0.013779998936520182,0.1748011649833525,0.09683397293192524,0.10967986522259025,0.029096259790801257,0.89725393509822,0.0528129861322153,0.19692701266723028,0.1219087079301833
UNKNOWN,JIG8,3,3,2,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7106455337320472,2.852153778076172,1.426076889038086,2.7244720458984375,-0.04179954528808594,0.7644659509890259,1.768798828125,0.3037104606628418,1.3673272132873535,0.2120427967082982,0.16405447904771062,0.03494067285577887,0.014582302839017203,0.17506875422218737,0.09143010684765188,0.11043603764194532,0.02727283161141596,0.8978994179861332,0.046477673581382224,0.1996948925243877,0.12613325642438114
UNKNOWN,JIG8,4,4,3,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.711940388164512,2.83721923828125,1.418609619140625,2.7348403930664062,-0.05433082580566406,0.7687166110414272,1.746826171875,0.29407620429992676,1.3934814929962158,0.21027688560969512,0.1650089592771214,0.03416133087253108,0.012374982407419275,0.17457041946048507,0.09300243591796896,0.10916783283455003,0.028340987470891997,0.8991962712912056,0.04637397964874073,0.20262796378142867,0.1286156192464394
UNKNOWN,JIG8,5,5,4,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7101442519208044,2.8496646881103516,1.4248323440551758,2.7614479064941406,-0.03373146057128906,0.7702720418927436,1.7578125,0.3132302761077881,1.398559331893921,0.2105637196777999,0.1634397305000148,0.036346866703336776,0.015227133313566591,0.17560109397521115,0.09276526503470515,0.11234894267709121,0.028806158147493523,0.8968602388292073,0.04714207060311405,0.19965311735054367,0.12703409870773147
UNKNOWN,JIG8,6,6,5,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.711550617344392,2.919187545776367,1.4595937728881836,2.7813949584960938,-0.027208328247070312,0.7795200999677923,1.812744140625,0.32087278366088867,1.42122220993042,0.208679111875794,0.16500908210623055,0.03518659657840491,0.015886350927814978,0.17373842929084116,0.09130465280444863,0.10877295597984854,0.026383041464845863,0.8984860344712983,0.046235074664641995,0.20402651881723005,0.13196928126880395
UNKNOWN,JIG8,7,7,6,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7096607607068267,2.8548145294189453,1.4274072647094727,2.7224807739257812,-0.04557609558105469,0.7597972046530146,1.7578125,0.3109619617462158,1.3792107105255127,0.20810564814390978,0.16395259037442128,0.03488030321033912,0.014752167361758143,0.17189552177590334,0.09500739142997162,0.10820414074478235,0.025757079146745618,0.8972237679223274,0.047375517662418785,0.20048092087149824,0.12694832803931672
UNKNOWN,JIG8,8,8,7,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7101447380521885,2.852497100830078,1.426248550415039,2.7455005645751953,-0.04574775695800781,0.7822399020742675,1.8017578125,0.3256502151489258,1.388319969177246,0.20910108274447914,0.16396022568540425,0.033704306936969006,0.013267730893793824,0.17586091948660396,0.09337735065785943,0.10985313589945632,0.02779073283077965,0.8976988952575601,0.043617460525053484,0.19973972389628628,0.12615446741650047
UNKNOWN,JIG8,9,9,8,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7119081462151863,2.895326614379883,1.4476633071899414,2.746702194213867,-0.0078105926513671875,0.781590962224017,1.8621826171875,0.3336942195892334,1.3664090633392334,0.2126040107221482,0.1636330315755469,0.036363368904091385,0.01433379389626193,0.17548023446067654,0.09630528991468087,0.10913234349621159,0.028962080292589697,0.8986348944085613,0.05095508427332298,0.19899786699050775,0.12590863921942655
UNKNOWN,JIG8,10,10,9,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7102418537534387,2.8509521484375,1.42547607421875,2.708559036254883,-0.0446319580078125,0.7742354019287534,1.7523193359375,0.32769322395324707,1.3653862476348877,0.21910967347872437,0.1580265024481913,0.029528838364111243,0.0189997660061289,0.16996501204461778,0.09427839293368953,0.11099459361202957,0.02503060691739761,0.8957583590428118,0.047231833395148345,0.2005542908149011,0.1297124889894586
