motor_id,jig_id,test_id,sweep_id,run_order,run_role,eligible_for_statistics,eligibility_source,analysis_points,closure_index,shadow_contract_version,officially_valid,problems,rms_ac,raw_p2p,system_inl_deg,robust_p2p,closure_error_deg,tracking_rms_deg,tracking_max_abs_deg,mean_dc,p99_abs_deviation,A1,A2,A3,A6,A9,A12,A18,A27,A36,A45,A72,A108
UNKNOWN,JIG7,1,1,0,PRECONDITION,False,DECLARED_ROLE,360,360,,False,META.RunRole=PRECONDITION (excluded from official statistics); META.EligibleForStatistics=0 (excluded from official statistics),0.7308596092121452,3.0862998962402344,1.5431499481201172,2.9121322631835938,-0.021886825561523438,0.7367797230337517,1.5875244140625,0.07936978340148926,1.4759681224822998,0.3686357627805617,0.08241726722371637,0.09597037985974388,0.011672084174219818,0.2414043357894952,0.05629910958911885,0.10730722642868648,0.04610410235395215,0.8845255985592021,0.08004130020237171,0.17577213405308387,0.09426864381345562
UNKNOWN,JIG7,2,2,1,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7263877575682175,3.1349658966064453,1.5674829483032227,2.9287662506103516,0.067291259765625,0.740045805372713,1.64794921875,0.14364027976989746,1.4642260074615479,0.3681932259543155,0.07839444124738161,0.09200968576068125,0.009634432237941097,0.24940360175418413,0.06056519091420875,0.10834624647389869,0.04493084650485872,0.8765176474894025,0.07861984792551775,0.17410907003665993,0.09253177691443364
UNKNOWN,JIG7,3,3,2,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.731583133635129,3.0916213989257812,1.5458106994628906,2.9098148345947266,0.05106925964355469,0.7400428459416255,1.5435791015625,0.11580133438110352,1.4811959266662598,0.3765595994095132,0.12338266466026467,0.07445691689560067,0.011511629079090821,0.2521739479181161,0.05557112838352519,0.10855884964886797,0.041917460281864424,0.8764873207699139,0.07923190517526658,0.17497751670134284,0.0930795333630316
UNKNOWN,JIG7,4,4,3,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7326752140354663,3.1534194946289062,1.5767097473144531,2.9512710571289062,0.027894973754882812,0.7387264245557953,1.6094970703125,0.10696816444396973,1.4979403018951416,0.3770614968517587,0.14921656082455215,0.09150963056737768,0.010888045306501481,0.25131765195962846,0.05795871297119691,0.11032726471879721,0.04252518516320576,0.8728750269610773,0.07928746946994716,0.1743129839404991,0.09397764146179192
UNKNOWN,JIG7,5,5,4,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7317797226786354,3.1258678436279297,1.5629339218139648,2.9343109130859375,0.04918098449707031,0.7411810798278243,1.58203125,0.11530947685241699,1.5198428630828857,0.37538720404219844,0.16467079710058471,0.08343596657617537,0.011438856614516936,0.2500720524538319,0.058992058778891625,0.11093854254110096,0.04302054342744809,0.8703874467870494,0.0764687316677587,0.17347412357270986,0.09480346083253822
UNKNOWN,JIG7,6,6,5,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7350597620718421,3.1645774841308594,1.5822887420654297,2.9754581451416016,0.030126571655273438,0.7401414324706848,1.6424560546875,0.09045839309692383,1.4864087104797363,0.3885383667084631,0.15698789417906123,0.09754769028464162,0.007637228092429757,0.24927353021859866,0.060376682940455124,0.10860465314152205,0.041753447885031054,0.8711486371838257,0.07806696513770237,0.1730512887004461,0.09313207212766667
UNKNOWN,JIG7,7,7,6,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.731065208541254,3.1596851348876953,1.5798425674438477,2.965639114379883,0.0542449951171875,0.7443617629505966,1.5875244140625,0.11536812782287598,1.4884874820709229,0.378214241223645,0.14548056857710356,0.09369409486883633,0.010061421056775917,0.24621391696364517,0.054885425634387176,0.11115688649570486,0.04291632868700756,0.8709263679961402,0.08013939029156396,0.17551864972057651,0.09412063751941226
UNKNOWN,JIG7,8,8,7,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7342397852852464,3.149900436401367,1.5749502182006836,2.975269317626953,0.02231597900390625,0.739680719548065,1.6094970703125,0.09050440788269043,1.5353782176971436,0.39213191622120636,0.15384657697782037,0.09034593452289856,0.010898033676710831,0.2516516095331476,0.0516656069406602,0.11070736083226967,0.04246439652524255,0.8688343881936823,0.07618041844569627,0.17371451176554725,0.09481518239740981
UNKNOWN,JIG7,9,9,8,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7368911468484419,3.1998538970947266,1.5999269485473633,3.0267333984375,0.044803619384765625,0.7449291315942769,1.6094970703125,0.10098505020141602,1.538048267364502,0.40922100343873524,0.13992790030775076,0.09649222770002533,0.010940645915969806,0.24908836314909252,0.04559439993771428,0.10790692783874963,0.04303914977972637,0.8682423311348858,0.07756268897684818,0.17415117221511792,0.0929327205357788
UNKNOWN,JIG7,10,10,9,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7325449176151058,3.17230224609375,1.586151123046875,2.999439239501953,0.022916793823242188,0.739633563196018,1.6094970703125,0.09625530242919922,1.538640022277832,0.4034200251283922,0.12765909450954255,0.09295400436866642,0.006652606648100067,0.24913819973279372,0.048412973613722717,0.10795848261345221,0.041117258189728285,0.8663541917180427,0.07957721104129198,0.17315389212325943,0.09156633460499379
UNKNOWN,JIG7,11,11,10,OFFICIAL,True,DECLARED_ROLE,360,360,,True,,0.7341693497566733,3.177194595336914,1.588597297668457,3.008983612060547,0.007038116455078125,0.7373455002084555,1.658935546875,0.08183693885803223,1.566021203994751,0.4019326612957249,0.15352187565405276,0.10038022229975525,0.009432588612478286,0.2502526128467754,0.041075709964755826,0.10874142323783778,0.03806194167195678,0.8650334990325643,0.07910015550121115,0.17296226114649602,0.09317883155558032
