leg,motor_id,jig_id,order,mean_curve_amplitude_deg,mean_curve_phase_deg,run_amplitude_mean_deg,run_amplitude_sd_deg
A1,p03,JIG1,1,0.17857529692820484,-113.51092020972597,0.1786326041106503,0.002754418645113229
A1,p03,JIG1,2,0.14082809954279268,-173.00749690221843,0.14106094465234473,0.004855244136173855
A1,p03,JIG1,3,0.03727396841322485,61.445784075187085,0.03729067895951002,0.0015265697136896779
A1,p03,JIG1,4,0.04765989803373994,-139.89982309390652,0.047678841395122774,0.0009692137337966767
A1,p03,JIG1,5,0.011669013520520737,-126.82371361720536,0.011740857862571194,0.0012882202011636377
A1,p03,JIG1,6,0.009780395947440403,135.40792342866638,0.009891185100197071,0.0009581786038202805
A1,p03,JIG1,7,0.04670269270283936,-170.7547024460125,0.04672277616709334,0.00139852286494097
A1,p03,JIG1,8,0.013636944953997006,119.40382436800041,0.013698024387151295,5.70128552075045e-05
A1,p03,JIG1,9,0.17369345208088943,91.87826445560047,0.173694152901905,0.0004803827039056368
A1,p03,JIG1,10,0.015955717141213063,-136.89922654065515,0.015967537221672375,0.0018739279174080942
A1,p03,JIG1,11,0.01365341312011946,-143.15809450412908,0.01365350306538124,0.0023258279660445078
A1,p03,JIG1,12,0.03048865100536659,36.49930076624404,0.030507017247569407,0.001195082727812715
A1,p03,JIG1,13,0.012386516567907476,-46.75392374012808,0.012463432680796457,0.0005218099241666806
A1,p03,JIG1,14,0.009406847242557,-21.635466123298407,0.009546361757546718,0.002316049248407333
A1,p03,JIG1,15,0.008438637966536053,-75.81205712868355,0.008444192053349014,0.0010064675552880346
A1,p03,JIG1,16,0.014506967827874188,-5.140180843548751,0.014532655116471609,0.0013028424286212188
A1,p03,JIG1,17,0.012140593779889311,-3.6951642760482106,0.012146333649813048,0.0005566998879975406
A1,p03,JIG1,18,0.11199755452856379,-85.7898075617205,0.11199789219887006,0.0014747285369018665
A1,p03,JIG1,19,0.003435285752047168,35.71367753037013,0.003484670243828623,0.0008887069888332107
A1,p03,JIG1,20,0.004300398553251257,57.99642335053852,0.004368647656623685,0.0025115657761792852
