"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"245","ALIGN_RAMP","24305","18","98.876953125","1","1000","-1000000","44100","280051","280051","0","2902","1336","971"
"246","ALIGN_RAMP","24304","17","93.3837890625","-1","-1000","-2000000","44280","280052","280052","0","2902","1336","881"
"247","ALIGN_RAMP","24301","14","76.904296875","-3","-3000","-2000000","44460","280053","280053","0","2902","1336","791"
"248","ALIGN_RAMP","24306","19","104.3701171875","5","5000","8000000","44640","280054","280054","0","2902","1336","701"
"249","ALIGN_RAMP","24304","17","93.3837890625","-2","-2000","-7000000","44820","280055","280055","0","2902","1336","611"
"250","ALIGN_RAMP","24300","13","71.4111328125","-4","-4000","-2000000","45000","280056","280056","0","2902","1336","521"
"251","ALIGN_RAMP","24299","12","65.91796875","-1","-1000","3000000","45180","280057","280057","0","2902","1336","431"
"252","ALIGN_RAMP","24302","15","82.3974609375","3","3000","4000000","45360","280058","280058","0","2902","1336","341"
"253","ALIGN_RAMP","24300","13","71.4111328125","-2","-2000","-5000000","45540","280059","280059","0","2902","1336","251"
"254","ALIGN_RAMP","24300","13","71.4111328125","0","0","2000000","45720","280060","280060","0","2902","1336","161"
"255","ALIGN_RAMP","24302","15","82.3974609375","2","2000","2000000","45900","280061","280061","0","2902","1336","71"
"256","ALIGN_RAMP","24305","18","98.876953125","3","3000","1000000","46080","280062","280062","0","2902","1336","2136"
"257","ALIGN_RAMP","24299","12","65.91796875","-6","-6000","-9000000","46260","280063","280063","0","2902","1336","2046"
"258","ALIGN_RAMP","24301","14","76.904296875","2","2000","8000000","46440","280064","280064","0","2902","1336","1956"
"259","ALIGN_RAMP","24302","15","82.3974609375","1","1000","-1000000","46620","280065","280065","0","2902","1336","1866"
"260","ALIGN_RAMP","24300","13","71.4111328125","-2","-2000","-3000000","46800","280066","280066","0","2902","1336","1776"
"261","ALIGN_RAMP","24300","13","71.4111328125","0","0","2000000","46980","280067","280067","0","2902","1336","1686"
"262","ALIGN_RAMP","24300","13","71.4111328125","0","0","0","47160","280068","280068","0","2902","1336","1596"
"263","ALIGN_RAMP","24306","19","104.3701171875","6","6000","6000000","47340","280069","280069","0","2902","1336","1506"
"264","ALIGN_RAMP","24299","12","65.91796875","-7","-7000","-13000000","47520","280070","280070","0","2902","1336","1416"
"265","ALIGN_RAMP","24304","17","93.3837890625","5","5000","12000000","47700","280071","280071","0","2902","1336","1326"
"266","ALIGN_RAMP","24303","16","87.890625","-1","-1000","-6000000","47880","280072","280072","0","2902","1336","1236"
"267","ALIGN_RAMP","24304","17","93.3837890625","1","1000","2000000","48060","280073","280073","0","2902","1336","1146"
"268","ALIGN_RAMP","24303","16","87.890625","-1","-1000","-2000000","48240","280074","280074","0","2902","1336","1056"
"269","ALIGN_RAMP","24308","21","115.3564453125","5","5000","6000000","48420","280075","280075","0","2902","1336","966"
"270","ALIGN_RAMP","24305","18","98.876953125","-3","-3000","-8000000","48600","280076","280076","0","2902","1336","876"
"271","ALIGN_RAMP","24303","16","87.890625","-2","-2000","1000000","48780","280077","280077","0","2902","1336","786"
"272","ALIGN_RAMP","24306","19","104.3701171875","3","3000","5000000","48960","280078","280078","0","2902","1336","696"
"273","ALIGN_RAMP","24308","21","115.3564453125","2","2000","-1000000","49140","280079","280079","0","2902","1336","606"
"274","ALIGN_RAMP","24303","16","87.890625","-5","-5000","-7000000","49320","280080","280080","0","2902","1336","516"
