Group,Order,PeriodMechanicalDeg,AmplitudeMeanDeg,AmplitudeSDDeg,EnergyRatioMean,PhaseCircularMeanDeg,PhaseCoherence
ALL,1,360.0,0.25376656123967234,0.04378129788110723,0.06088178616144974,-27.75970870679766,0.9575002022045337
ALL,2,180.0,0.21134729679623343,0.05173000186530212,0.042328416525517144,13.803932173579604,0.42835960608361495
ALL,3,120.0,0.04092417971438564,0.0276084937402172,0.0022811217596457956,12.818762538745665,0.7126594289812294
ALL,4,90.0,0.042487682633920464,0.02294599185164346,0.002141055881876667,35.43095797597242,0.4601679650503399
ALL,5,72.0,0.03671333405898845,0.006656493365053523,0.0012754160619648945,-16.789463391811253,0.3699618879648411
ALL,6,60.0,0.03618486149329304,0.018972081422292977,0.0015585447599980263,16.059602926008075,0.19099660942021876
ALL,7,51.42857142857143,0.03978273567622558,0.019394891896841362,0.0018246900401808757,-0.7570107109865784,0.7681672909216339
ALL,8,45.0,0.031015579188732958,0.013691327555750699,0.0010715452124715411,-16.315095026319522,0.16996024484818506
ALL,9,40.0,0.25636261999761073,0.12743902057737944,0.07116949178364408,85.79972170204755,0.23343928021439247
ALL,10,36.0,0.032837177753886254,0.00430200685403843,0.001001650502416298,-64.62447335189705,0.0840222014608558
ALL,11,32.72727272727273,0.040948128019778735,0.008604796680037432,0.0016026649199571057,-67.38709353246361,0.1450027839329224
ALL,12,30.0,0.03465469905131083,0.019280863374699978,0.001443085465308218,-80.97201073441775,0.4899158389261792
ALL,13,27.692307692307693,0.030433463158636636,0.010223721840235483,0.0009402573742926283,6.044128588861205,0.18446425495040647
ALL,14,25.714285714285715,0.024019158456521562,0.012057398195513845,0.0006503695861110823,46.05008840730636,0.2496201148530344
ALL,15,24.0,0.01951841012366183,0.006084723867965302,0.00037322508405899016,88.78480500637669,0.5425539742853841
ALL,16,22.5,0.018802308868450898,0.009957355470257723,0.0003957330122742021,94.45045701711398,0.666421795533008
ALL,17,21.176470588235293,0.017741386477859483,0.006817504039766545,0.00033135698090453077,81.12231277505943,0.6340434425449781
ALL,18,20.0,0.18338570691451042,0.1346318209369334,0.04794271344767476,56.67966095747821,0.27969218171390636
ALL,19,18.94736842105263,0.014870531716375477,0.006363899927897486,0.00024091306788175457,63.32995526931246,0.6392284625160404
ALL,20,18.0,0.011381670069124265,0.004221471046884525,0.00013060137522089886,121.16822185547235,0.561785847097555
ALL,21,17.142857142857142,0.009735942550543861,0.0043352923079166324,0.00010370121838531127,102.55435815109394,0.4450031759623163
ALL,22,16.363636363636363,0.013091217853781043,0.006615740441470251,0.0001892272565359112,106.81776625290236,0.9709295807682601
ALL,23,15.652173913043478,0.009165526303965858,0.005099351663048612,9.66780363060081e-05,108.39224081463927,0.509216417699197
ALL,24,15.0,0.01370859044536212,0.006182831416431878,0.0002086914050141259,129.80107277778276,0.44837187187984695
ALL,25,14.4,0.007097579553429737,0.0034661632617239103,5.8003772820183025e-05,35.14014174209309,0.7162365546393288
ALL,26,13.846153846153847,0.007153172459070341,0.0026858609043052704,5.137409281352873e-05,95.4878524092565,0.5794544280350861
ALL,27,13.333333333333334,0.06339579504830932,0.03517352446569636,0.004526028981130073,93.78252078897154,0.6087880634403962
ALL,28,12.857142857142858,0.008353180542104483,0.0018264170177365751,6.546256385142557e-05,41.51312084897824,0.7489343056882735
ALL,29,12.413793103448276,0.008879260631560946,0.0038688104470027563,8.426448428258049e-05,115.71704162396443,0.8998074663141495
ALL,30,12.0,0.007092853572198149,0.0029463369296619172,5.358272234526845e-05,125.7431409384319,0.6674334834493167
ALL,31,11.612903225806452,0.006706695604631912,0.002801567560345109,4.656143716728167e-05,85.3493000778656,0.6621290804519028
ALL,32,11.25,0.005370474515833593,0.003275464484814896,3.568969738963795e-05,118.38108096967142,0.3970816020672197
ALL,33,10.909090909090908,0.004739945178723188,0.0024984672044962575,2.598026501892456e-05,106.55827974514196,0.5009772379236668
ALL,34,10.588235294117647,0.008350057707495057,0.00446790965784257,7.781519721262234e-05,111.60633076089444,0.11000846716670677
ALL,35,10.285714285714286,0.00853689776160547,0.0039011976618153594,8.076187183086956e-05,30.2405413909293,0.6653709913890022
ALL,36,10.0,0.87301597160831,0.032896092268296075,0.6911401519359816,96.86522580416208,0.9994374043669924
