SectorIndex,PositionInsideSectorDeg,CenteredErrorDeg,SectorMeanTemplateDeg
0,0,0.38663455555555554,-0.1069235
0,1,1.2644145555555557,0.35630150000000005
0,2,1.6934645555555556,0.6094959444444444
0,3,1.5424345555555556,0.8394306666666667
0,4,1.9523445555555556,0.9366220555555557
0,5,1.1847645555555557,0.3131273333333333
0,6,0.18922455555555556,-0.7039157222222222
0,7,-0.041245444444444446,-0.9209021111111111
0,8,0.04246455555555556,-0.7681193333333334
0,9,0.20020455555555555,-0.5551168333333334
1,0,0.6758545555555555,-0.1069235
1,1,1.0773745555555556,0.35630150000000005
1,2,1.2622545555555555,0.6094959444444444
1,3,1.4952245555555557,0.8394306666666667
1,4,1.6555345555555556,0.9366220555555557
1,5,1.0886345555555557,0.3131273333333333
1,6,0.03751455555555555,-0.7039157222222222
1,7,-0.6874254444444445,-0.9209021111111111
1,8,-0.4819554444444445,-0.7681193333333334
1,9,-0.3723654444444444,-0.5551168333333334
2,0,0.021774555555555575,-0.1069235
2,1,0.48533455555555555,0.35630150000000005
2,2,0.7487645555555555,0.6094959444444444
2,3,0.9420945555555555,0.8394306666666667
2,4,0.8467545555555556,0.9366220555555557
2,5,0.10828455555555555,0.3131273333333333
2,6,-0.9863154444444444,-0.7039157222222222
2,7,-0.9312054444444444,-0.9209021111111111
2,8,-0.7238654444444443,-0.7681193333333334
2,9,-0.47020544444444445,-0.5551168333333334
3,0,0.051314555555555585,-0.1069235
3,1,0.5044045555555555,0.35630150000000005
3,2,0.8213345555555556,0.6094959444444444
3,3,1.0796645555555555,0.8394306666666667
3,4,1.1356645555555556,0.9366220555555557
3,5,0.8317345555555555,0.3131273333333333
3,6,-0.23405544444444448,-0.7039157222222222
3,7,-0.5611754444444444,-0.9209021111111111
3,8,-0.42436544444444446,-0.7681193333333334
3,9,-0.2206554444444444,-0.5551168333333334
4,0,0.15897455555555556,-0.1069235
4,1,0.6452445555555556,0.35630150000000005
4,2,0.9507545555555555,0.6094959444444444
4,3,1.1600445555555554,0.8394306666666667
4,4,1.2002645555555556,0.9366220555555557
4,5,0.5919045555555555,0.3131273333333333
4,6,-0.3846654444444444,-0.7039157222222222
4,7,-0.6398154444444444,-0.9209021111111111
4,8,-0.44737544444444444,-0.7681193333333334
4,9,-0.21275544444444439,-0.5551168333333334
5,0,0.28080455555555556,-0.1069235
5,1,0.7136045555555556,0.35630150000000005
5,2,0.9314745555555556,0.6094959444444444
5,3,1.2016445555555557,0.8394306666666667
5,4,1.3281345555555557,0.9366220555555557
5,5,0.8602445555555556,0.3131273333333333
5,6,-0.22642544444444446,-0.7039157222222222
5,7,-0.6369554444444445,-0.9209021111111111
5,8,-0.5341954444444444,-0.7681193333333334
5,9,-0.38267544444444446,-0.5551168333333334
6,0,-7.54444444444613e-05,-0.1069235
6,1,0.4833845555555556,0.35630150000000005
6,2,0.7158045555555556,0.6094959444444444
6,3,0.9301545555555556,0.8394306666666667
6,4,0.9207245555555555,0.9366220555555557
6,5,0.05470455555555559,0.3131273333333333
6,6,-1.0450654444444445,-0.7039157222222222
6,7,-1.1367354444444444,-0.9209021111111111
6,8,-0.9521954444444445,-0.7681193333333334
6,9,-0.7191654444444444,-0.5551168333333334
7,0,-0.24608544444444447,-0.1069235
7,1,0.16544455555555557,0.35630150000000005
7,2,0.3820645555555556,0.6094959444444444
7,3,0.5932145555555556,0.8394306666666667
7,4,0.6921245555555555,0.9366220555555557
7,5,0.10755455555555554,0.3131273333333333
7,6,-0.7988454444444444,-0.7039157222222222
7,7,-1.0323654444444443,-0.9209021111111111
7,8,-0.9302554444444444,-0.7681193333333334
7,9,-0.7357954444444443,-0.5551168333333334
8,0,-0.3534154444444444,-0.1069235
8,1,0.12238455555555555,0.35630150000000005
8,2,0.38752455555555554,0.6094959444444444
8,3,0.6042945555555556,0.8394306666666667
8,4,0.6995645555555556,0.9366220555555557
8,5,-0.025165444444444462,0.3131273333333333
8,6,-1.0612054444444445,-0.7039157222222222
8,7,-1.1933754444444444,-0.9209021111111111
8,8,-1.0731054444444443,-0.7681193333333334
8,9,-0.7204454444444444,-0.5551168333333334
9,0,-0.18046544444444446,-0.1069235
9,1,0.21217455555555556,0.35630150000000005
9,2,0.4113845555555556,0.6094959444444444
9,3,0.6953545555555556,0.8394306666666667
9,4,0.8706745555555555,0.9366220555555557
9,5,0.38059455555555555,0.3131273333333333
9,6,-0.5995354444444444,-0.7039157222222222
9,7,-1.0510454444444444,-0.9209021111111111
9,8,-1.0557154444444445,-0.7681193333333334
9,9,-0.8728254444444445,-0.5551168333333334
10,0,-0.49757544444444446,-0.1069235
10,1,-0.03557544444444444,0.35630150000000005
10,2,0.20628455555555555,0.6094959444444444
10,3,0.4245445555555556,0.8394306666666667
10,4,0.5174945555555556,0.9366220555555557
10,5,-0.5377354444444444,0.3131273333333333
10,6,-1.3072354444444445,-0.7039157222222222
10,7,-1.4908054444444445,-0.9209021111111111
10,8,-1.2862454444444444,-0.7681193333333334
10,9,-0.9809454444444445,-0.5551168333333334
11,0,-0.4936354444444444,-0.1069235
11,1,-0.08211544444444446,0.35630150000000005
11,2,0.17957455555555557,0.6094959444444444
11,3,0.42594455555555555,0.8394306666666667
11,4,0.5308345555555556,0.9366220555555557
11,5,-0.01439544444444446,0.3131273333333333
11,6,-0.9915954444444444,-0.7039157222222222
11,7,-1.2125154444444444,-0.9209021111111111
11,8,-1.0532754444444445,-0.7681193333333334
11,9,-0.8610754444444444,-0.5551168333333334
12,0,-0.4373654444444445,-0.1069235
12,1,0.06623455555555557,0.35630150000000005
12,2,0.36298455555555553,0.6094959444444444
12,3,0.6234545555555555,0.8394306666666667
12,4,0.6922445555555556,0.9366220555555557
12,5,0.10813455555555557,0.3131273333333333
12,6,-0.8194454444444443,-0.7039157222222222
12,7,-1.0498854444444445,-0.9209021111111111
12,8,-0.9077954444444445,-0.7681193333333334
12,9,-0.6581254444444444,-0.5551168333333334
13,0,-0.16639544444444443,-0.1069235
13,1,0.26054455555555556,0.35630150000000005
13,2,0.48740455555555556,0.6094959444444444
13,3,0.7734845555555556,0.8394306666666667
13,4,0.9242045555555556,0.9366220555555557
13,5,0.5352945555555555,0.3131273333333333
13,6,-0.5351754444444444,-0.7039157222222222
13,7,-0.8950954444444443,-0.9209021111111111
13,8,-0.8549354444444444,-0.7681193333333334
13,9,-0.6887054444444445,-0.5551168333333334
14,0,-0.31776544444444443,-0.1069235
14,1,0.16273455555555558,0.35630150000000005
14,2,0.41718455555555556,0.6094959444444444
14,3,0.6314245555555555,0.8394306666666667
14,4,0.6289445555555555,0.9366220555555557
14,5,-0.27119544444444443,0.3131273333333333
14,6,-1.3252454444444444,-0.7039157222222222
14,7,-1.3521654444444444,-0.9209021111111111
14,8,-1.1358854444444444,-0.7681193333333334
14,9,-0.8678154444444444,-0.5551168333333334
15,0,-0.3724254444444445,-0.1069235
15,1,0.05567455555555556,0.35630150000000005
15,2,0.29713455555555557,0.6094959444444444
15,3,0.5490245555555555,0.8394306666666667
15,4,0.6527545555555556,0.9366220555555557
15,5,0.10822455555555555,0.3131273333333333
15,6,-0.8707754444444444,-0.7039157222222222
15,7,-1.1049654444444443,-0.9209021111111111
15,8,-0.9721854444444444,-0.7681193333333334
15,9,-0.7636554444444443,-0.5551168333333334
16,0,-0.34620544444444445,-0.1069235
16,1,0.18986455555555556,0.35630150000000005
16,2,0.4663845555555556,0.6094959444444444
16,3,0.7123845555555556,0.8394306666666667
16,4,0.7901445555555555,0.9366220555555557
16,5,0.2714645555555556,0.3131273333333333
16,6,-0.8880754444444445,-0.7039157222222222
16,7,-0.9661754444444444,-0.9209021111111111
16,8,-0.7493454444444445,-0.7681193333333334
16,9,-0.5109754444444444,-0.5551168333333334
17,0,-0.026235444444444422,-0.1069235
17,1,0.37244455555555556,0.35630150000000005
17,2,0.5797845555555555,0.6094959444444444
17,3,0.8131245555555555,0.8394306666666667
17,4,0.9720545555555555,0.9366220555555557
17,5,0.7069845555555556,0.3131273333333333
17,6,-0.5054854444444444,-0.7039157222222222
17,7,-1.0253154444444443,-0.9209021111111111
17,8,-0.8463054444444444,-0.7681193333333334
17,9,-0.6699754444444443,-0.5551168333333334
18,0,-0.3176754444444444,-0.1069235
18,1,0.16932455555555556,0.35630150000000005
18,2,0.40662455555555554,0.6094959444444444
18,3,0.6267845555555556,0.8394306666666667
18,4,0.6582145555555556,0.9366220555555557
18,5,-0.18773544444444445,0.3131273333333333
18,6,-1.1941454444444444,-0.7039157222222222
18,7,-1.2336954444444443,-0.9209021111111111
18,8,-1.0269654444444445,-0.7681193333333334
18,9,-0.7612754444444445,-0.5551168333333334
19,0,-0.2526154444444444,-0.1069235
19,1,0.15943455555555555,0.35630150000000005
19,2,0.39204455555555556,0.6094959444444444
19,3,0.6292845555555555,0.8394306666666667
19,4,0.7387245555555555,0.9366220555555557
19,5,0.18855455555555556,0.3131273333333333
19,6,-0.7803254444444445,-0.7039157222222222
19,7,-0.9561654444444445,-0.9209021111111111
19,8,-0.7975954444444444,-0.7681193333333334
19,9,-0.5917854444444445,-0.5551168333333334
20,0,-0.17936544444444447,-0.1069235
20,1,0.32172455555555557,0.35630150000000005
20,2,0.5995045555555556,0.6094959444444444
20,3,0.8204445555555555,0.8394306666666667
20,4,0.8887445555555555,0.9366220555555557
20,5,0.24830455555555556,0.3131273333333333
20,6,-0.7266154444444444,-0.7039157222222222
20,7,-0.8884154444444445,-0.9209021111111111
20,8,-0.7415054444444444,-0.7681193333333334
20,9,-0.49040544444444445,-0.5551168333333334
21,0,-0.01561544444444446,-0.1069235
21,1,0.41322455555555554,0.35630150000000005
21,2,0.6590045555555555,0.6094959444444444
21,3,0.9231645555555555,0.8394306666666667
21,4,1.0871745555555554,0.9366220555555557
21,5,0.6500945555555555,0.3131273333333333
21,6,-0.4882654444444444,-0.7039157222222222
21,7,-0.8154154444444444,-0.9209021111111111
21,8,-0.7290554444444444,-0.7681193333333334
21,9,-0.6074754444444443,-0.5551168333333334
22,0,-0.23405544444444448,-0.1069235
22,1,0.23841455555555557,0.35630150000000005
22,2,0.5050745555555556,0.6094959444444444
22,3,0.6914145555555555,0.8394306666666667
22,4,0.6615145555555555,0.9366220555555557
22,5,-0.2874054444444445,0.3131273333333333
