leg,motor_id,jig_id,order,mean_curve_amplitude_deg,mean_curve_phase_deg,run_amplitude_mean_deg,run_amplitude_sd_deg
A1,p05,JIG1,1,0.41389403352607035,-46.70956375817222,0.41389614639895056,0.012947679229350376
A1,p05,JIG1,2,0.053212197176468516,-61.575229702571214,0.05392198538824992,0.026115662966146633
A1,p05,JIG1,3,0.04535543876848109,0.2806823127234581,0.04536177243107802,0.005589196161876339
A1,p05,JIG1,4,0.03960144259461223,-135.9423859856529,0.0396340982079949,0.0018840171982515952
A1,p05,JIG1,5,0.01862300022693708,-74.76833958386524,0.018706620246983923,0.0018049883404198822
A1,p05,JIG1,6,0.023467637189454035,-37.14778612700833,0.023485173702667377,0.0007901052177446953
A1,p05,JIG1,7,0.03267206757319444,-155.2492006867583,0.032689312489950925,0.001524031251476893
A1,p05,JIG1,8,0.02110749537484227,-107.05820942681974,0.021127411102869836,0.0015796475604675547
A1,p05,JIG1,9,0.2756845825013729,161.47022515192867,0.2756860675369322,0.0008858996282225967
A1,p05,JIG1,10,0.014661699091984911,-81.1836150038214,0.014662060421311018,0.0006994867238001163
A1,p05,JIG1,11,0.0193174637155112,-76.00482882495942,0.01933073292752231,0.0014508096148989809
A1,p05,JIG1,12,0.01485974991479711,116.84648102668616,0.014891309702963105,0.0024834484551185154
A1,p05,JIG1,13,0.013087430373040236,24.3474477646193,0.013128147932863266,0.0009238192262933028
A1,p05,JIG1,14,0.01647877489271735,46.67549771687357,0.016486893232419562,0.0004768163898466862
A1,p05,JIG1,15,0.008005716941231554,54.80403038812788,0.00819446809354985,0.0013612345764427189
A1,p05,JIG1,16,0.0025113470615584794,16.720096966497394,0.002792405439191934,0.0008614419806439905
A1,p05,JIG1,17,0.017023937067524694,-69.21058248355148,0.017039667833949213,0.001391573001766395
A1,p05,JIG1,18,0.10862301296604694,112.62967381229524,0.10863710450417163,0.002910472788087466
A1,p05,JIG1,19,0.002666210974353471,-132.80225936318692,0.002764690280478098,0.0012923839958908464
A1,p05,JIG1,20,0.005097896040724916,122.0791966251429,0.005099168072672583,0.001547250683360368
A1,p05,JIG1,21,0.006753674518848783,98.98721917907396,0.006767951095237563,0.0012413458551783557
A1,p05,JIG1,22,0.01097279969125485,128.53507376229024,0.011017197286382683,0.0016982566575337254
A1,p05,JIG1,23,0.006147361345843779,93.17724486995037,0.006184761859614303,0.001150975767829496
A1,p05,JIG1,24,0.010256315285592142,36.84073141110838,0.010407010825644233,6.666686658126065e-05
A1,p05,JIG1,25,0.0007512252959246218,-47.71369787086792,0.0008714962444358638,0.00017810204926001807
A1,p05,JIG1,26,0.004249812227946623,111.0552044311306,0.004511627600508404,0.0013784201632976092
A1,p05,JIG1,27,0.06575958846085445,34.20242308535204,0.06577082002205138,0.000256256561219739
A1,p05,JIG1,28,0.004328822328931676,-86.71224905428728,0.00434826903626654,0.0007005467071768524
A1,p05,JIG1,29,0.006889990403840505,-1.8776408931605868,0.006903196299874628,0.0014603445556905339
A1,p05,JIG1,30,0.0008897129568222004,57.55937410024597,0.0012904010188893118,0.0007483234643264847
A1,p05,JIG1,31,0.004155912216017438,67.48192102546687,0.004533898389097787,0.0006251413785299879
A1,p05,JIG1,32,0.0025568818013357347,96.63769241941586,0.0026174300403973704,0.00173726095075043
A1,p05,JIG1,33,0.0005203160009999418,55.24586618202446,0.0016511964054174615,0.00015835406041503903
