leg,motor_id,jig_id,eligible_runs,analysis_points,nl_mean_deg,nl_sd_deg,top_mean_deg,top_sd_deg,bottom_mean_deg,bottom_sd_deg,closure_mean_deg,closure_sd_deg,closure_max_abs_deg,centered_pointwise_sd_mean_deg,centered_pointwise_sd_max_deg,centered_pointwise_sd_max_angle_deg
A1,UNKNOWN,JIG7,2,360,0.39365700000000003,0.07939536360518792,0.105823,8.061017305526854e-05,-0.28783400000000003,0.0794759737782432,-0.09243499999999999,0.0029769195487953687,0.09454,0.013000949084144002,0.13437878875709686,107.0
B,UNKNOWN,JIG7,3,360,0.474814,0.013450999665452351,0.10655133333333333,0.0017102892542880997,-0.3682626666666667,0.014474289804108954,-0.08992666666666667,0.016806112975144887,0.10577,0.015103992432357102,0.10327684845169414,205.0
A2,UNKNOWN,JIG7,2,360,0.39365700000000003,0.07939536360518792,0.105823,8.061017305526854e-05,-0.28783400000000003,0.0794759737782432,-0.09243499999999999,0.0029769195487953687,0.09454,0.013000949084144002,0.13437878875709686,107.0
