SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ApproachReturnErrorDeg,ApproachReturnErrorRaw,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
13,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,14,13,1,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9041799744660344,0.0003199744660343784,4673.0,-34595.98181818182,0.406494140625,74.0,0.00498,3.27,0.90386,0.77548,-0.35445458333333335,-0.0016560000000001018,3.268344,0.775623911169327,0.00014391116932710446,3.47096,3.47177,1.73548
14,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,15,14,2,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.904578769929865,-0.0004412300701350791,4673.0,-34595.98181818182,0.4119873046875,75.0,0.02163,3.27,0.90502,0.774,-0.35538630555555556,0.00426200000000021,3.2742620000000002,0.7736439983419491,-0.00035600165805094175,3.44513,3.44619,1.722565
15,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,16,15,3,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9025999424831395,-0.000590057516860587,4672.0,-34596.98181818182,0.384521484375,70.0,0.0121,3.26,0.90319,0.77438,-0.3669949722222222,0.0015580000000001704,3.261558,0.7739819060840859,-0.0003980939159140551,3.47783,3.48009,1.738915
16,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,17,16,4,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8996698867068913,3.988670689125673e-05,4669.0,-34599.98181818182,0.384521484375,70.0,0.03957,3.24,0.89963,0.76805,-0.32877452777777777,0.003485999999999656,3.243486,0.7679502283972136,-9.977160278640262e-05,3.46297,3.46687,1.731485
17,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,18,17,5,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.902526918601109,-0.00039308139889093763,4673.0,-34595.98181818182,0.41748046875,76.0,0.01081,3.29,0.90292,0.7737,-0.3446153888888889,-0.00495800000000024,3.285042,0.7734048646737102,-0.0002951353262898859,3.4454599999999997,3.44748,1.7227299999999999
18,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,19,18,6,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9002506389769293,-0.0002493610230707155,4673.0,-34595.98181818182,0.450439453125,82.0,0.00566,3.29,0.9005,0.77423,-0.32967108333333334,0.004254000000000424,3.2942540000000005,0.7740889912705944,-0.0001410087294055895,3.4902800000000003,3.49743,1.7451400000000001
19,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,20,19,7,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.902212126139584,0.00037212613958403917,4675.0,-34593.98181818182,0.4119873046875,75.0,0.00137,3.29,0.90184,0.77468,-0.36282252777777774,0.003290000000000237,3.2932900000000003,0.774716785594724,3.678559472397591e-05,3.5548200000000003,3.55227,1.7774100000000002
20,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,21,20,8,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8983527060470285,0.00047270604702853714,4673.0,-34595.98181818182,0.4010009765625,73.0,0.01339,3.26,0.89788,0.77178,-0.3560655277777778,0.0048720000000002095,3.264872,0.7719776948700938,0.00019769487009380082,3.43248,3.42979,1.71624
21,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,22,21,9,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9006868567479935,0.000266856747993538,4674.0,-34594.98181818182,0.4339599609375,79.0,0.01639,3.3,0.90042,0.77332,-0.34304172222222223,-0.0041999999999999815,3.2958,0.7733906261297504,7.062612975039517e-05,3.46934,3.47494,1.73467
22,P02_R2,B0-B p02 jig 1 test 23 lần 2.txt,23,22,10,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.9008397220736765,-0.00045027792632357233,4669.0,-34599.98181818182,0.4339599609375,79.0,0.01751,3.28,0.90129,0.77253,-0.36001425,-0.00485399999999947,3.2751460000000003,0.772129427911678,-0.0004005720883220043,3.48531,3.4897,1.742655
23,P04,B0-B p04 jig 1 test 23 lần 1.txt,24,23,0,PRECONDITION,0,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.86601897672676,0.00039897672676003637,61065.0,21796.01818181818,-0.0494384765625,-9.0,0.55781,,0.86562,0.80543,-0.8280095,,3.7228280000000002,0.8057521344045747,0.0003221344045747365,4.06491,4.05361,2.032455
24,P04,B0-B p04 jig 1 test 23 lần 1.txt,25,24,1,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8497234641047124,-2.6535895287560507e-05,61170.0,21901.01818181818,-0.1318359375,-24.0,0.03948,3.14,0.84975,0.7272,-0.28788519444444444,-0.00417600000000018,3.135824,0.72700582004851,-0.00019417995148995892,3.48194,3.4855,1.74097
25,P04,B0-B p04 jig 1 test 23 lần 1.txt,26,25,2,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8456961959439208,-4.38040560792885e-05,61177.0,21908.01818181818,-0.1043701171875,-19.0,0.03193,3.17,0.84574,0.72786,-0.28026894444444445,0.00023399999999984544,3.1702339999999998,0.7279470449165755,8.704491657551827e-05,3.49008,3.49031,1.74504
26,P04,B0-B p04 jig 1 test 23 lần 1.txt,27,26,3,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8511939559244587,-2.6044075541298284e-05,61185.0,21916.01818181818,-0.120849609375,-22.0,-0.01717,3.15,0.85122,0.73286,-0.2709526666666667,0.001608000000000498,3.1516080000000004,0.7328400076749358,-1.9992325064110972e-05,3.46908,3.46825,1.73454
27,P04,B0-B p04 jig 1 test 23 lần 1.txt,28,27,4,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8545050965601656,0.0001850965601656318,61171.0,21902.01818181818,-0.10986328125,-20.0,0.0654,3.18,0.85432,0.73519,-0.3478638333333333,-0.0004339999999998234,3.1795660000000003,0.7352801779433583,9.017794335830498e-05,3.5155000000000003,3.51288,1.7577500000000001
28,P04,B0-B p04 jig 1 test 23 lần 1.txt,29,28,5,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8542604689284962,-6.953107150386995e-05,61181.0,21912.01818181818,-0.0714111328125,-13.0,0.0345,3.18,0.85433,0.73426,-0.30286466666666667,-0.0009700000000001374,3.17903,0.7341697980439462,-9.020195605380366e-05,3.5026900000000003,3.50035,1.7513450000000002
29,P04,B0-B p04 jig 1 test 23 lần 1.txt,30,29,6,OFFICIAL,1,Jul 22 2026 11:10:59,SCURVE_LOCK_PLUS_CW_LOCAL_APPROACH_V2,ONE_FULL_SWEEP_120S_V1,0.8543025401394014,0.0004225401394014616,61181.0,21912.01818181818,-0.1043701171875,-19.0,0.04343,3.12,0.85388,0.73139,-0.3135555,-0.0045280000000000875,3.115472,0.7316758715011533,0.00028587150115333415,3.4628,3.46404,1.7314
