Group,XMetric,YMetric,n,slope,intercept,pearson_r,r2,residual_sd,slope_se,slope_ci95_low,slope_ci95_high
ALL,ShadowP2P_Deg,NL_RobustP2P_Deg,55,0.7459237558301977,0.6222084948717987,0.8402835032886172,0.7060763658989919,0.07982497426172587,0.06610707181361093,0.6109331151868042,0.8809143964735912
ALL,RMS_AC_Deg,NL_RobustP2P_Deg,55,5.316957541744072,-0.7949325187614438,0.8639290188628541,0.7463733496333337,0.07415133525932142,0.425740179146569,4.447596095926778,6.186318987561366
ALL,A36_Deg,NL_RobustP2P_Deg,55,3.042488367553028,0.5554401455025642,0.6502772417024446,0.42286049107613966,0.11185668275241376,0.4882394183218188,2.045503475339874,4.039473259766182
ALL,ClosureErrorDeg,NL_RobustP2P_Deg,55,0.8348237752956238,3.1876830082252483,0.8834542561767998,0.780491422756903,0.0689838264165232,0.0608132976878271,0.7106430214170809,0.9590045291741667
ALL,ApproachReturnErrorDeg,NL_RobustP2P_Deg,55,0.21545222405615952,3.1547804322700137,0.31076492924175897,0.0965748412466354,0.13994829867769337,0.09051637138377225,0.03061779369049661,0.40028665442182243
ALL,AnalysisStartRawCentered,NL_RobustP2P_Deg,55,-2.3853754786360936e-06,3.192437709090909,-0.46658153610076347,0.2176983298301478,0.13022928662604621,6.211241219034362e-07,-3.6537109355629104e-06,-1.1170400217092769e-06
P02_R1,ShadowP2P_Deg,NL_RobustP2P_Deg,11,0.16517044200869105,2.698381530838832,0.4355132227400706,0.18967176718144552,0.013855101927582098,0.1137994639293703,-0.09224394539954459,0.42258482941692666
P02_R1,RMS_AC_Deg,NL_RobustP2P_Deg,11,1.2781811750898957,2.281270161282956,0.28928331726697065,0.0836848376489876,0.01473335578054509,1.409841238745704,-1.9108797069528867,4.467242057132678
P02_R1,A36_Deg,NL_RobustP2P_Deg,11,0.08561954645863325,3.1903189571878783,0.031687012124442096,0.0010040667373754086,0.015383710552924068,0.9002274229173352,-1.9506948841803786,2.1219339770976453
P02_R1,ClosureErrorDeg,NL_RobustP2P_Deg,11,-0.03650422615670601,3.268172407291423,-0.11223302369109336,0.012596251606850295,0.015294195088150431,0.10773296534779372,-0.2801961937734154,0.2071877414600034
P02_R1,ApproachReturnErrorDeg,NL_RobustP2P_Deg,11,0.13183387536643157,3.2136686489361694,0.20503673444083428,0.042040062470157125,0.01506443727122972,0.20977211702701568,-0.34267065334867786,0.606338404081541
P02_R1,AnalysisStartRawCentered,NL_RobustP2P_Deg,11,-0.00028719143496324,-6.66894597168981,-0.14835166532952337,0.0220082166060257,0.015221128166904819,0.0006381538681579816,-0.0017306954847365946,0.0011563126148101143
P02_R2,ShadowP2P_Deg,NL_RobustP2P_Deg,11,0.23028217919630706,2.475706980052793,0.47056649278688756,0.2214328241337461,0.015261727467749338,0.14393490364121275,-0.09529857284011617,0.5558629312327303
P02_R2,RMS_AC_Deg,NL_RobustP2P_Deg,11,3.132230862886836,0.8530795564470828,0.5766382048553197,0.33251161929875805,0.014131149923073053,1.4792819288831696,-0.2139048602468936,6.478366586020566
