Group,XMetric,YMetric,n,slope,intercept,pearson_r,r2,residual_sd,slope_se,slope_ci95_low,slope_ci95_high
ALL,ShadowP2P_Deg,NL_RobustP2P_Deg,5,0.3865781586460018,0.31972456982141206,0.6638785609733465,0.4407347437200405,0.026967569923766227,0.2514183441893728,-0.4134350125645824,1.186591329856586
ALL,RMS_AC_Deg,NL_RobustP2P_Deg,5,4.422395194158754,-0.012692527404539078,0.9755822242149921,0.9517606762042716,0.007920151683646301,0.574822354392986,2.5933104624802725,6.251479925837235
ALL,A36_Deg,NL_RobustP2P_Deg,5,3.232511321402361,0.07252153764313712,0.9154696130056242,0.8380846123366671,0.014510318839264829,0.8203129276119029,0.6222755857412858,5.842747057063436
ALL,ClosureErrorDeg,NL_RobustP2P_Deg,5,-0.2380067747649848,0.5780422753801038,-0.12106137661650981,0.014655856908284193,0.035795370600487784,1.1267227245251836,-3.8232384842041194,3.3472249346741494
ALL,AnalysisStartRawCentered,NL_RobustP2P_Deg,5,-0.00033341907198276567,0.5551583999999998,-0.8229667205159434,0.6772742230767674,0.02048564870051758,0.00013288145203618345,-0.0007562478523619014,8.940970839637003e-05
remount01,ShadowP2P_Deg,NL_RobustP2P_Deg,3,0.25139551987659847,0.3857382890679646,0.899220068904428,0.8085967323204855,0.009841754698688554,0.12231119711180906,-1.3026905506260473,1.8054815903792443
remount01,RMS_AC_Deg,NL_RobustP2P_Deg,3,4.425327236424628,-0.01407996519510768,0.9178238395036121,0.842400600361151,0.008930486980736287,1.9140943274768851,-19.895155288496674,28.74580976134593
remount01,A36_Deg,NL_RobustP2P_Deg,3,3.6752915256433463,0.0054258804467705035,0.8353837699260046,0.6978660430557845,0.012365099959937391,2.418274125072154,-27.05129950752344,34.40188255881013
remount01,ClosureErrorDeg,NL_RobustP2P_Deg,3,-1.1040056535286338,0.6394078732453179,-0.6363072194786025,0.40488687756059283,0.017353921382203312,1.338456342471142,-18.110431940966965,15.902420633909696
remount01,AnalysisStartRawCentered,NL_RobustP2P_Deg,3,0.0020640322580645076,0.4263704516129052,0.4171131056428646,0.1739833428990354,0.020445242445252677,0.004497353730762636,-0.055079344245005546,0.05920740876113456
remount02,ShadowP2P_Deg,NL_RobustP2P_Deg,2,-0.11556823299804965,0.6606730445879004,-1.0,1.0,0.0,0.0,-0.11556823299804965,-0.11556823299804965
remount02,RMS_AC_Deg,NL_RobustP2P_Deg,2,1.5559289171370512,0.376507652123944,1.0,1.0,0.0,0.0,1.5559289171370512,1.5559289171370512
remount02,A36_Deg,NL_RobustP2P_Deg,2,0.7013148041657578,0.47644059358039426,1.0,1.0,0.0,0.0,0.7013148041657578,0.7013148041657578
remount02,ClosureErrorDeg,NL_RobustP2P_Deg,2,-0.18803126526624556,0.6051945964826577,-1.0,1.0,0.0,0.0,-0.18803126526624556,-0.18803126526624556
remount02,AnalysisStartRawCentered,NL_RobustP2P_Deg,2,9.387804878048895e-05,0.5942742634146342,1.0,1.0,0.0,0.0,9.387804878048895e-05,9.387804878048895e-05
