motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P03,v5-4,3,1,geometric,0.023495700365154915,0.0006849453711141888
P03,v5-4,3,2,geometric,0.005811518860122766,0.004034475989163585
P03,v5-4,3,3,motor,0.006277940332183064,0.0013810656652318573
P03,v5-4,3,4,geometric,0.004110083709740629,0.00011610670464290521
P03,v5-4,3,6,motor,0.0044939385557054195,0.0015153463907703537
P03,v5-4,3,8,geometric,0.002150953924532374,0.0008265737542749608
P03,v5-4,3,9,motor,0.0284366835146283,0.004035698955060282
P03,v5-4,3,12,motor,0.013335844360727397,0.004793640171438976
P03,v5-4,3,18,motor,0.02714053119513581,0.0016928485313264107
P03,v5-4,3,27,motor,0.01841465225839693,0.0009769225824073594
P03,v5-4,3,36,motor,0.14832096850285345,0.00661567222865844
P03,v5-4,3,45,motor,0.014713826726194585,0.003582879721892963
P03,v5-4,3,72,motor,0.029305837213187122,0.001777552280279126
P03,v5-4,3,108,motor,0.006655298292021644,0.003056831767632097
P03,v5-4a,3,1,geometric,0.022746741421468247,0.003581259852365628
P03,v5-4a,3,2,geometric,0.005107945370370665,0.0024499686646510775
P03,v5-4a,3,3,motor,0.002563843924428425,0.001962869592317262
P03,v5-4a,3,4,geometric,0.005012412564095012,0.00013835648430924507
P03,v5-4a,3,6,motor,0.002791996795337646,0.001325027225314081
P03,v5-4a,3,8,geometric,0.0015468654226767182,0.0006517947054567821
P03,v5-4a,3,9,motor,0.02880525694008568,0.0010644603750466501
P03,v5-4a,3,12,motor,0.016665318313267962,0.0013337409303286305
P03,v5-4a,3,18,motor,0.026550682940825066,0.001348732449893666
P03,v5-4a,3,27,motor,0.01807557689120907,0.0017494101601507322
P03,v5-4a,3,36,motor,0.14381157227902966,0.0036155727512737473
P03,v5-4a,3,45,motor,0.01394318717021543,0.0007348035941245119
P03,v5-4a,3,72,motor,0.02919086199142239,0.003225294649542749
P03,v5-4a,3,108,motor,0.00851793858401989,0.0034811262630794365
