SequentialRun,Leg,SourceFile,TestID,SweepID,RunOrder,RunRole,EligibleForStatistics,BuildID,ApproachProtocol,PreconditionProtocol,A36_Deg,A36_RecomputeDelta_Deg,AnalysisStartRaw,AnalysisStartRawCentered,ClosureErrorDeg,FirmwareNL_Deg,FirmwareShadowA36_Deg,FirmwareShadowRMS_AC_Deg,MeanDC_Deg,NL_MinusFirmwareRounded_Deg,NL_RobustP2P_Deg,RMS_AC_Deg,RMS_RecomputeDelta_Deg,RawP2P_Deg,ShadowP2P_Deg,SystemINL_Deg
1,BlindUnknown,H2-p06-jig1-remount04-non.txt,2,2,1,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8119855878535889,-0.00015441214641109813,9630.0,-0.33333333333393966,0.14462,3.12,0.81214,0.74663,-0.15656472222222223,-0.004065999999999903,3.115934,0.7464215909207749,-0.00020840907922514695,3.23087,3.23221,1.615435
2,BlindUnknown,H2-p06-jig1-remount04-non.txt,3,3,2,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8137593148978834,-0.0001506851021165767,9630.0,-0.33333333333393966,0.13398,3.09,0.81391,0.7473,-0.12991377777777777,-0.0018440000000001788,3.0881559999999997,0.747258320424779,-4.167957522094312e-05,3.21408,3.21462,1.60704
3,BlindUnknown,H2-p06-jig1-remount04-non.txt,4,4,3,OFFICIAL,1,Jul 23 2026 10:49:50,SCURVE_CW_PREROLL_NO_REVERSAL_V1,ONE_FULL_SWEEP_120S_V1,0.8119486917738729,-0.0002713082261271982,9631.0,0.6666666666660603,0.1181,3.1,0.81222,0.74658,-0.15122119444444446,-0.0025520000000001097,3.097448,0.7464093201082143,-0.00017067989178576326,3.1936299999999997,3.20354,1.5968149999999999
