Group,Order,PeriodMechanicalDeg,AmplitudeMeanDeg,AmplitudeSDDeg,EnergyRatioMean,PhaseCircularMeanDeg,PhaseCoherence
ALL,1,360.0,0.2175146769922769,0.014134985756584175,0.04192724514810568,-35.93643172715664,0.9592574906472778
ALL,2,180.0,0.22696991623829885,0.03587178769510315,0.04540798469806752,-58.276272012556845,0.5714924131190076
ALL,3,120.0,0.027825996860082688,0.02467363825802494,0.0012903021832337978,-12.177258811709837,0.5670731188728384
ALL,4,90.0,0.027656582007999257,0.011517166833860117,0.0007548734276174701,89.36971531316257,0.6508176352717826
ALL,5,72.0,0.03241669761656501,0.00305733908352148,0.0009339031646528955,-49.06307031106287,0.9187540309778894
ALL,6,60.0,0.02958736586980133,0.01798474725723625,0.0011093322175931247,-103.69040320189941,0.40360914386756785
ALL,7,51.42857142857143,0.03261814586878583,0.016312322827988612,0.001225338055747139,-28.309754482622424,0.8301940116589062
ALL,8,45.0,0.023604203798856558,0.011904203618340247,0.0006436966825285168,-43.75633377146949,0.6772630905060176
ALL,9,40.0,0.3363209546419558,0.10387447253336622,0.10489103186652413,31.448221421240873,0.8197687007605183
ALL,10,36.0,0.0302493548336721,0.0018859487773056505,0.0008076838093430326,-34.17764390033244,0.6729039128860117
ALL,11,32.72727272727273,0.03888805301045909,0.004247493060671585,0.0013579344313421012,-36.363491496165345,0.6149148525071643
ALL,12,30.0,0.027464346021041294,0.005910081486363599,0.0006861770013937181,-154.765832284504,0.3841182258485129
ALL,13,27.692307692307693,0.03245265577386923,0.004692761551908164,0.000957936329875671,19.403664705953922,0.6979527304000972
ALL,14,25.714285714285715,0.02921977135104966,0.0017338357461171405,0.0007536381943884424,52.04035428770423,0.7949934885668525
ALL,15,24.0,0.023276849402348546,0.0019179253262754164,0.00047483896580984144,63.97156673403024,0.882877187022652
ALL,16,22.5,0.026380782012671498,0.004423825681974344,0.000615755063751545,68.98115850959002,0.828717396664399
ALL,17,21.176470588235293,0.01220400694684693,0.0036626985875300505,0.00013798592041757657,84.67929820847479,0.977610152998338
ALL,18,20.0,0.09835441200675789,0.0038900142790945923,0.008454870185081441,22.73207776935158,0.47828934772994103
ALL,19,18.94736842105263,0.011120787754595825,0.001324636367716481,0.00010997909216857629,58.22049657842557,0.9025201359991976
ALL,20,18.0,0.014340457961304624,0.0020600821589885814,0.00018197804804173342,78.42032940425946,0.8750965178674963
ALL,21,17.142857142857142,0.008611976968289813,0.001467464728934884,6.638439075171073e-05,70.31118239783619,0.925426263427251
ALL,22,16.363636363636363,0.015594576512971239,0.005113548434137698,0.00022798573534895013,108.51080273177438,0.9926556845374283
ALL,23,15.652173913043478,0.012211704312719273,0.002948795361723664,0.0001354974192717834,112.34239400037099,0.860263560383352
ALL,24,15.0,0.01303098301871374,0.005919834561070423,0.0001855744244107371,110.27005643476932,0.957143738584447
ALL,25,14.4,0.0045121482173559905,0.0021657511932126794,2.2671990386778525e-05,21.313707846659167,0.4837122997339748
ALL,26,13.846153846153847,0.00893410883141794,0.002302565651525638,7.31025750046176e-05,114.88344279967012,0.9737331753649906
ALL,27,13.333333333333334,0.08429655494571825,0.03391570848277171,0.006935377335130981,145.67166093885626,0.8557093176424563
ALL,28,12.857142857142858,0.008936121512194405,0.001824639786574341,7.169067404626802e-05,30.32123495514971,0.8706569412583879
ALL,29,12.413793103448276,0.01192855463741263,0.0020367041453158486,0.00013019169407695426,98.32532825826142,0.9825022798675935
ALL,30,12.0,0.007391735220817253,0.002132545128950112,5.2109956295801456e-05,107.25471454267402,0.9075846766731486
ALL,31,11.612903225806452,0.008700221835146087,0.0019662315358176126,6.870360068297631e-05,80.0929251053346,0.9550311458409553
ALL,32,11.25,0.007509308163096641,0.0027653937255399837,5.731563138510348e-05,90.80623795324836,0.9626857377523904
ALL,33,10.909090909090908,0.006405567968504654,0.00207727599124914,4.068527372984801e-05,97.53119043250597,0.9649221615531732
ALL,34,10.588235294117647,0.010646724684254523,0.004318288309550041,0.00011121254040739572,106.25898919211187,0.9447646193892475
ALL,35,10.285714285714286,0.008348859639739562,0.003205311381852174,7.140457244551881e-05,71.28660576510477,0.9573704903693687
ALL,36,10.0,0.9036274288177804,0.003941278111369549,0.7160235671610732,97.33276381583543,0.9995051994067712
ALL,37,9.72972972972973,0.006338922382656224,0.0025787639423772647,4.084385739045175e-05,120.52595815239957,0.8876445908890693
ALL,38,9.473684210526315,0.007733939196004372,0.002519734515708039,5.852647734924049e-05,137.703490305869,0.9650239281518876
ALL,39,9.23076923076923,0.005376516381258114,0.002320111309895657,2.9381093808177936e-05,82.7378116148046,0.7423895703952047
ALL,40,9.0,0.004940684802141006,0.001868536213779776,2.4539656819924045e-05,46.27016848901805,0.8058211494907449
ALL,41,8.78048780487805,0.004192592431588344,0.001178699196828191,1.683703000595795e-05,97.1614694416424,0.8493426726222785
ALL,42,8.571428571428571,0.004653576723203307,0.002207501874313088,2.3946959535555213e-05,127.52068176570086,0.8758294814463334
ALL,43,8.372093023255815,0.0049339990370510355,0.001711336034648823,2.401368982380053e-05,89.78701220997048,0.903016636040202
ALL,44,8.181818181818182,0.006641120810118431,0.002311380960796603,4.2038239755015306e-05,112.98420181023623,0.9022058721284446
ALL,45,8.0,0.0913924376572178,0.033440111863323733,0.007978798878287015,-134.32079611471167,0.7855581858357175
ALL,46,7.826086956521739,0.010043510366374474,0.004056494197234083,9.892739105154872e-05,125.83986694438802,0.8580964505230434
ALL,47,7.659574468085107,0.00978669257763931,0.004947592806509009,0.00010053411097725868,140.65255539618778,0.7808290546777469
ALL,48,7.5,0.008024050406759133,0.0030685024221588503,6.302264148890214e-05,62.95814196022016,0.8095614552285219
ALL,49,7.346938775510204,0.008771620676363981,0.003349900479203574,7.462279929387923e-05,160.65771852773128,0.5973900846835225
ALL,50,7.2,0.006557942562340231,0.0021827245292183684,4.131672046175014e-05,162.0298591772087,0.49378353728562996
ALL,51,7.0588235294117645,0.007250922697329951,0.0024948165669976246,4.9992824923416514e-05,-148.7172449387186,0.37667849346771776
ALL,52,6.923076923076923,0.006449450644126155,0.0013574970236655698,3.796049234206038e-05,-166.25719390579755,0.36388033972321654
ALL,53,6.7924528301886795,0.004719374619551602,0.0018800020008576492,2.3301469096334117e-05,-178.94060477644769,0.4614648920014312
ALL,54,6.666666666666667,0.059828212236025906,0.007469580332253682,0.0032338913544045214,-175.26709951021482,0.7752177371481065
ALL,55,6.545454545454546,0.00378564294589919,0.0019774854027145646,1.6230795014003823e-05,-150.158069329751,0.3950011968876374
ALL,56,6.428571428571429,0.0058864939880172796,0.0023297104175769145,3.5297202753433025e-05,-157.65176891554736,0.5136794779076538
ALL,57,6.315789473684211,0.00398117117110974,0.0014658619784885842,1.6036231954660283e-05,138.59586389605585,0.7421669217019503
ALL,58,6.206896551724138,0.005249706315044667,0.0019440640627265,2.673447278151159e-05,4.221839996471406,0.634981257317216
ALL,59,6.101694915254237,0.0033011722830901956,0.001571822845018349,1.2014344072532671e-05,55.85728060055816,0.41760927793785574
ALL,60,6.0,0.0031448494595706965,0.0023308365865410637,1.409725923281106e-05,90.14982208018914,0.249600214144867
ALL,61,5.901639344262295,0.004697774003013659,0.0017734517743610643,2.1881489697056623e-05,91.05573297732288,0.8428273863248485
ALL,62,5.806451612903226,0.0022132988211445636,0.001804019570961467,7.475752604538378e-06,84.94204025236951,0.27771290237054064
ALL,63,5.714285714285714,0.045136772295550714,0.02074886686026748,0.002065310214612838,-23.571965710339796,0.8639427880218901
ALL,64,5.625,0.003981040696801452,0.001426988975694934,1.5453204236591366e-05,-179.19155154363975,0.7522711019161933
