"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"380","ALIGN_RAMP","51503","-4","-21.97265625","3","3000","4000000","45600","11789","11789","0","2935","1329","2144"
"381","ALIGN_RAMP","51503","-4","-21.97265625","0","0","-3000000","45720","11790","11790","0","2935","1329","2054"
"382","ALIGN_RAMP","51502","-5","-27.4658203125","-1","-1000","-1000000","45840","11791","11791","0","2935","1329","1964"
"383","ALIGN_RAMP","51501","-6","-32.958984375","-1","-1000","0","45960","11792","11792","0","2935","1329","1874"
"384","ALIGN_RAMP","51501","-6","-32.958984375","0","0","1000000","46080","11793","11793","0","2935","1329","1784"
"385","ALIGN_RAMP","51500","-7","-38.4521484375","-1","-1000","-1000000","46200","11794","11794","0","2935","1329","1694"
"386","ALIGN_RAMP","51502","-5","-27.4658203125","2","2000","3000000","46320","11795","11795","0","2935","1329","1604"
"387","ALIGN_RAMP","51500","-7","-38.4521484375","-2","-2000","-4000000","46440","11796","11796","0","2935","1329","1514"
"388","ALIGN_RAMP","51502","-5","-27.4658203125","2","2000","4000000","46560","11797","11797","0","2935","1329","1424"
"389","ALIGN_RAMP","51504","-3","-16.4794921875","2","2000","0","46680","11798","11798","0","2935","1329","1334"
"390","ALIGN_RAMP","51502","-5","-27.4658203125","-2","-2000","-4000000","46800","11799","11799","0","2935","1329","1244"
"391","ALIGN_RAMP","51502","-5","-27.4658203125","0","0","2000000","46920","11800","11800","0","2935","1329","1154"
"392","ALIGN_RAMP","51499","-8","-43.9453125","-3","-3000","-3000000","47040","11801","11801","0","2935","1329","1064"
"393","ALIGN_RAMP","51500","-7","-38.4521484375","1","1000","4000000","47160","11802","11802","0","2935","1329","974"
"394","ALIGN_RAMP","51499","-8","-43.9453125","-1","-1000","-2000000","47280","11803","11803","0","2935","1329","884"
"395","ALIGN_RAMP","51505","-2","-10.986328125","6","6000","7000000","47400","11804","11804","0","2935","1329","794"
"396","ALIGN_RAMP","51501","-6","-32.958984375","-4","-4000","-10000000","47520","11805","11805","0","2935","1329","704"
"397","ALIGN_RAMP","51500","-7","-38.4521484375","-1","-1000","3000000","47640","11806","11806","0","2935","1329","614"
"398","ALIGN_RAMP","51501","-6","-32.958984375","1","1000","2000000","47760","11807","11807","0","2935","1329","524"
"399","ALIGN_RAMP","51498","-9","-49.4384765625","-3","-3000","-4000000","47880","11808","11808","0","2935","1329","434"
"400","ALIGN_RAMP","51500","-7","-38.4521484375","2","2000","5000000","48000","11809","11809","0","2935","1329","410"
"401","ALIGN_RAMP","51499","-8","-43.9453125","-1","-1000","-3000000","48120","11810","11810","0","2935","1329","254"
"402","ALIGN_RAMP","51500","-7","-38.4521484375","1","1000","2000000","48240","11811","11811","0","2935","1329","164"
"403","ALIGN_RAMP","51497","-10","-54.931640625","-3","-3000","-4000000","48360","11812","11812","0","2935","1329","74"
"404","ALIGN_RAMP","51503","-4","-21.97265625","6","6000","9000000","48480","11813","11813","0","2935","1329","2139"
