"Run","File","Profile","Result","GatePass","HardGatePass","GateReasons","EvidenceCount","BaselineRaw","FinalRaw","FinalTravelMilliDeg","MaxAbsTravelMilliDeg","MaxAbsStepRaw","MaxAbsStepMilliDeg","MaxStepSeq","MaxStepPowerPpm","Onset50mdegSeq","Onset100mdegSeq","Onset250mdegSeq","Onset500mdegSeq","HoldMeanMilliDeg","HoldStdMilliDeg","HoldP2PMilliDeg","HoldDriftMilliDeg","HoldTail20MeanMilliDeg","HoldTail20StdMilliDeg","HoldTail20P2PMilliDeg","SettledModuloRaw","LoopMinUs","LoopMeanUs","LoopMaxUs","SpiMeanUs","SpiMaxUs","MaxLatenessTicks","DeadlineMisses","Retries","TransportErrors","JumpRejects","FailedSamples","AccelerationSaturations","FreeHeap","StackHighWaterWords"
"A2F làn 1","C:\learn\rd\jig\A2F làn 1.txt","CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1","OK","True","True","","1001","55311","54879","-2373.047","2543.335","45","247.192","406","73080","232","283","366","393","-2390.076","10.569","76.904","21.973","-2390.9","9.652","38.452","260.9","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2F làn 2","C:\learn\rd\jig\A2F làn 2.txt","CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1","OK","True","True","","1001","47841","48047","1131.592","1153.564","11","60.425","874","90000","200","220","247","320","1101.434","22.706","131.836","109.863","1124.725","9.96","38.452","4349.51","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2F lần 3","C:\learn\rd\jig\A2F lần 3.txt","CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1","OK","True","True","","1001","42227","42165","-340.576","368.042","9","49.438","301","54180","204","249","404","NA","-338.796","10.246","60.425","-16.479","-342.499","5.568","21.973","9396.324","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2F lần 4","C:\learn\rd\jig\A2F lần 4.txt","CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1","OK","True","True","","1001","35096","35102","32.959","93.384","9","49.438","684","90000","217","NA","NA","NA","50.273","9.272","60.425","-16.479","47.241","7.035","27.466","2336.152","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2F lần 5","C:\learn\rd\jig\A2F lần 5.txt","CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1","OK","True","True","","1001","24287","24307","109.863","126.343","8","43.945","724","90000","202","217","NA","NA","99.174","11.111","65.918","5.493","100.525","8.166","27.466","2459.054","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
