"Run","File","Profile","Result","GatePass","HardGatePass","GateReasons","EvidenceCount","BaselineRaw","FinalRaw","FinalTravelMilliDeg","MaxAbsTravelMilliDeg","MaxAbsStepRaw","MaxAbsStepMilliDeg","MaxStepSeq","MaxStepPowerPpm","Onset50mdegSeq","Onset100mdegSeq","Onset250mdegSeq","Onset500mdegSeq","HoldMeanMilliDeg","HoldStdMilliDeg","HoldP2PMilliDeg","HoldDriftMilliDeg","HoldTail20MeanMilliDeg","HoldTail20StdMilliDeg","HoldTail20P2PMilliDeg","SettledModuloRaw","LoopMinUs","LoopMeanUs","LoopMaxUs","SpiMeanUs","SpiMaxUs","MaxLatenessTicks","DeadlineMisses","Retries","TransportErrors","JumpRejects","FailedSamples","AccelerationSaturations","FreeHeap","StackHighWaterWords"
"A2B lần 1","C:\learn\rd\jig\A2B lần 1.txt","CONTROL_A2B_FIXED_PHASE_ALIGN_P10_H500_V1","OK","True","True","","1001","29674","29679","27.466","60.425","9","49.438","602","100000","393","NA","NA","NA","31.783","11.231","60.425","-5.493","32.41","10.114","43.945","7833.786","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2B lần 2","C:\learn\rd\jig\A2B lần 2.txt","CONTROL_A2B_FIXED_PHASE_ALIGN_P10_H500_V1","SAMPLE_STEP_LIMIT","False","False","Result=SAMPLE_STEP_LIMIT;ActiveDuration;SummaryEvidenceCount;ReadAttempts;Accepted;DataCount=530;Phases=501/29;StepLimit@529=50","530","25943","26361","2296.143","2296.143","50","274.658","529","100000","177","213","285","361","1337.301","296.419","1257.935","1252.441","1446.899","296.714","1126.099","4340.448","17.244","17.274","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
