"Run","File","Profile","Result","GatePass","HardGatePass","GateReasons","EvidenceCount","BaselineRaw","FinalRaw","FinalTravelMilliDeg","MaxAbsTravelMilliDeg","MaxAbsStepRaw","MaxAbsStepMilliDeg","MaxStepSeq","MaxStepPowerPpm","Onset50mdegSeq","Onset100mdegSeq","Onset250mdegSeq","Onset500mdegSeq","HoldMeanMilliDeg","HoldStdMilliDeg","HoldP2PMilliDeg","HoldDriftMilliDeg","HoldTail20MeanMilliDeg","HoldTail20StdMilliDeg","HoldTail20P2PMilliDeg","SettledModuloRaw","LoopMinUs","LoopMeanUs","LoopMaxUs","SpiMeanUs","SpiMaxUs","MaxLatenessTicks","DeadlineMisses","Retries","TransportErrors","JumpRejects","FailedSamples","AccelerationSaturations","FreeHeap","StackHighWaterWords"
"A2D lần 1","C:\learn\rd\jig\A2D lần 1.txt","CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1","OK","True","True","","1001","48173","48225","285.645","307.617","10","54.932","89","12460","247","291","445","NA","280.964","11.142","54.932","10.986","289.764","10.548","38.452","4532.148","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2D lần 2","C:\learn\rd\jig\A2D lần 2.txt","CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1","OK","True","True","","1001","42664","42463","-1104.126","1120.605","9","49.438","686","70000","215","247","264","302","-1090.36","13.25","71.411","-38.452","-1101.105","9.269","32.959","9696.506","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2D lần 3","C:\learn\rd\jig\A2D lần 3.txt","CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1","OK","True","True","","1001","31423","31384","-214.233","247.192","10","54.932","751","70000","234","296","NA","NA","-215.233","11.318","65.918","0","-213.959","10.775","43.945","9537.818","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2D lần 4","C:\learn\rd\jig\A2D lần 4.txt","CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1","OK","True","True","","1001","11585","11497","-483.398","516.357","10","54.932","478","66920","267","316","412","737","-472.632","11.887","82.397","-27.466","-477.905","10.423","32.959","575.96","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
"A2D lần 5","C:\learn\rd\jig\A2D lần 5.txt","CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1","OK","True","True","","1001","49674","49741","368.042","411.987","8","43.945","4","560","275","316","403","NA","383.148","11.73","54.932","-5.493","384.521","10.423","43.945","6051.75","17.244","17.277","17.28","7.952","7.952","0","0","0","0","0","0","0","91688","1176"
