"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"97","ALIGN_RAMP","49671","-3","-16.4794921875","-2","-2000","-2000000","13580","278125","278125","0","2902","1336","1911"
"98","ALIGN_RAMP","49669","-5","-27.4658203125","-2","-2000","0","13720","278126","278126","0","2902","1336","1821"
"99","ALIGN_RAMP","49676","2","10.986328125","7","7000","9000000","13860","278127","278127","0","2902","1336","1731"
"100","ALIGN_RAMP","49674","0","0","-2","-2000","-9000000","14000","278128","278128","0","2902","1336","1641"
"101","ALIGN_RAMP","49672","-2","-10.986328125","-2","-2000","0","14140","278129","278129","0","2902","1336","1551"
"102","ALIGN_RAMP","49673","-1","-5.4931640625","1","1000","3000000","14280","278130","278130","0","2902","1336","1461"
"103","ALIGN_RAMP","49669","-5","-27.4658203125","-4","-4000","-5000000","14420","278131","278131","0","2902","1336","1371"
"104","ALIGN_RAMP","49674","0","0","5","5000","9000000","14560","278132","278132","0","2902","1336","1281"
"105","ALIGN_RAMP","49671","-3","-16.4794921875","-3","-3000","-8000000","14700","278133","278133","0","2902","1336","1191"
"106","ALIGN_RAMP","49672","-2","-10.986328125","1","1000","4000000","14840","278134","278134","0","2902","1336","1101"
"107","ALIGN_RAMP","49673","-1","-5.4931640625","1","1000","0","14980","278135","278135","0","2902","1336","1011"
"108","ALIGN_RAMP","49671","-3","-16.4794921875","-2","-2000","-3000000","15120","278136","278136","0","2902","1336","921"
"109","ALIGN_RAMP","49674","0","0","3","3000","5000000","15260","278137","278137","0","2902","1336","831"
"110","ALIGN_RAMP","49675","1","5.4931640625","1","1000","-2000000","15400","278138","278138","0","2902","1336","741"
"111","ALIGN_RAMP","49674","0","0","-1","-1000","-2000000","15540","278139","278139","0","2902","1336","651"
"112","ALIGN_RAMP","49673","-1","-5.4931640625","-1","-1000","0","15680","278140","278140","0","2902","1336","561"
"113","ALIGN_RAMP","49672","-2","-10.986328125","-1","-1000","0","15820","278141","278141","0","2902","1336","471"
"114","ALIGN_RAMP","49670","-4","-21.97265625","-2","-2000","-1000000","15960","278142","278142","0","2902","1336","381"
"115","ALIGN_RAMP","49672","-2","-10.986328125","2","2000","4000000","16100","278143","278143","0","2902","1336","291"
"116","ALIGN_RAMP","49678","4","21.97265625","6","6000","4000000","16240","278144","278144","0","2902","1336","201"
"117","ALIGN_RAMP","49673","-1","-5.4931640625","-5","-5000","-11000000","16380","278145","278145","0","2902","1336","111"
"118","ALIGN_RAMP","49675","1","5.4931640625","2","2000","7000000","16520","278146","278146","0","2902","1336","21"
"119","ALIGN_RAMP","49671","-3","-16.4794921875","-4","-4000","-6000000","16660","278147","278147","0","2902","1336","2086"
"120","ALIGN_RAMP","49676","2","10.986328125","5","5000","9000000","16800","278148","278148","0","2902","1336","1996"
"121","ALIGN_RAMP","49676","2","10.986328125","0","0","-5000000","16940","278149","278149","0","2902","1336","1906"
"122","ALIGN_RAMP","49674","0","0","-2","-2000","-2000000","17080","278150","278150","0","2902","1336","1816"
"123","ALIGN_RAMP","49672","-2","-10.986328125","-2","-2000","0","17220","278151","278151","0","2902","1336","1726"
"124","ALIGN_RAMP","49669","-5","-27.4658203125","-3","-3000","-1000000","17360","278152","278152","0","2902","1336","1636"
"125","ALIGN_RAMP","49675","1","5.4931640625","6","6000","9000000","17500","278153","278153","0","2902","1336","1546"
"126","ALIGN_RAMP","49676","2","10.986328125","1","1000","-5000000","17640","278154","278154","0","2902","1336","1456"
"127","ALIGN_RAMP","49672","-2","-10.986328125","-4","-4000","-5000000","17780","278155","278155","0","2902","1336","1366"
"128","ALIGN_RAMP","49669","-5","-27.4658203125","-3","-3000","1000000","17920","278156","278156","0","2902","1336","1276"
"129","ALIGN_RAMP","49670","-4","-21.97265625","1","1000","4000000","18060","278157","278157","0","2902","1336","1186"
"130","ALIGN_RAMP","49675","1","5.4931640625","5","5000","4000000","18200","278158","278158","0","2902","1336","1096"
"131","ALIGN_RAMP","49675","1","5.4931640625","0","0","-5000000","18340","278159","278159","0","2902","1336","1006"
"132","ALIGN_RAMP","49672","-2","-10.986328125","-3","-3000","-3000000","18480","278160","278160","0","2902","1336","916"
"133","ALIGN_RAMP","49672","-2","-10.986328125","0","0","3000000","18620","278161","278161","0","2902","1336","826"
"134","ALIGN_RAMP","49674","0","0","2","2000","2000000","18760","278162","278162","0","2902","1336","736"
"135","ALIGN_RAMP","49670","-4","-21.97265625","-4","-4000","-6000000","18900","278163","278163","0","2902","1336","646"
"136","ALIGN_RAMP","49670","-4","-21.97265625","0","0","4000000","19040","278164","278164","0","2902","1336","556"
"137","ALIGN_RAMP","49676","2","10.986328125","6","6000","6000000","19180","278165","278165","0","2902","1336","466"
"138","ALIGN_RAMP","49673","-1","-5.4931640625","-3","-3000","-9000000","19320","278166","278166","0","2902","1336","376"
"139","ALIGN_RAMP","49676","2","10.986328125","3","3000","6000000","19460","278167","278167","0","2902","1336","286"
"140","ALIGN_RAMP","49675","1","5.4931640625","-1","-1000","-4000000","19600","278168","278168","0","2902","1336","196"
"141","ALIGN_RAMP","49671","-3","-16.4794921875","-4","-4000","-3000000","19740","278169","278169","0","2902","1336","106"
"142","ALIGN_RAMP","49671","-3","-16.4794921875","0","0","4000000","19880","278170","278170","0","2902","1336","16"
"143","ALIGN_RAMP","49672","-2","-10.986328125","1","1000","1000000","20020","278171","278171","0","2902","1336","2081"
"144","ALIGN_RAMP","49673","-1","-5.4931640625","1","1000","0","20160","278172","278172","0","2902","1336","1991"
"145","ALIGN_RAMP","49676","2","10.986328125","3","3000","2000000","20300","278173","278173","0","2902","1336","1901"
"146","ALIGN_RAMP","49668","-6","-32.958984375","-8","-8000","-11000000","20440","278174","278174","0","2902","1336","1811"
"147","ALIGN_RAMP","49671","-3","-16.4794921875","3","3000","11000000","20580","278175","278175","0","2902","1336","1721"
"148","ALIGN_RAMP","49672","-2","-10.986328125","1","1000","-2000000","20720","278176","278176","0","2902","1336","1631"
"149","ALIGN_RAMP","49671","-3","-16.4794921875","-1","-1000","-2000000","20860","278177","278177","0","2902","1336","1541"
