motor_id,jig_a,jig_b,analysis_points,runs_a,runs_b,zero_shift_correlation,best_shift_deg,best_shift_points,best_shift_correlation,second_shift_deg,second_shift_correlation,correlation_margin,shifts_within_0_001_of_best,centered_rmse_zero_shift_deg,centered_rmse_aligned_deg,top5_mean_a_deg,top5_mean_b_deg,top5_delta_b_minus_a_deg,bottom5_mean_a_deg,bottom5_mean_b_deg,bottom5_delta_b_minus_a_deg,robust_nl_a_deg,robust_nl_b_deg,robust_nl_delta_b_minus_a_deg,top5_mean_distance_aligned_deg,top5_max_distance_aligned_deg,bottom5_mean_distance_aligned_deg,bottom5_max_distance_aligned_deg
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,20260803-115352_UNKNOWN_JIG1_batch001_complete,360,3,3,0.9788560935434297,0.0,0,0.9788560935434297,320.0,0.9148779053209639,0.06397818822246581,1,0.14619813315224062,0.14619813315224062,1.7849826666666668,2.0739213333333333,0.28893866666666645,-1.0982813333333334,-0.919718,0.1785633333333334,2.8832640000000005,2.9936393333333333,0.11037533333333283,2.0,10.0,40.0,80.0
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,S1-P05-JIG4-remount01-test-2,360,3,3,0.9336459194152741,0.0,0,0.9336459194152741,320.0,0.8963788847332339,0.03726703468204018,1,0.28241010074605033,0.28241010074605033,1.7849826666666668,1.6563353333333335,-0.12864733333333334,-1.0982813333333334,-1.6444340000000002,-0.5461526666666667,2.8832640000000005,3.3007693333333337,0.4175053333333332,24.2,40.0,71.6,119.0
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,S1-P05-JIG4-remount02-test-2,360,3,3,0.9231486626308928,0.0,0,0.9231486626308928,320.0,0.8909698422693718,0.03217882036152098,1,0.30346015235577944,0.30346015235577944,1.7849826666666668,1.5952353333333333,-0.1897473333333335,-1.0982813333333334,-1.7049246666666669,-0.6066433333333334,2.8832640000000005,3.30016,0.4168959999999995,27.8,40.0,71.6,119.0
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,S1-P05-JIG4-remount03-test-2,360,3,3,0.9167692253400036,0.0,0,0.9167692253400036,40.0,0.889254456183314,0.0275147691566896,1,0.3141652479379662,0.3141652479379662,1.7849826666666668,1.5718133333333333,-0.21316933333333354,-1.0982813333333334,-1.7478073333333335,-0.649526,2.8832640000000005,3.3196206666666668,0.4363566666666663,38.0,69.0,71.6,119.0
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount01,360,3,3,0.9821183750922767,0.0,0,0.9821183750922767,320.0,0.9175385346720216,0.06457984042025511,1,0.1363387025655083,0.1363387025655083,1.7849826666666668,2.1746293333333333,0.3896466666666665,-1.0982813333333334,-0.8836153333333333,0.21466600000000013,2.8832640000000005,3.0582446666666665,0.174980666666666,10.0,29.0,40.0,80.0
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount01-test-2,360,3,3,0.9771447786589247,0.0,0,0.9771447786589247,320.0,0.9197543010134687,0.05739047764545602,1,0.16014835373889114,0.16014835373889114,1.7849826666666668,2.321149333333333,0.5361666666666662,-1.0982813333333334,-0.8711926666666668,0.2270886666666666,2.8832640000000005,3.192342,0.3090779999999995,2.0,10.0,40.0,80.0
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount02,360,3,3,0.9780824426917022,0.0,0,0.9780824426917022,320.0,0.9205430243113982,0.057539418380303964,1,0.1536103703066224,0.1536103703066224,1.7849826666666668,2.27535,0.49036733333333316,-1.0982813333333334,-0.8691526666666666,0.22912866666666687,2.8832640000000005,3.1445026666666664,0.26123866666666595,2.0,10.0,40.0,80.0
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount02-test-2,360,3,3,0.9740065660655249,0.0,0,0.9740065660655249,320.0,0.9168980156943415,0.05710855037118345,1,0.17084221296649962,0.17084221296649962,1.7849826666666668,2.3599580000000002,0.5749753333333334,-1.0982813333333334,-0.8598673333333332,0.23841400000000024,2.8832640000000005,3.2198253333333335,0.33656133333333305,2.0,10.0,40.0,80.0
P05,20260803-111810_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount03-test-2,360,3,3,0.9814001194925921,0.0,0,0.9814001194925921,320.0,0.918605968301149,0.06279415119144305,1,0.14186670661133852,0.14186670661133852,1.7849826666666668,2.2335499999999997,0.4485673333333329,-1.0982813333333334,-0.902034,0.19624733333333344,2.8832640000000005,3.1355839999999997,0.2523199999999992,10.0,29.0,40.0,80.0
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,S1-P05-JIG4-remount01-test-2,360,3,3,0.8617675548523467,40.0,40,0.885903816841742,0.0,0.8617675548523467,0.024136261989395336,1,0.39983178054381746,0.3644387045564252,2.0739213333333333,1.6563353333333335,-0.4175859999999998,-0.919718,-1.6444340000000002,-0.7247160000000001,2.9936393333333333,3.3007693333333337,0.30713000000000035,13.8,39.0,87.6,159.0
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,S1-P05-JIG4-remount02-test-2,360,3,3,0.8450696397714081,40.0,40,0.8784452507245539,0.0,0.8450696397714081,0.033375610953145785,1,0.42374229427678,0.37686209623885214,2.0739213333333333,1.5952353333333333,-0.47868599999999994,-0.919718,-1.7049246666666669,-0.7852066666666668,2.9936393333333333,3.30016,0.30652066666666666,21.8,69.0,87.6,159.0
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,S1-P05-JIG4-remount03-test-2,360,3,3,0.8351396397266523,40.0,40,0.87820838926166,280.0,0.8357318720290389,0.042476517232621136,1,0.43599884452928583,0.37651562620066614,2.0739213333333333,1.5718133333333333,-0.502108,-0.919718,-1.7478073333333335,-0.8280893333333335,2.9936393333333333,3.3196206666666668,0.32598133333333346,15.6,39.0,87.6,159.0
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount01,360,3,3,0.9980965918071628,0.0,0,0.9980965918071628,40.0,0.8930213970568874,0.10507519475027538,1,0.04530929584224498,0.04530929584224498,2.0739213333333333,2.1746293333333333,0.10070800000000002,-0.919718,-0.8836153333333333,0.03610266666666673,2.9936393333333333,3.0582446666666665,0.06460533333333318,8.0,29.0,0.0,0.0
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount01-test-2,360,3,3,0.9920710105120112,0.0,0,0.9920710105120112,320.0,0.8903965086651199,0.10167450184689131,1,0.09694252155733818,0.09694252155733818,2.0739213333333333,2.321149333333333,0.24722799999999978,-0.919718,-0.8711926666666668,0.0485253333333332,2.9936393333333333,3.192342,0.1987026666666667,0.0,0.0,0.0,0.0
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount02,360,3,3,0.9954557704311273,0.0,0,0.9954557704311273,320.0,0.8990054656612564,0.09645030476987093,1,0.07202039714824268,0.07202039714824268,2.0739213333333333,2.27535,0.2014286666666667,-0.919718,-0.8691526666666666,0.05056533333333346,2.9936393333333333,3.1445026666666664,0.15086333333333313,0.0,0.0,0.0,0.0
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount02-test-2,360,3,3,0.9906528377697091,0.0,0,0.9906528377697091,320.0,0.8873441220219461,0.10330871574776301,1,0.1051897854435552,0.1051897854435552,2.0739213333333333,2.3599580000000002,0.28603666666666694,-0.919718,-0.8598673333333332,0.05985066666666683,2.9936393333333333,3.2198253333333335,0.22618600000000022,0.0,0.0,0.0,0.0
P05,20260803-115352_UNKNOWN_JIG1_batch001_complete,S2-P05-JIG1-remount03-test-2,360,3,3,0.994607974410227,0.0,0,0.994607974410227,320.0,0.892037893257961,0.10257008115226596,1,0.07782623796507822,0.07782623796507822,2.0739213333333333,2.2335499999999997,0.15962866666666642,-0.919718,-0.902034,0.017684000000000033,2.9936393333333333,3.1355839999999997,0.14194466666666639,8.0,29.0,0.0,0.0
P05,S1-P05-JIG4-remount01-test-2,S1-P05-JIG4-remount02-test-2,360,3,3,0.9991713935509252,0.0,0,0.9991713935509252,40.0,0.9062258051128798,0.09294558843804546,1,0.03210547933117143,0.03210547933117143,1.6563353333333335,1.5952353333333333,-0.061100000000000154,-1.6444340000000002,-1.7049246666666669,-0.06049066666666669,3.3007693333333337,3.30016,-0.0006093333333336837,8.0,30.0,0.0,0.0
P05,S1-P05-JIG4-remount01-test-2,S1-P05-JIG4-remount03-test-2,360,3,3,0.9976449060283922,0.0,0,0.9976449060283922,40.0,0.9076645725660908,0.08998033346230139,1,0.05389002550365547,0.05389002550365547,1.6563353333333335,1.5718133333333333,-0.08452200000000021,-1.6444340000000002,-1.7478073333333335,-0.10337333333333332,3.3007693333333337,3.3196206666666668,0.01885133333333311,13.8,39.0,0.0,0.0
P05,S1-P05-JIG4-remount01-test-2,S2-P05-JIG1-remount01,360,3,3,0.8747313644656725,320.0,320,0.8912624508216451,0.0,0.8747313644656725,0.01653108635597267,1,0.38202132789494525,0.3566137848026165,1.6563353333333335,2.1746293333333333,0.5182939999999998,-1.6444340000000002,-0.8836153333333333,0.7608186666666669,3.3007693333333337,3.0582446666666665,-0.24252466666666717,21.8,40.0,87.6,159.0
P05,S1-P05-JIG4-remount01-test-2,S2-P05-JIG1-remount01-test-2,360,3,3,0.8760757198805182,320.0,320,0.9015762454973328,0.0,0.8760757198805182,0.025500525616814596,1,0.3826912800934559,0.3415193400071958,1.6563353333333335,2.321149333333333,0.6648139999999996,-1.6444340000000002,-0.8711926666666668,0.7732413333333333,3.3007693333333337,3.192342,-0.10842733333333365,13.8,39.0,87.6,159.0
