motor_id,jig_id,eligible_runs,harmonic_order,family,amplitude_mean_deg,amplitude_sd_deg
P013,JIG7,10,1,geometric,0.10795592885489055,0.008048511769487707
P013,JIG7,10,2,geometric,0.24678536703287376,0.014257628928743746
P013,JIG7,10,3,motor,0.04415838337235863,0.005508247273683196
P013,JIG7,10,4,geometric,0.008635182858620572,0.004104063908294891
P013,JIG7,10,6,motor,0.026368253480441563,0.0015166278026108372
P013,JIG7,10,8,geometric,0.011445833537831383,0.0016219272197535728
P013,JIG7,10,9,motor,0.24122515975134404,0.0017861715466390938
P013,JIG7,10,12,motor,0.05252294990162369,0.001216414357394319
P013,JIG7,10,18,motor,0.11406291727903169,0.0008878027284107426
P013,JIG7,10,27,motor,0.03923090003243414,0.0008601056869264203
P013,JIG7,10,36,motor,0.8595756993965177,0.0016926546413548304
P013,JIG7,10,45,motor,0.07739228999399436,0.0011549164604371736
P013,JIG7,10,72,motor,0.16896085298281563,0.001014161526550269
P013,JIG7,10,108,motor,0.09061040384688486,0.0007135444701479142
P013,JIG8,10,1,geometric,0.3842407160438832,0.0045999008490127105
P013,JIG8,10,2,geometric,0.18185753754902312,0.024267704081015494
P013,JIG8,10,3,motor,0.10366841488561462,0.002094983612469624
P013,JIG8,10,4,geometric,0.033946156939646796,0.004419885620219389
P013,JIG8,10,6,motor,0.007900794474620734,0.0022381096716978135
P013,JIG8,10,8,geometric,0.004504765211870743,0.0018171808204042203
P013,JIG8,10,9,motor,0.2525359826267975,0.0019973116413481515
P013,JIG8,10,12,motor,0.07836711446239034,0.008171461215384075
P013,JIG8,10,18,motor,0.11093588137861377,0.001303488966481677
P013,JIG8,10,27,motor,0.03919387542639065,0.0015938408103252988
P013,JIG8,10,36,motor,0.8581312669334302,0.002616268086696396
P013,JIG8,10,45,motor,0.07754360086826269,0.0013225967122324758
P013,JIG8,10,72,motor,0.17225729804188905,0.0011017100185920809
P013,JIG8,10,108,motor,0.09160244773131303,0.0013118298680600865
