Profile,PowerPercent,SampleCount,ResultantR,RayleighZ,RayleighP,BootstrapCILow,BootstrapCIHigh
CONTROL_A2C_FIXED_PHASE_ALIGN_P06_H500_V1,6,5,0.182519914355945,0.166567595682508,0.859412334609216,0.165855892488966,0.893896775247107
CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1,7,5,0.210309031485978,0.221149443622849,0.817402667921125,0.137043310675225,0.910297979698958
CONTROL_A2E_FIXED_PHASE_ALIGN_P08_H500_V1,8,5,0.336411331537943,0.565862919935661,0.592161106979428,0.1597310340796,0.99981936058229
CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1,9,5,0.456659140681614,1.04268785384035,0.372202847067919,0.137926524005968,0.901572376206537
CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,10,10,0.300134793141988,0.900808940543837,0.416802904851037,0.100958518918309,0.741460681155895
