Run,File,Profile,Result,GatePass,TargetPowerPercent,EvidenceCount,BaselineRaw,StartModuloRaw,FinalTravelDeg,MaxAbsTravelDeg,MaxAbsStepRaw,HoldDriftDeg,HoldStdDeg,HoldP2PDeg,Tail20StdDeg,Tail20P2PDeg,SettledModuloRaw,FinalModuloRaw,MovedOverPoint1Deg,EvidenceHash,DuplicateOf,Included
A2F làn 1,C:\learn\rd\jig\A2F làn 1.txt,CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1,OK,1,9,1001,55311,696,-2.373046875,2.5433349609375,45,0.02197265625,0.0105691674197989,0.076904296875,0.00965219424543763,0.0384521484375,260.900000000001,264,1,1e68d76df66d80ba88815479400a94f2a0b501f885d0d3ea5319210cf19ba273,,1
A2F làn 2,C:\learn\rd\jig\A2F làn 2.txt,CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1,OK,1,9,1001,47841,4149,1.131591796875,1.153564453125,11,0.10986328125,0.0227060453147388,0.1318359375,0.00995991084473991,0.0384521484375,4349.51,4355,1,c0f2fe9fcf02d3ff3f0843c5c7f6e01c860b24afec8d897eca10a7a6291be5e8,,1
A2F lần 3,C:\learn\rd\jig\A2F lần 3.txt,CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1,OK,1,9,1001,42227,9458,-0.340576171875,0.3680419921875,9,-0.0164794921875,0.0102459275948086,0.0604248046875,0.0055681828123297,0.02197265625,9396.324,9396,1,687ebc7b2e4bde39db7fd4da4f55758250fb4da0f95dddf232843117490f7024,,1
A2F lần 4,C:\learn\rd\jig\A2F lần 4.txt,CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1,OK,1,9,1001,35096,2327,0.032958984375,0.0933837890625,9,-0.0164794921875,0.00927173195816339,0.0604248046875,0.00703468238975777,0.0274658203125,2336.152,2333,0,9d51ed3ef9db771b9fff2d0926d1bd627890d2d716c65e01071ecb3e029be85f,,1
A2F lần 5,C:\learn\rd\jig\A2F lần 5.txt,CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1,OK,1,9,1001,24287,2441,0.10986328125,0.1263427734375,8,0.0054931640625,0.0111107088809257,0.06591796875,0.00816617545934244,0.0274658203125,2459.054,2461,1,3a8529c6aa220b81c2d950e8d35b035fadf9d338ace89690c4ec6f01a6a66347,,1
A2 lần 10,C:\learn\rd\jig\A2 lần 10.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,24275,2429,0.02197265625,0.0439453125,9,0.010986328125,0.00976486203074222,0.0494384765625,0.00935452131917344,0.032958984375,2429.6,2433,0,85af7758e4c79a1362ab66739cc9af5a8f93d70fabb7c28c172283f1d598790f,,1
A2 lần 11,C:\learn\rd\jig\A2 lần 11.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,37107,4338,0.8734130859375,0.8953857421875,9,0.02197265625,0.0136640730803827,0.06591796875,0.00873309435182262,0.0384521484375,4494.95,4497,1,d7f48e40e2fc88f3f3e2fcc2153da1af52d900ddeb434a062ad0b045f25ee05f,,1
A2 lần 12,C:\learn\rd\jig\A2 lần 12.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,34924,2155,-0.0384521484375,0.06591796875,8,-0.010986328125,0.01153564453125,0.06591796875,0.010199401956094,0.032958984375,2148.5,2148,0,dc45c18e7b552022f53239a3d6deb59215e17577fb9ac89abf7f787f3c4019b4,,1
A2 lần 13,C:\learn\rd\jig\A2 lần 13.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,31470,9624,-0.5548095703125,0.5877685546875,9,-0.010986328125,0.012492087959623,0.0604248046875,0.0111092368008673,0.0439453125,9522.78,9523,1,44f6dba6a16776959f782dd4061cf643e48397590d9ac2b34549439e1bb0191a,,1
A2 lần 2,C:\learn\rd\jig\A2 lần 2.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,58840,4225,0.9613037109375,0.966796875,9,0.2252197265625,0.0585519756175215,0.230712890625,0.0113111170982523,0.0384521484375,4385.38,4400,1,bea4286ac9e394a424a77caaf531ee03177bfe83879bd576dcd95a86d34c0330,,1
A2 lần 3,C:\learn\rd\jig\A2 lần 3.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,SAMPLE_STEP_LIMIT,0,10,531,55191,576,-4.229736328125,4.229736328125,52,-3.0377197265625,0.870975976089969,3.0377197265625,0.772535752098736,2.6312255859375,177.23333333333,10729,1,16535f2ed2c2c9bc8869460b628c11dbefc05aa7be46e7451025ccaa924a8dcc,,1
A2 lần 4,C:\learn\rd\jig\A2 lần 4.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,49682,5990,0.7305908203125,0.758056640625,9,0.0164794921875,0.0122922971194704,0.06591796875,0.0127175942535537,0.0494384765625,6121.15,6123,1,6e2635b5165c34ee2f51a666f76df10085c7d557e73d198769b9b8b040a95f86,,1
A2 lần 5,C:\learn\rd\jig\A2 lần 5.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,46154,2462,0.0274658203125,0.076904296875,9,-0.010986328125,0.0116800479769497,0.0604248046875,0.0123443509209105,0.0439453125,2466.17,2467,0,63e430464675e8a61a439402a348246e5feb5ce16c0102116ebd74d9fafe82f3,,1
A2 lần 6,C:\learn\rd\jig\A2 lần 6.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,40593,7824,0.0274658203125,0.032958984375,8,0,0.00804987536668552,0.0384521484375,0.0100503888044304,0.0384521484375,7826.15,7829,0,aaed6e7945a2c750e6345ada21da0a613fd2e475f55a58a5cb829c26d9c0dba1,,1
A2 lần 7,C:\learn\rd\jig\A2 lần 7.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,37047,4278,0.933837890625,0.9613037109375,8,0.0274658203125,0.0140069220898709,0.0714111328125,0.0105090416398548,0.0439453125,4446.09,4448,1,ead0ac4b51ae43a3a32b6e9f38d30e1dd927fcfae0922254acd10f48134cc90e,,1
A2 lần 8,C:\learn\rd\jig\A2 lần 8.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,TRAVEL_LIMIT,0,9.98,500,33504,735,-5.0262451171875,5.0262451171875,32,NaN,NaN,NaN,NaN,NaN,NaN,10743,1,dda132394bd683405b1e24c2fbf9d36e6303f8d4c9c90873f8119a8ebc031ff8,,1
A2 lần 9#1,C:\learn\rd\jig\A2 lần 9.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,TRAVEL_LIMIT,0,9.98,500,33504,735,-5.0262451171875,5.0262451171875,32,NaN,NaN,NaN,NaN,NaN,NaN,10743,1,dda132394bd683405b1e24c2fbf9d36e6303f8d4c9c90873f8119a8ebc031ff8,A2 lần 8,0
A2 lần 9#2,C:\learn\rd\jig\A2 lần 9.txt,CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,OK,1,10,601,29535,7689,0.0439453125,0.076904296875,10,0.0164794921875,0.01263427734375,0.0604248046875,0.010633920052701,0.032958984375,7697.5,7697,0,1bfc95a571e6d6a942e04514b053c57396c8aaa39bac1ab23839d3b5ba64242a,,1
