Profile,PowerPercent,N,AmplitudeRaw,PhaseRaw,PhaseDeg,RSquared,PValue
CONTROL_A2C_FIXED_PHASE_ALIGN_P06_H500_V1,6,5,49.4109587851301,1991.92687421334,10.9419811205567,0.826453636791869,0.173546363208131
CONTROL_A2D_FIXED_PHASE_ALIGN_P07_H500_V1,7,5,97.1910437653163,2429.15563425595,13.3437504323142,0.739339927411676,0.260660072588324
CONTROL_A2E_FIXED_PHASE_ALIGN_P08_H500_V1,8,5,128.156801763111,2146.35552110652,11.7902830138908,0.913539168446167,0.0864608315538333
CONTROL_A2F_FIXED_PHASE_ALIGN_P09_H500_V1,9,5,365.853377473886,3037.97599560877,16.6881005618158,0.80247568539125,0.19752431460875
CONTROL_A2_FIXED_PHASE_ALIGN_P10_V1,10,10,158.798951886841,2343.99404302697,12.8759438398698,0.970481335404053,4.41914724547132e-06
