Run,FinalDiffMilliDeg,MaxTravelDiffMilliDeg,StepDiffRaw,HoldDiffMilliDeg,SettledDiffRaw,MetricMatch
A2C lần 1,0.000476562499997613,0.00035937500000216,0,0,3.63797880709171e-12,1
A2C lần 2,0.000125000000025466,0.00046874999998181,0,0.00017968750000108,0,1
A2C lần 3,8.59374999890861e-05,0.000234374999990905,0,0.000328124999999346,1.81898940354586e-12,1
A2C lần 4,0.000242187499992497,0.000421875000000682,0,0.000328124999999346,9.09494701772928e-13,1
A2C lần 5,1.56250000031832e-05,0.000296875000003638,0,0.000164062499999673,3.63797880709171e-12,1
A2D lần 1,0.00046874999998181,0.000187499999981355,0,0.000328124999999346,9.09494701772928e-13,1
A2D lần 2,2.34374999763531e-05,0.00046874999998181,0,0.000148437500001819,1.81898940354586e-12,1
A2D lần 3,0.000398437499995907,0.000382812499992724,0,0,0,1
A2D lần 4,0.000437499999975444,0.000421875000029104,0,0.00017968750000108,9.09494701772928e-13,1
A2D lần 5,7.81249997316991e-06,0.000304687499976808,0,0.000164062499999673,0,1
A2E lần 1,0.000257812499967258,7.03125000427463e-05,0,0.000195312499997158,1.81898940354586e-12,1
A2E lần 2,7.81249997316991e-06,0.000304687499976808,0,0.000328124999999346,0,1
A2E lần 3,0.000281250000000455,0.000242187499992497,0,0.000492187500000796,1.81898940354586e-12,1
A2E lần 4,0.000179687500008185,0.000328125000010004,0,1.56250000031832e-05,0,1
A2E lần 5,0.000195312499954525,0.000179687500008185,0,1.56250000031832e-05,0,1
A2F làn 1,0.000125000000025466,3.90625000363798e-05,0,0.000343749999998977,1.81898940354586e-12,1
A2F làn 2,0.000203125000098225,0.000453124999921783,0,0.000281250000000455,1.81898940354586e-12,1
A2F lần 3,0.000171874999978172,7.81249997316991e-06,0,0.000492187500000796,0,1
A2F lần 4,1.56250000031832e-05,0.000210937500000341,0,0.000492187500000796,1.81898940354586e-12,1
A2F lần 5,0.000281250000000455,0.000226562500003524,0,0.000164062499999673,0,1
A2 lần 10,0.000343749999998977,0.000312499999999716,0,0.000328124999999346,1.81898940354586e-12,1
A2 lần 11,8.59374999890861e-05,0.000257812499967258,0,0.000343749999998977,2.72848410531878e-12,1
A2 lần 12,0.000148437500001819,3.12500000063665e-05,0,0.000328124999999346,0,1
A2 lần 13,0.00042968749994543,0.000445312500005457,0,0.000328124999999346,1.81898940354586e-12,1
A2 lần 2,0.000289062499973625,0.000125000000025466,0,0.000273437499998863,2.72848410531878e-12,1
A2 lần 3,0.000328125000123691,0.000328125000123691,0,0.000273437499799911,0.000333333329763263,1
A2 lần 4,0.000179687500008185,0.000359375000016371,0,0.000492187500000796,1.81898940354586e-12,1
A2 lần 5,0.00017968750000108,0.000296875000003638,0,0.000328124999999346,1.81898940354586e-12,1
A2 lần 6,0.00017968750000108,1.56250000031832e-05,0,0,1.81898940354586e-12,1
A2 lần 7,0.000109374999965439,0.000289062499973625,0,0.00017968750000108,3.63797880709171e-12,1
A2 lần 8,0.000117187500109139,0.000117187500109139,0,0,0,1
A2 lần 9#1,0.000117187500109139,0.000117187500109139,0,0,0,1
A2 lần 9#2,0.000312499999999716,0.000296875000003638,0,0.000492187500000796,0,1
