"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"309","ALIGN_RAMP","31437","-33","-181.2744140625","0","0","2000000","61800","139433","139433","0","2902","1336","292"
"310","ALIGN_RAMP","31436","-34","-186.767578125","-1","-1000","-1000000","62000","139434","139434","0","2902","1336","202"
"311","ALIGN_RAMP","31436","-34","-186.767578125","0","0","1000000","62200","139435","139435","0","2902","1336","112"
"312","ALIGN_RAMP","31436","-34","-186.767578125","0","0","0","62400","139436","139436","0","2902","1336","22"
"313","ALIGN_RAMP","31437","-33","-181.2744140625","1","1000","1000000","62600","139437","139437","0","2902","1336","2087"
"314","ALIGN_RAMP","31438","-32","-175.78125","1","1000","0","62800","139438","139438","0","2902","1336","1997"
"315","ALIGN_RAMP","31436","-34","-186.767578125","-2","-2000","-3000000","63000","139439","139439","0","2902","1336","1907"
"316","ALIGN_RAMP","31434","-36","-197.75390625","-2","-2000","0","63200","139440","139440","0","2902","1336","1817"
"317","ALIGN_RAMP","31433","-37","-203.2470703125","-1","-1000","1000000","63400","139441","139441","0","2902","1336","1727"
"318","ALIGN_RAMP","31435","-35","-192.2607421875","2","2000","3000000","63600","139442","139442","0","2902","1336","1637"
"319","ALIGN_RAMP","31433","-37","-203.2470703125","-2","-2000","-4000000","63800","139443","139443","0","2902","1336","1547"
"320","ALIGN_RAMP","31434","-36","-197.75390625","1","1000","3000000","64000","139444","139444","0","2902","1336","1457"
"321","ALIGN_RAMP","31435","-35","-192.2607421875","1","1000","0","64200","139445","139445","0","2902","1336","1367"
"322","ALIGN_RAMP","31432","-38","-208.740234375","-3","-3000","-4000000","64400","139446","139446","0","2902","1336","1277"
"323","ALIGN_RAMP","31437","-33","-181.2744140625","5","5000","8000000","64600","139447","139447","0","2902","1336","1187"
"324","ALIGN_RAMP","31434","-36","-197.75390625","-3","-3000","-8000000","64800","139448","139448","0","2902","1336","1097"
"325","ALIGN_RAMP","31430","-40","-219.7265625","-4","-4000","-1000000","65000","139449","139449","0","2902","1336","1007"
"326","ALIGN_RAMP","31430","-40","-219.7265625","0","0","4000000","65200","139450","139450","0","2902","1336","917"
"327","ALIGN_RAMP","31435","-35","-192.2607421875","5","5000","5000000","65400","139451","139451","0","2902","1336","827"
"328","ALIGN_RAMP","31434","-36","-197.75390625","-1","-1000","-6000000","65600","139452","139452","0","2902","1336","737"
"329","ALIGN_RAMP","31433","-37","-203.2470703125","-1","-1000","0","65800","139453","139453","0","2902","1336","647"
"330","ALIGN_RAMP","31434","-36","-197.75390625","1","1000","2000000","66000","139454","139454","0","2902","1336","557"
"331","ALIGN_RAMP","31432","-38","-208.740234375","-2","-2000","-3000000","66200","139455","139455","0","2902","1336","467"
"332","ALIGN_RAMP","31430","-40","-219.7265625","-2","-2000","0","66400","139456","139456","0","2902","1336","377"
"333","ALIGN_RAMP","31431","-39","-214.2333984375","1","1000","3000000","66600","139457","139457","0","2902","1336","287"
"334","ALIGN_RAMP","31434","-36","-197.75390625","3","3000","2000000","66800","139458","139458","0","2902","1336","197"
"335","ALIGN_RAMP","31433","-37","-203.2470703125","-1","-1000","-4000000","67000","139459","139459","0","2902","1336","107"
"336","ALIGN_RAMP","31429","-41","-225.2197265625","-4","-4000","-3000000","67200","139460","139460","0","2902","1336","17"
"337","ALIGN_RAMP","31432","-38","-208.740234375","3","3000","7000000","67400","139461","139461","0","2902","1336","2082"
"338","ALIGN_RAMP","31429","-41","-225.2197265625","-3","-3000","-6000000","67600","139462","139462","0","2902","1336","1992"
"339","ALIGN_RAMP","31427","-43","-236.2060546875","-2","-2000","1000000","67800","139463","139463","0","2902","1336","1902"
"340","ALIGN_RAMP","31428","-42","-230.712890625","1","1000","3000000","68000","139464","139464","0","2902","1336","1812"
"341","ALIGN_RAMP","31428","-42","-230.712890625","0","0","-1000000","68200","139465","139465","0","2902","1336","1722"
"342","ALIGN_RAMP","31432","-38","-208.740234375","4","4000","4000000","68400","139466","139466","0","2902","1336","1632"
"343","ALIGN_RAMP","31432","-38","-208.740234375","0","0","-4000000","68600","139467","139467","0","2902","1336","1542"
