component,explained_variance_fraction,cumulative_fraction
1,0.5500022088173763,0.5500022088173763
2,0.2640895878538368,0.8140917966712131
3,0.1342041225948622,0.9482959192660754
4,0.0233018939093883,0.9715978131754637
5,0.016228014124836,0.9878258273002997
6,0.006413001090724053,0.9942388283910237
