motor,config,order,amplitude_deg,phase_abs_deg,max_error_axis_abs_deg
P011,path1,1,0.3345632036600995,-90.43356114634496,269.56643885365503
P011,path1,2,0.10229396442909768,-162.1817815845872,98.9091092077064
P011,path1,3,0.11005908672123875,73.0761721582825,24.358724052760834
P011,path1,4,0.0879525883490142,-121.15339305479284,59.71165173630179
P011,path1,5,0.01768755345206772,-71.08819936892064,57.78236012621587
P011,path1,6,0.03354187650182337,-148.2667732489298,35.28887112517836
P011,path1,7,0.025797359286840106,164.38939825987072,23.484199751410102
P011,path1,8,0.023577411040158164,-151.16223554825757,26.104720556467804
P011,path1,9,0.018461591137372037,-172.62043058023656,20.819952157751494
P011,path1,10,0.0005297772562688608,10.760154576036255,1.0760154576036256
P011,path1,11,0.007006457648332788,-164.94939166682587,17.73187348483401
P011,path1,12,0.02472861022384263,168.19823877933973,14.016519898278311
P011,path1,13,0.0030465752945193166,8.13545278171622,0.625804060132017
P011,path1,14,0.0050845031025701865,-71.91493812297601,20.57750441978743
P011,path1,15,0.004542732589973868,74.90876696046942,4.993917797364628
P011,path1,16,0.004066413476246955,165.33279331998352,10.33329958249897
P011,path1,17,0.008588577723686193,13.754459772144413,0.8090858689496714
P011,path1,18,0.0062668854949185825,-13.638247721137597,19.24231957104791
P011,path1,19,0.0041285104540536265,-77.53879758756241,14.86637907433882
P011,path1,20,0.005129708947652193,-69.88920420090379,14.50553978995481
P011,path1,21,0.005654739806232617,167.05143504175777,7.954830240083703
P011,path1,22,0.0023642523337137835,148.43181156950678,6.746900525886672
P011,path1,23,0.004085108592488945,35.76433743890555,1.5549711929958934
P011,path1,24,0.004161809752893455,-32.1936776455669,13.658596764768046
P011,path1,25,0.005559154812772409,119.64224193893017,4.785689677557206
P011,path1,26,0.008727495505013871,166.6007351196437,6.4077205815247575
P011,path1,27,0.0032381268663468797,-89.61568380934352,10.014233932987278
P011,path1,28,0.0014487780698752934,-143.57253965747407,7.729552155090213
P011,path1,29,0.0008002260611570569,-114.88389880603148,8.452279351516156
P011,path1,30,0.001647417623112431,137.98400647927744,4.599466882642582
P011,path1,31,0.002709160377308044,14.278674632882412,0.4606024075123359
P011,path1,32,0.0025733759358913273,66.98400726879633,2.0932502271498854
P011,path1,33,0.006848467630555206,-90.58767085972742,8.164009973947653
P011,path1,34,0.002663426029555685,119.98742094028435,3.5290417923613044
P011,path1,35,0.0062345034909047775,61.8272540420941,1.76649297263126
P011,path1,36,0.003031390086060758,-138.99884794728538,6.138920890353184
P011,path1,37,0.0009733605140913766,-66.34763327190849,7.936550452110581
P011,path1,38,0.004398928759349581,-48.43326560699837,8.199124589289516
P011,path1,39,0.004272507042439602,143.16063553595532,3.6707855265629568
P011,path1,40,0.004503702345029294,61.641257999723734,1.5410314499930933
P011,path1,41,0.001252120073388381,106.82827065827223,2.60556757703103
P011,path1,42,0.004858828363919169,-48.02582137439506,7.427956633942975
P011,path1,43,0.0010747946661893652,-94.70469991214169,6.1696581415781
P011,path1,44,0.0017546859480326703,33.40918674540846,0.7592996987592833
P011,path1,45,0.0008407210751874682,-33.236847434626654,7.26140339034163
P011,path1,46,0.0012779925230183258,-78.75479091645484,6.114026284424895
P011,path1,47,0.0013311152167179582,71.42978002829365,1.519782553793482
P011,path1,48,0.008105827473549262,-17.399947738832697,7.137501088774319
P011,path1,49,0.004447116783187649,-156.76575248556512,4.147637704376223
P011,path1,50,0.004926280230936302,-142.58994530346294,4.348201093930742
P011,path1,51,0.0023451369908232093,25.22546783632065,0.49461701639844413
P011,path1,52,0.001997786193239509,-58.71183035413819,5.79400326242042
P011,path1,53,0.0003934528877066257,-135.7679534002163,4.230793332071391
P011,path1,54,0.0036292650307280065,116.88054205974464,2.1644544825878635
P011,path1,55,0.00449859111597925,129.78623137856675,2.3597496614284865
P011,path1,56,0.0016719545723866333,-139.47842197053086,3.9378853219548065
P011,path1,57,0.0029799489471189987,22.415795833439436,0.39325957602525324
P011,path1,58,0.0018064165519510922,-62.74860345682284,5.12502407833064
P011,path1,59,0.00329653081612023,124.59028981932758,2.11169982744623
P011,path1,60,0.0007106667049765845,-158.7738161023596,3.35376973162734
P011,path2_new,1,0.18928473067246174,-134.94472246884422,225.05527753115578
P011,path2_new,2,0.04634486846489079,-168.65609586745282,95.67195206627359
P011,path2_new,3,0.021889773633294092,-90.53444318834289,89.82185227055237
P011,path2_new,4,0.07092279097328108,-57.132096376665956,75.71697590583351
P011,path2_new,5,0.017412703830212282,-57.00751262155107,60.59849747568978
P011,path2_new,6,0.01430885585856634,168.63054731040052,28.105091218400087
P011,path2_new,7,0.022110912155831244,118.41126743593465,16.915895347990663
P011,path2_new,8,0.011554774044412016,178.81503532646536,22.35187941580817
P011,path2_new,9,0.011823998916527845,146.85268763178263,16.316965292420292
P011,path2_new,10,0.004260629173626214,105.7250814984749,10.57250814984749
P011,path2_new,11,0.008983964910967774,102.44892840622488,9.313538946020444
P011,path2_new,12,0.051483027723538466,136.71597792913667,11.392998160761389
P011,path2_new,13,0.004821971803570707,100.52991049261117,7.7330700378931665
P011,path2_new,14,0.00413085513563968,-134.80231272126295,16.08554909133836
P011,path2_new,15,0.003241221964623943,111.0206492005344,7.401376613368959
P011,path2_new,16,0.004702228225569844,87.40711463633751,5.462944664771094
P011,path2_new,17,0.005078614087653682,31.650707456317406,1.8618063209598474
P011,path2_new,18,0.009599371859011328,-25.775293278590624,18.56803926230052
P011,path2_new,19,0.008717619214651414,-10.505382205451333,18.39445356813414
P011,path2_new,20,0.008672678968016963,-76.93851027957862,14.153074486021069
P011,path2_new,21,0.005528793518436948,-116.08015417330097,11.615230753652334
P011,path2_new,22,0.006761985958838123,12.771853071298722,0.5805387759681238
P011,path2_new,23,0.004226348462254616,32.94975459267984,1.4325980257686886
P011,path2_new,24,0.008441291897374806,17.740000344309493,0.7391666810128955
P011,path2_new,25,0.003969194661675064,123.01975429990017,4.920790171996007
P011,path2_new,26,0.010225754119530235,171.63996355320396,6.601537059738614
P011,path2_new,27,0.002327747443577608,55.309039770721704,2.048482954471174
P011,path2_new,28,0.0037760982357023104,-98.34442984642047,9.344841791199268
P011,path2_new,29,0.0040525946997581035,-157.52905262219662,6.981756806131151
P011,path2_new,30,0.0024952408730851477,-159.44443823388585,6.685185392203805
P011,path2_new,31,0.0010873569166311838,116.20688552203364,3.748609210388182
P011,path2_new,32,0.0011350330614424249,94.86110696097298,2.9644095925304055
P011,path2_new,33,0.0013559029495096586,39.2627583255156,1.1897805553186545
P011,path2_new,34,0.0029870184292908513,131.6153602354408,3.871040006924729
P011,path2_new,35,0.0035685702659622475,108.33531785504705,3.095294795858487
P011,path2_new,36,0.00621490175327685,167.99109393070108,4.666419275852808
P011,path2_new,37,0.0056136756513639205,-24.654536550795456,9.063390904032556
P011,path2_new,38,0.0040029119722461886,-118.82543852748712,6.346698986118759
P011,path2_new,39,0.0026779980703870946,17.246785255421234,0.4422252629595188
P011,path2_new,40,0.002347302739516539,-165.09985747529154,4.872503563117712
P011,path2_new,41,0.004966716709182461,103.38877551431177,2.52167745156858
P011,path2_new,42,0.0018622549741551554,-27.860287426640294,7.908088394603802
P011,path2_new,43,0.002416104581944678,-155.39791841166556,4.758187943914756
P011,path2_new,44,0.0014789259630181646,33.24980793841222,0.7556774531457322
P011,path2_new,45,0.0021624288371780744,-116.07308947010965,5.420598011775342
P011,path2_new,46,0.0029418088404533924,-42.60743518600947,6.899838365521534
P011,path2_new,47,0.0027906054832266785,10.730632825494315,0.228311336712645
P011,path2_new,48,0.016745653957909556,-24.329691209211234,6.993131433141433
P011,path2_new,49,0.001554786298866559,-95.49865685557539,5.397986594784176
P011,path2_new,50,0.005187617377631726,146.52084257712536,2.9304168515425073
P011,path2_new,51,0.00472771182848558,77.25894559368696,1.5148812861507246
P011,path2_new,52,0.004137637254971251,-83.96410087138001,5.3083826755503845
P011,path2_new,53,0.002715714874311899,174.2692284936502,3.2880986508235885
P011,path2_new,54,0.005016675700537196,87.29623386228695,1.6165969233756843
P011,path2_new,55,0.0015948449127876276,111.7698406256869,2.0321789204670346
P011,path2_new,56,0.0019148387192765221,85.25314854315549,1.522377652556348
P011,path2_new,57,0.00445073997211084,6.608823715244781,0.11594427570604879
P011,path2_new,58,0.003444063994972032,160.51630036911985,2.767522420157239
P011,path2_new,59,0.0009741629533817776,-169.8520670202261,3.222846321691083
P011,path2_new,60,0.005660033109732589,-163.46532943269327,3.2755778427884454
P011,path2_old,1,0.09741688691045405,-168.05334026855382,191.94665973144618
P011,path2_old,2,0.05310861706665259,-78.09198334807583,140.9540083259621
P011,path2_old,3,0.011620277054833492,-3.2026448099439575,118.93245173001868
P011,path2_old,4,0.022508133937677352,-111.49881228042217,62.12529692989446
P011,path2_old,5,0.003970519107357036,-39.475342347923785,64.10493153041524
P011,path2_old,6,0.0015907317587399686,-101.52983349977164,43.07836108337139
P011,path2_old,7,0.016126899940244584,122.05277877096341,17.436111252994774
P011,path2_old,8,0.004036575269101255,-173.43734563430326,23.320331795712093
P011,path2_old,9,0.002845325875804741,150.31890993617387,16.70210110401932
P011,path2_old,10,0.0022791196049809248,6.286972671552691,0.6286972671552691
P011,path2_old,11,0.0016214069567141113,-133.5280422748537,20.588359793195117
P011,path2_old,12,0.031681964999070375,167.1920118831189,13.932667656926576
P011,path2_old,13,0.0011313921756654442,105.5116585633017,8.116281427946284
P011,path2_old,14,0.0026117961370046264,-54.14235727763631,21.846974480168836
P011,path2_old,15,0.0016470002225728577,-69.34064439239873,19.377290373840083
P011,path2_old,16,0.002337328015532773,-167.6389559719417,12.022565251753644
P011,path2_old,17,0.0021701951804322145,115.24780174935816,6.779282455844598
P011,path2_old,18,0.003431293578050849,-61.63106850192385,16.576051749893118
P011,path2_old,19,0.001064828198033992,56.38447305151916,2.967603844816798
P011,path2_old,20,0.002707073602044608,-38.38099928529299,16.080950035735352
P011,path2_old,21,0.003970528080808905,-144.12696755561169,10.279668211637539
P011,path2_old,22,0.001118886208778337,-129.80338232029857,10.46348262180461
P011,path2_old,23,0.0021059763891586275,-17.896856369645505,14.874049723058892
P011,path2_old,24,0.005757940229963175,34.54765479238734,1.4394856163494725
P011,path2_old,25,0.0007603715477237355,-38.37930127675211,12.864827948929916
P011,path2_old,26,0.0007966412246906956,144.92829280402665,5.574165107847179
P011,path2_old,27,0.0009552547513382452,22.224578044546643,0.8231325201683942
P011,path2_old,28,0.0008974941185540587,92.85128857501621,3.316117449107722
P011,path2_old,29,0.001204429601680683,-44.801448033987256,10.868915585034923
P011,path2_old,30,0.00043751147116702273,86.42994232108046,2.8809980773693487
P011,path2_old,31,0.001785190386990434,91.63585632236064,2.95599536523744
P011,path2_old,32,0.0018798767769528202,172.6017450503915,5.393804532824734
P011,path2_old,33,0.0012228356552614586,-19.136367185069314,10.329200994391838
P011,path2_old,34,0.0024977413608961983,119.28122069117417,3.50827119679924
P011,path2_old,35,0.001650523428767464,73.07957170992758,2.087987763140788
P011,path2_old,36,0.0031716031823862158,120.42808062130752,3.3452244617029865
P011,path2_old,37,0.0017131438596754694,2.526845909559892,0.06829313269080789
P011,path2_old,38,0.002250428934174911,-146.7653131555695,5.611439127485013
P011,path2_old,39,0.000902131668507197,155.33461666804226,3.9829388889241604
P011,path2_old,40,0.0029114491727644572,-176.6452116526228,4.58386970868443
P011,path2_old,41,0.001380846268413172,-84.35343462332932,6.723086960406603
P011,path2_old,42,0.0003752089226549421,-162.4268279251759,4.704123144638668
P011,path2_old,43,0.0011362057011272712,-168.13826729112395,4.461900760671536
P011,path2_old,44,0.0012257812729271175,-30.61364732479851,7.486053469890943
P011,path2_old,45,0.0006233817541055051,36.929508028858486,0.820655733974633
P011,path2_old,46,0.000923620349613963,-146.8396709953508,4.6339201957532445
P011,path2_old,47,0.0011797109735493757,21.617590527256432,0.45994873462247726
P011,path2_old,48,0.009677860270219748,-19.088626401709256,7.102320283297724
P011,path2_old,49,0.0013241195442505848,-125.64523158754012,4.782750375764488
P011,path2_old,50,0.0003841800868572727,-178.59983270450186,3.628003345909963
P011,path2_old,51,0.0016791420707802612,101.87774043674992,1.997602753661763
P011,path2_old,52,0.0013044432609089403,18.502643571903757,0.35582006869045685
P011,path2_old,53,0.00023903434111574758,-23.909202633584737,6.341335799366326
P011,path2_old,54,0.0020233757220634685,75.76136305453318,1.4029882047135773
P011,path2_old,55,0.000988239299070942,56.99334109596564,1.0362425653811935
P011,path2_old,56,0.0019006957171484185,149.3184781166225,2.666401394939687
P011,path2_old,57,0.0025766052882000142,33.80849297889429,0.5931314557700753
P011,path2_old,58,0.000951122906656032,95.69431845433131,1.649902042316057
P011,path2_old,59,0.0008896115298112561,-173.72328904779536,3.1572323890204173
P011,path2_old,60,0.002751700427156559,-174.42454232973105,3.0929242945044826
P013,path2_new,1,0.14170023447860952,-134.5861862180186,225.4138137819814
P013,path2_new,2,0.26159661672915124,-42.55665369468877,158.72167315265563
P013,path2_new,3,0.023735651060747247,-124.12099827927422,78.6263339069086
P013,path2_new,4,0.04464052326607531,-104.07480964312461,63.98129758921885
P013,path2_new,5,0.025414325900285386,27.72185773266749,5.544371546533498
P013,path2_new,6,0.01386619159439962,50.79641779894882,8.466069633158137
P013,path2_new,7,0.01573069080089071,84.22557475594067,12.03222496513438
P013,path2_new,8,0.013647124915032066,-73.88850047181134,35.763937441023586
P013,path2_new,9,0.013722391149799727,-70.84004250220046,32.12888416642217
P013,path2_new,10,0.0051519923810034755,-142.89059860516576,21.710940139483423
P013,path2_new,11,0.008459715552960191,-69.6043519380473,26.399604369268427
P013,path2_new,12,0.016273826140835192,96.26465921769825,8.022054934808187
P013,path2_new,13,0.010036535958859626,114.49163770572491,8.807049054286532
P013,path2_new,14,0.003878882707412529,-44.99916371568244,22.500059734594114
P013,path2_new,15,0.011902898467516103,33.87356580218412,2.258237720145608
P013,path2_new,16,0.00981748134764171,84.75030667741684,5.296894167338553
P013,path2_new,17,0.0028527847084795777,-45.52300227203419,18.49864692517446
P013,path2_new,18,0.00741386047352543,-75.27214636867357,15.818214090629246
P013,path2_new,19,0.004761607412349747,-149.5125498342905,11.078286850826814
P013,path2_new,20,0.006871650427152466,-176.26410666664077,9.18679466666796
P013,path2_new,21,0.004229080269783925,-149.59845479992967,10.019121200003347
P013,path2_new,22,0.004114192193206908,-175.9518395290459,8.365825475952459
P013,path2_new,23,0.0013799479714854325,-140.9518777657029,9.52383140149118
P013,path2_new,24,0.004097969445804394,156.39448005401496,6.51643666891729
P013,path2_new,25,0.003177116528438389,-143.8322710948601,8.646709156205596
P013,path2_new,26,0.008478908206399816,-145.33146403593014,8.256482152464226
P013,path2_new,27,0.004694077978478499,-150.05712313131434,7.7756621062476174
P013,path2_new,28,0.005131392807973081,-167.1392580496266,6.887883641084765
P013,path2_new,29,0.005150949399288486,132.3667976498776,4.564372332754401
P013,path2_new,30,0.0008358754404729974,-69.62651976984878,9.679116007671707
P013,path2_new,31,0.0066580142214586425,-81.00499028974356,8.999839022911498
P013,path2_new,32,0.004273987094348237,-114.0307206110517,7.686539980904634
P013,path2_new,33,0.007427693664337873,-79.72746704882512,8.49310705912651
P013,path2_new,34,0.0037238791194894884,32.0255167565438,0.9419269634277588
P013,path2_new,35,0.0014885547798160384,-110.00709086752326,7.142654546642193
P013,path2_new,36,0.00465570184418114,138.37278573546976,3.8436884926519377
P013,path2_new,37,0.0007354835577990467,-97.02952416387821,7.107310157733021
P013,path2_new,38,0.006889022122141115,-163.70290148630477,5.1657131187814525
P013,path2_new,39,0.0028979873098540416,148.0490468607748,3.7961294066865334
P013,path2_new,40,0.0019785927713896674,62.65491614617219,1.5663729036543048
P013,path2_new,41,0.0003371895695133107,141.53432166666116,3.452056626016126
P013,path2_new,42,0.0018741220803451157,-4.57976000418727,8.46238666656697
P013,path2_new,43,0.004798510649813772,114.25044990926388,2.6569872071921834
P013,path2_new,44,0.001094446080984013,77.67469622707416,1.7653340051607764
