config,motor_count,order,mean_cos_coeff_deg,mean_sin_coeff_deg,mean_vector_amplitude_deg,mean_vector_phase_abs_deg,mean_max_error_axis_abs_deg,phase_only_resultant_r,amplitude_weighted_resultant_r,sensor_abs_mean_vector_amplitude_deg,sensor_abs_mean_vector_phase_deg,sensor_abs_mean_error_axis_deg,sensor_abs_phase_only_resultant_r,sensor_abs_amplitude_weighted_resultant_r
path1,2,1,-0.008634690568511072,-0.17692898186764594,0.1771395565816278,-92.79399738342568,267.2060026165743,0.9485281644601917,0.9872618326514248,0.1793471179621895,-36.626619090287974,323.373380909712,0.991443346018477,0.9978195282828723
path1,2,2,-0.08614430517871012,0.07590085490986868,0.11481193792795102,138.6170570379081,69.30852851895405,0.7339053497738153,0.7650941995893097,0.1478966995594933,-68.87628691517128,145.56185654241438,0.97837055374146,0.9807695717850455
path1,2,3,0.03488460615152712,0.046979520073844476,0.05851504979674819,53.404295636029794,17.8014318786766,0.7083679350004124,0.7830428852596627,0.07383478190632242,-122.70186882277522,79.09937705907493,0.9999527391904968,0.9999628222216551
path1,2,4,-0.024663891417773722,-0.011428813795858424,0.02718318091482555,-155.13782267977254,51.215544330056865,0.3034499260644099,0.3869408004775195,0.06961550295201487,89.33500703985763,22.333751759964407,0.9848644022663184,0.9858765722832781
path1,2,5,-0.0015222862110844464,-0.014251764904160455,0.014332834967023011,-96.09686746047072,52.78062650790586,0.8844863194423218,0.8855457740917141,0.013048827426841167,-111.76485200459504,49.647029599080994,0.743879101430302,0.748061812604147
path1,2,6,-0.01688708903645948,-0.010284652937751423,0.01977240152776867,-148.65755637218672,35.22374060463555,0.999747934681098,0.9998701096828534,0.01210752643095599,168.37625341008203,28.062708901680338,0.13980033866534455,0.6218753811759711
path2_new,3,1,-0.09807816659849486,-0.0699052434044726,0.12044114670145196,-144.52061646800274,215.47938353199726,0.7022481435637339,0.8059511882709007,0.12534932224461512,-80.61692201520539,279.3830779847946,0.7864388377438448,0.8478911664730284
path2_new,3,2,0.06317595551677228,-0.05074430459356058,0.08103200481378481,-38.772189684995396,160.6139051575023,0.07178819231515375,0.5682865863020412,0.07048218052844435,129.42013379121187,64.71006689560593,0.3282252209522549,0.48779882743698577
path2_new,3,3,-0.011452279124882642,-0.002726352104133126,0.011772327422813802,-166.60930624139715,64.46356458620096,0.4647293028850497,0.38852486735581493,0.022118868822100252,55.77999884390997,18.59333294796999,0.7574705291922199,0.7415790979724539
path2_new,3,4,0.0029037610480425516,-0.042755796303054205,0.04285428736698806,-86.11472182569906,68.47131954357523,0.8108707530805527,0.8178058565821043,0.046480029600552274,179.2294286643596,44.8073571660899,0.9110136365737148,0.8998051487952374
path2_new,3,5,0.012784470087511893,0.0010247796712382438,0.012825476552279433,4.582925742379357,0.9165851484758714,0.650611223728366,0.7037321606480741,0.008342050286081417,112.32321976877019,22.464643953754038,0.5809388598251025,0.49664209729870507
path2_new,3,6,-0.005737842173736766,0.004212031902206078,0.007117868048503991,143.7183735390503,23.953062256508385,0.5123567395445712,0.5212603178332781,0.005931259047650656,135.4470624856723,22.574510414278716,0.3388930621369444,0.28298427413831695
path2_old,4,1,0.03223718168420383,0.0186881135445449,0.03726233313675043,30.101161266975993,30.101161266975993,0.11003233354064829,0.35577923938771655,0.036407263293436104,122.08293506943336,122.08293506943336,0.021890128819086113,0.3446681330468992
path2_old,4,2,0.05779385782970234,-0.11602565499014461,0.12962284759536769,-63.521519375155734,148.23924031242214,0.8531713396138748,0.9417263643145157,0.11261157710671156,98.65076019166912,49.32538009583456,0.6493706325792908,0.832966518671929
path2_old,4,3,-0.0154685000527223,0.0032635687599192544,0.015809028272850634,168.08636594680428,56.02878864893476,0.2919663808203663,0.681826078273555,0.01850558689833183,72.7422740105305,24.24742467017683,0.5495250141258994,0.8247734264971516
path2_old,4,4,-0.0012547332485868148,-0.00023294016851315553,0.0012761726557234169,-169.48282297698353,47.62929425575412,0.11422483000616457,0.04578300889548446,0.015776671061403933,63.57796222353647,15.894490555884117,0.5413674159298179,0.564658959088802
path2_old,4,5,0.004996462297259221,0.0010187002448383599,0.005099253443080333,11.523766274228196,2.304753254845639,0.5259294031413486,0.5714250287052586,0.0034416164022442936,-6.415681050365477,70.7168637899269,0.394095858382462,0.3512405566618906
path2_old,4,6,0.001420426981027788,-0.0031870036238028413,0.003489212648516017,-65.97777504163588,49.003704159727356,0.6434821190436649,0.38469082976395824,0.005596476169180443,52.32363212232628,8.720605353721046,0.3078386074520401,0.606673375593451
