config,motor_count,coefficient_common_fraction,coefficient_interaction_fraction,zero_prediction_rmse_mean_deg,loo_config_only_rmse_mean_deg,pair_specific_h1_h6_rmse_mean_deg,loo_improvement_vs_zero_fraction
path1,2,0.5091306098453365,0.49086939015466347,0.2535214182392085,0.38294192383914405,0.04104230202171663,-0.5104914073880009
path2_new,3,0.4012769448371646,0.5987230551628354,0.19908515337951074,0.24956867056920395,0.04423335352428448,-0.2535775085822589
path2_old,4,0.2886877372075195,0.7113122627924805,0.19235179301585092,0.2376622011398832,0.03765651796400356,-0.23556010273477646
