motor,config,n_config,n_baseline,effective_weight,dc_deg,order,cos_coeff_deg,sin_coeff_deg,amplitude_deg,phase_command_deg,max_error_axis_command_deg,sensor_abs_cos_coeff_deg,sensor_abs_sin_coeff_deg,sensor_abs_amplitude_deg,phase_sensor_abs_deg,max_error_axis_sensor_abs_deg,axis_period_deg
P011,path1,3,10,2.3076923076923075,0.22485154469807958,1,-0.002531638857737495,-0.33455362507078473,0.3345632036600995,-90.43356114634494,269.5664388536551,0.27221224370514974,-0.19493281839773866,0.3348108560239312,-35.60667798879607,324.3933220112039,360.0
P011,path1,3,10,2.3076923076923075,0.22485154469807958,2,-0.09738714209643246,-0.0313017525533431,0.10229396442909741,-162.18178158458733,98.90910920770634,0.060774035542260754,-0.08044399913579106,0.10082023801326362,-52.92959051723623,153.53520474138188,180.0
P011,path1,3,10,2.3076923076923075,0.22485154469807958,3,0.03203820923758821,0.10529271446193054,0.11005908672123861,73.07617215828245,24.358724052760817,-0.05784188024692748,-0.09113674625514405,0.10794252928514513,-122.40212537483534,79.19929154172155,120.0
P011,path1,3,10,2.3076923076923075,0.22485154469807958,4,-0.04550060458027948,-0.07526853778385882,0.08795258834901411,-121.15339305479287,59.71165173630178,-0.010391767664440027,0.08819803325035044,0.08880811846009139,96.71978658649448,24.17994664662362,90.0
P011,path1,3,10,2.3076923076923075,0.22485154469807958,5,0.005732753045979644,-0.01673275499233645,0.017687553452067625,-71.08819936892124,57.78236012621575,-0.01647624934302236,-0.010439954676632921,0.01950536967256951,-147.6401565315849,42.471968693683024,72.0
P011,path1,3,10,2.3076923076923075,0.22485154469807958,6,-0.028527575160448074,-0.01764185179420091,0.03354187650182327,-148.2667732489299,35.288871125178346,-0.031171669103107577,0.0036445456602543225,0.031384003373427526,173.33133856634316,28.88855642772386,60.0
P011,path2_new,3,10,2.3076923076923075,0.20163156191507986,1,-0.13371532453002472,-0.1339735841558946,0.18928473067246182,-134.94472246884422,225.05527753115578,0.02492540239699148,-0.18807248863098416,0.18971699097472428,-82.45053846710424,277.54946153289575,360.0
P011,path2_new,3,10,2.3076923076923075,0.20163156191507986,2,-0.04543948543498949,-0.009115919944327387,0.04634486846489056,-168.65609586745308,95.67195206627346,0.02109900840928823,-0.04201228722544034,0.04701276883749896,-63.333720245514314,148.33313987724284,180.0
P011,path2_new,3,10,2.3076923076923075,0.20163156191507986,3,-0.00020418032295908828,-0.021888821350464986,0.021889773633294054,-90.53444318834325,89.82185227055226,0.007218349903572971,0.01988510816491762,0.021154718198569445,70.0489611434741,23.349653714491367,120.0
P011,path2_new,3,10,2.3076923076923075,0.20163156191507986,4,0.03849008378762456,-0.059569755156969974,0.07092279097328101,-57.13209637666603,75.7169759058335,-0.06368778279441506,0.03113232689529173,0.0708897415370087,153.94935282830397,38.48733820707599,90.0
P011,path2_new,3,10,2.3076923076923075,0.20163156191507986,5,0.0094817233160088,-0.014604765579677968,0.01741270383021233,-57.00751262155137,60.598497475689726,-0.015411257222195038,-0.005952835984787869,0.01652098984414808,-158.88017669111764,40.22396466177647,72.0
P011,path2_new,3,10,2.3076923076923075,0.20163156191507986,6,-0.01402806483130535,0.0028207717153147863,0.014308855858566259,168.63054731039978,28.105091218399963,-0.009326009006605223,0.010463080685632892,0.014016080101988066,131.71142776680134,21.95190462780022,60.0
P011,path2_old,3,10,2.3076923076923075,0.11485395431518561,1,-0.0953069087399336,-0.020165391187927532,0.09741688691045396,-168.0533402685538,191.9466597314462,-0.04080732867614578,-0.08843330007202516,0.09739448975846547,-114.77084577352304,245.22915422647696,360.0
P011,path2_old,3,10,2.3076923076923075,0.11485395431518561,2,0.010958490114024125,-0.05196572621597026,0.0531086170666526,-78.0919833480757,140.95400832596215,0.0466744895226448,0.025326144377304904,0.0531029336404268,28.484794820690247,14.242397410345124,180.0
P011,path2_old,3,10,2.3076923076923075,0.11485395431518561,3,0.011602128347649072,-0.0006491969160183353,0.011620277054833499,-3.2026448099436986,118.93245173001877,-0.010631884711007766,0.004617998994860943,0.011591500645934389,156.52210286733268,52.17403428911089,120.0
P011,path2_old,3,10,2.3076923076923075,0.11485395431518561,4,-0.008248824578779297,-0.020942134237583104,0.022508133937677373,-111.49881228042213,62.12529692989447,-0.0045233660596273595,0.022048713265526116,0.022507922986690177,101.59355460879037,25.398388652197593,90.0
P011,path2_old,3,10,2.3076923076923075,0.11485395431518561,5,0.003064836761579117,-0.0025242419865695418,0.003970519107357036,-39.47534234792353,64.1049315304153,-0.0027126846554952865,-0.0029476264926401874,0.004005890660049757,-132.62319545154094,45.475360909691815,72.0
P011,path2_old,3,10,2.3076923076923075,0.11485395431518561,6,-0.000317952516477045,-0.0015586320045250374,0.0015907317587399272,-101.52983349977086,43.07836108337152,-0.0012183308049123955,-0.0009431344218157715,0.0015407246632063289,-142.25582422514205,36.29069596247632,60.0
P013,path2_new,3,10,2.3076923076923075,-0.05028531551361084,1,-0.09947092415812746,-0.10091824264433533,0.1417002344786094,-134.58618621801864,225.41381378198136,0.08091725382031044,-0.116058243660575,0.14148186416427352,-55.11531094071298,304.88468905928704,360.0
P013,path2_new,3,10,2.3076923076923075,-0.05028531551361084,2,0.1926944110785385,-0.17692273404860578,0.2615966167291513,-42.55665369468871,158.72167315265565,-0.11299256444316547,0.23533830197930455,0.2610582999981905,115.64697719328069,57.823488596640345,180.0
P013,path2_new,3,10,2.3076923076923075,-0.05028531551361084,3,-0.013314333831144795,-0.019649672921206365,0.023735651060747365,-124.12099827927399,78.62633390690867,-0.009393147340078057,0.021841963434299807,0.02377609269029933,113.27014678804292,37.75671559601431,120.0
P013,path2_new,3,10,2.3076923076923075,-0.05028531551361084,4,-0.010856065441065897,-0.04330037136801833,0.04464052326607526,-104.07480964312447,63.98129758921888,-0.03745477572018917,-0.024550397512966393,0.04478372742742991,-146.75645116217325,53.31088720945669,90.0
P013,path2_new,3,10,2.3076923076923075,-0.05028531551361084,5,0.022497173736463007,0.011822230535618854,0.02541432590028545,27.721857732667473,5.544371546533495,0.010839498756329238,0.022985711488137127,0.025413336378845304,64.75258273078423,12.950516546156845,72.0
P013,path2_new,3,10,2.3076923076923075,-0.05028531551361084,6,0.008764511210279352,0.010744980808614343,0.013866191594399776,50.79641779894914,8.46606963315819,-0.013709601330023885,0.0032886990714350267,0.014098535747043034,166.5106102343024,27.751768372383733,60.0
P013,path2_old,3,10,2.3076923076923075,-0.0478958050409953,1,-0.015466280985183784,-0.025448866567984323,0.02978003789634472,-121.2887020857351,238.7112979142649,0.020892796556577713,-0.02268082472428731,0.030837132780600535,-47.34979378450015,312.65020621549985,360.0
P013,path2_old,3,10,2.3076923076923075,-0.0478958050409953,2,0.052883601670742506,-0.09556167160070518,0.10921862663845752,-61.03996250898543,149.4800187455073,-0.025331348701002496,0.10547991027290599,0.10847897813950903,103.50403814761691,51.752019073808455,180.0
P013,path2_old,3,10,2.3076923076923075,-0.0478958050409953,3,-0.0173296124862165,-0.007899149517467797,0.019045000184346086,-155.49564697124413,68.16811767625197,0.0020817407195128593,0.01769466727965593,0.017816702684868603,83.29011478287612,27.76337159429204,120.0
P013,path2_old,3,10,2.3076923076923075,-0.0478958050409953,4,0.02540010998282865,-0.007450764317189597,0.026470350886418133,-16.3483073609075,85.91292315977313,0.012825299825837251,-0.023678731159685208,0.02692899227515334,-61.55834270635033,74.61041432341241,90.0
P013,path2_old,3,10,2.3076923076923075,-0.0478958050409953,5,0.012769549142129907,0.011267390579428282,0.017029840743901858,41.42402218559966,8.284804437119933,0.005927647751703669,0.015663994322236037,0.01674806633600788,69.27210225046628,13.854420450093254,72.0
P013,path2_old,3,10,2.3076923076923075,-0.0478958050409953,6,0.017680570898936196,-0.00018403430056963214,0.017681528665137967,-0.596361281890735,59.90060645301821,-0.004025144438472479,0.015651695468286556,0.016160982605725058,104.4222246757627,17.403704112627118,60.0
P03,path2_old,3,10,2.3076923076923075,-0.0141205628712972,1,0.11600189514555215,-0.004329425249639876,0.11608265848244471,-2.137402275942141,357.8625977240579,0.05881089362608732,0.10433729016069032,0.11977057788611961,60.59172624160622,60.59172624160622,360.0
P03,path2_old,3,10,2.3076923076923075,-0.0141205628712972,2,-0.028003358517120068,-0.026644816005619444,0.0386540335309483,-136.42406811923175,111.78796594038413,0.0363942896031261,-0.004223927604599397,0.03663858458135507,-6.620139846295324,176.68993007685233,180.0
P03,path2_old,3,10,2.3076923076923075,-0.0141205628712972,3,0.00014731424345749977,0.002690056578870701,0.0026940872079149547,86.8654703592876,28.9551567864292,-0.001607049409242757,-0.0006470622351060946,0.001732425276843994,-158.06831631075585,67.31056122974806,120.0
P03,path2_old,3,10,2.3076923076923075,-0.0141205628712972,4,-0.028646249323796558,-0.005292702899557728,0.029131088278746154,-169.53203605293564,47.61699098676609,0.004572979064286352,0.029883745696373913,0.030231612500294252,81.29976885151538,20.324942212878845,90.0
P03,path2_old,3,10,2.3076923076923075,-0.0141205628712972,5,0.007705865819855412,0.001234625557756588,0.007804144302963758,9.102507028017648,1.8205014056035296,0.007824666077453225,-0.00626062559640558,0.010021019513104242,-38.663794013607024,64.2672411972786,72.0
P03,path2_old,3,10,2.3076923076923075,-0.0141205628712972,6,2.8527670739828676e-05,-0.0025864756675050386,0.002586632986450431,-89.36807878073378,45.105320203211036,0.0013134541726336421,0.0005099051166075654,0.0014089588679416089,21.21705406733261,3.5361756778887687,60.0
P08,path1,3,10,2.3076923076923075,-0.010995035701327866,1,-0.014737742279284649,-0.019304338664507162,0.02428700349496826,-127.3596332979356,232.6403667020644,0.015654367561863267,-0.019063370827725024,0.024667211659960157,-50.60800829094807,309.3919917090519,360.0
P08,path1,3,10,2.3076923076923075,-0.010995035701327866,2,-0.07490146826098779,0.18310346237308045,0.19783100839014559,112.24781911239606,56.12390955619803,0.045824847453340284,-0.19547340355286544,0.2007729268120164,-76.80639729626272,141.59680135186863,180.0
P08,path1,3,10,2.3076923076923075,-0.010995035701327866,3,0.037731003065466034,-0.011333674314241583,0.03939645625925645,-16.71926642418842,114.4269111919372,-0.021939225372109135,-0.03312618169531472,0.039732524757925984,-123.51621444714615,78.82792851761795,120.0
P08,path1,3,10,2.3076923076923075,-0.010995035701327866,4,-0.003827178255267974,0.052410910192141974,0.052550459565700924,94.17647100210979,23.544117750527448,0.012007690527631986,0.05102359509218899,0.052417476932212555,76.75720444373776,19.18930111093444,90.0
P08,path1,3,10,2.3076923076923075,-0.010995035701327866,5,-0.008777325468148536,-0.01177077481598446,0.014683071277577554,-126.7114518912695,46.6577096217461,0.006799286219839133,-0.013797288845980806,0.015381660267952894,-63.76598126357418,59.24680374728516,72.0
P08,path1,3,10,2.3076923076923075,-0.010995035701327866,6,-0.0052466029124708866,-0.002927454081301935,0.006008063707991065,-150.83973480337716,34.86004419943714,0.007453222722823334,0.001234397505101563,0.007554751230623748,9.403924316660833,1.5673207194434722,60.0
P08,path2_new,2,10,1.6666666666666667,0.06341929700639512,1,-0.04680597591842383,0.06174584273730624,0.07748127823555975,127.16367552810333,127.16367552810333,-0.06952233883037769,-0.045044944082938125,0.08283961965074962,-147.05997320867118,212.94002679132882,360.0
