Label,Signal,Order,Amplitude
P09-JIG8-r3,MeanTimeToDeadbandMs,1,11.3540074510061
P09-JIG8-r3,MeanTimeToDeadbandMs,2,0.590165911932205
P09-JIG8-r3,MeanTimeToDeadbandMs,3,6.12646256852803
P09-JIG8-r3,MeanTimeToDeadbandMs,4,5.01707505322077
P09-JIG8-r3,MeanTimeToDeadbandMs,6,2.37675101839073
P09-JIG8-r3,MeanTimeToDeadbandMs,36,31.4184414916688
P09-JIG8-r3,ReachedDeadbandPct,1,1.00938965982032
P09-JIG8-r3,ReachedDeadbandPct,2,0.609080180899808
P09-JIG8-r3,ReachedDeadbandPct,3,1.65904140515398
P09-JIG8-r3,ReachedDeadbandPct,4,1.32297207853768
P09-JIG8-r3,ReachedDeadbandPct,6,1.4475253929566
P09-JIG8-r3,ReachedDeadbandPct,36,1.35569434052182
