File,Era,ProductId,JigId,TestID,SweepID,RunRole,H1_Deg,H2_Deg,H36_Deg,RatioH2H36,RatioH1H36
C:\learn\rd\jig\B0-B p03 jig 1 test 21A.txt,legacy-root,P03,JIG1,10,10,OFFICIAL,0.244558824929414,0.175583101697435,0.902911296566909,0.194463290430682,0.270855870182693
C:\learn\rd\jig\B0-B p03 jig 1 test 21A.txt,legacy-root,P03,JIG1,11,11,OFFICIAL,0.235725152650055,0.179305298693528,0.903505548460741,0.198455116295635,0.260900614336734
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,1,1,PRECONDITION,0.425715766194561,0.333951994162465,0.89828800104661,0.371764950409415,0.47391901672799
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,2,2,OFFICIAL,0.228211360524174,0.182643798087123,0.904984875296258,0.201819724365374,0.252171463583262
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,3,3,OFFICIAL,0.238419802131885,0.177014425036372,0.904593464350859,0.19568395308206,0.263565691692208
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,4,4,OFFICIAL,0.221694198655188,0.166410465488362,0.904068240283908,0.184068478543283,0.245218434601318
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,5,5,OFFICIAL,0.24004935917341,0.171003730311902,0.90750597885809,0.188432621157026,0.264515457490939
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,6,6,OFFICIAL,0.235044929916055,0.176565869972704,0.907390973312325,0.194586319641434,0.259033797810497
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,7,7,OFFICIAL,0.237947175528988,0.176350914557267,0.904870004725511,0.194890883371433,0.262962828125979
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,8,8,OFFICIAL,0.247661890593813,0.172102641884627,0.910728665929808,0.188972466029626,0.271938174188207
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,9,9,OFFICIAL,0.236465240054556,0.172975300147735,0.902276979562234,0.191709756611167,0.262076109011763
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,10,10,OFFICIAL,0.238307179345209,0.173309926804227,0.90493807664532,0.191515785750448,0.26334086883451
C:\learn\rd\jig\B0-B p03 jig 1 test 21A2.txt,legacy-root,P03,JIG1,11,11,OFFICIAL,0.225346898392291,0.188760159814481,0.905177812460316,0.208533789953845,0.248953183883051
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,1,1,PRECONDITION,0.239937102964676,0.174630233010806,0.909132376096802,0.192084494626129,0.263918774947608
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,2,2,OFFICIAL,0.234523243342325,0.18063473242631,0.906806900816054,0.199198674231254,0.258625340335713
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,3,3,OFFICIAL,0.232420571893703,0.177862938917615,0.903802741359696,0.196793980343581,0.25715851618689
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,4,4,OFFICIAL,0.224511699264523,0.183167938670414,0.905173560345014,0.202356704498305,0.248031658347322
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,5,5,OFFICIAL,0.237976391471659,0.178160819114876,0.906569994920862,0.196521857234453,0.262501949992767
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,6,6,OFFICIAL,0.235448150063271,0.178433736247759,0.9033058196978,0.197534137782322,0.260651647458708
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,7,7,OFFICIAL,0.234295179408968,0.175961538533597,0.906543149745911,0.194101669162594,0.25844900981783
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,8,8,OFFICIAL,0.244962892805025,0.181472418614985,0.903993273840307,0.200745319535466,0.270978667534089
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,9,9,OFFICIAL,0.237958699288281,0.17780775750115,0.905602519560832,0.196341942144085,0.262762850310617
C:\learn\rd\jig\B0-B p03 jig 1 test 21B.txt,legacy-root,P03,JIG1,10,10,OFFICIAL,0.251002049994798,0.168640547543185,0.90893555269264,0.185536308975485,0.27614944673605
