File,JigId,McuUid,BuildDate,NOfficialSweeps,RawP2P_Deg,A36_Deg,H2_Deg,H2PhaseDeg
C:\learn\rd\jig\tools\dist\captured-logs\S4-P011-JIG7-openloop-v1-run09-2300mm-path-2_02.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.76503562927246,0.877612959232438,0.0859648167975283,-79.1990647452797
C:\learn\rd\jig\tools\dist\captured-logs\S4-P011-JIG7-openloop-v1-test-2remountR2-path-1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,3.35700988769531,0.875417210545624,0.186140554104242,-13.283157591496
C:\learn\rd\jig\tools\dist\captured-logs\S4-P011-JIG7-openloop-v1-test-2remountR3-path-1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,3.4218692779541,0.883931499483491,0.213075074626877,-9.61620696840829
C:\learn\rd\jig\tools\dist\captured-logs\S4-P013-JIG7-openloop-v1-remountR1-path1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.86980628967285,0.860558494904443,0.0771879722860047,-72.3830332611178
C:\learn\rd\jig\tools\dist\captured-logs\S4-P013-JIG7-openloop-v1-remountR1-path2.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.63740539550781,0.860819240751448,0.0687906771159889,-23.3297483230979
C:\learn\rd\jig\tools\dist\captured-logs\S4-P013-JIG7-openloop-v1-run011-2300mm-path-2.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.85106658935547,0.865918033250191,0.165339855534775,104.0105902479
C:\learn\rd\jig\tools\dist\captured-logs\S4-P013-JIG7-openloop-v1-run013-2280mm-path-1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.87675857543945,0.86097612659472,0.14176964576232,-78.9684289883335
C:\learn\rd\jig\tools\dist\captured-logs\S4-P013-JIG7-openloop-v1-run09-2300mm-path-2.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.93892860412598,0.868310036408003,0.301332032425346,126.642202613065
C:\learn\rd\jig\tools\dist\captured-logs\S4-P03-JIG7-openloop-v1-remountR1-path1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.8073787689209,0.901165970247348,0.0431503469339779,-137.985271965927
C:\learn\rd\jig\tools\dist\captured-logs\S4-P03-JIG7-openloop-v1-remountR1-path2.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.91260719299316,0.899843422265079,0.0703249916588361,27.6382508851324
C:\learn\rd\jig\tools\dist\captured-logs\S4-P03-JIG7-openloop-v1-run013-2280mm-path-1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.94050216674805,0.904110871089749,0.0534277005143594,-174.768299654381
C:\learn\rd\jig\tools\dist\captured-logs\S4-P03-JIG7-openloop-v1-run09-2300mm-path-2.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.7872371673584,0.905907865533953,0.0946126140885208,-104.533537892362
C:\learn\rd\jig\tools\dist\captured-logs\S4-P08-JIG7-openloop-v1-remountR1-path-2.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,3.15874099731445,0.889184849363319,0.168352148784682,-77.6068028262993
C:\learn\rd\jig\tools\dist\captured-logs\S4-P08-JIG7-openloop-v1-remountR2-path1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,2.97572135925293,0.889755268641331,0.0268571213135523,-140.122986263515
C:\learn\rd\jig\tools\dist\captured-logs\S4-P08-JIG7-openloop-v1-run010-2300mm-path-1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,3.18360328674316,0.896199834666987,0.151816615089709,152.622350685786
C:\learn\rd\jig\tools\dist\captured-logs\S4-P08-JIG7-openloop-v1-run011-2300mm-path-1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,3.14045906066895,0.886620687274534,0.15586528399138,147.664834490076
C:\learn\rd\jig\tools\dist\captured-logs\S4-P08-JIG7-openloop-v1-run012-2300mm-path-2.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,2,3.11312198638916,0.893697574582679,0.0403146649954084,-124.029783240813
C:\learn\rd\jig\tools\dist\captured-logs\S4-P08-JIG7-openloop-v1-run013-2280mm-path-1.txt,JIG7,004600323235511835383831,19-Aug-2026 12:21:06,3,3.14286231994629,0.900588343438481,0.0300180286084737,-144.857169034582
