Motor,NRunsPath1,NRunsPath2,r0_ZeroShift,BestShiftDeg,r_BestShift,RMSE_ZeroShift,RMSE_Aligned,RobustNL_Path1,RobustNL_Path2
P011,6,6,0.98081384265432,0,0.98081384265432,0.142422011617117,0.142422011617117,3.055832862854,2.80030345916748
P08,3,3,0.980164982942468,0,0.980164982942468,0.148590111561829,0.148590111561829,2.84643745422363,2.93724060058594
P010,3,3,0.938343884016666,0,0.938343884016666,0.283675185185321,0.283675185185321,3.57537460327148,3.14973449707031
P013,3,3,0.960470444218391,0,0.960470444218391,0.19502577707467,0.19502577707467,2.71611213684082,2.55627250671387
P03,3,3,0.970424632750171,40,0.975212001683722,0.171089557869546,0.156713015492552,2.72032356262207,2.66832733154297
