Point,remount01_MeanAbsPositionErrorRaw_Primary,remount01_MeanAbsPositionErrorDeg_Primary,remount01_MeanAbsPositionErrorRaw_Sensitivity,remount01_SensitivitySweepCount,remount02_MeanAbsPositionErrorRaw_Primary,remount02_MeanAbsPositionErrorDeg_Primary,remount02_MeanAbsPositionErrorRaw_Sensitivity,remount02_SensitivitySweepCount,remount03_MeanAbsPositionErrorRaw_Primary,remount03_MeanAbsPositionErrorDeg_Primary,remount03_MeanAbsPositionErrorRaw_Sensitivity,remount03_SensitivitySweepCount
324,267.000000,1.466674805,267.000000,3,268.666667,1.475830078,268.666667,3,261.000000,1.433715820,257.666667,3
325,222.666667,1.223144531,222.666667,3,211.666667,1.162719727,211.666667,3,208.500000,1.145324707,204.666667,3
326,38.333333,0.210571289,38.333333,3,22.000000,0.120849609,22.000000,3,16.000000,0.087890625,13.000000,3
327,25.666667,0.140991211,25.666667,3,31.000000,0.170288086,31.000000,3,45.500000,0.249938965,40.333333,3
328,22.333333,0.122680664,22.333333,3,26.333333,0.144653320,26.333333,3,31.500000,0.173034668,30.666667,3
329,22.000000,0.120849609,22.000000,3,12.666667,0.069580078,12.666667,3,7.500000,0.041198730,8.333333,3
330,105.666667,0.580444336,105.666667,3,93.333333,0.512695312,93.333333,3,90.500000,0.497131348,92.333333,3
331,169.666667,0.932006836,169.666667,3,160.333333,0.880737305,160.333333,3,158.500000,0.870666504,161.000000,3
332,213.000000,1.170043945,213.000000,3,208.333333,1.144409180,208.333333,3,207.000000,1.137084961,205.666667,3
333,255.666667,1.404418945,255.666667,3,248.000000,1.362304688,248.000000,3,244.000000,1.340332031,246.666667,3
334,279.666667,1.536254883,279.666667,3,272.666667,1.497802734,272.666667,3,277.000000,1.521606445,276.333333,3
335,232.666667,1.278076172,232.666667,3,232.666667,1.278076172,232.666667,3,229.000000,1.257934570,229.333333,3
336,7.000000,0.038452148,7.000000,3,14.666667,0.080566406,14.666667,3,5.500000,0.030212402,4.333333,3
337,85.333333,0.468750000,85.333333,3,72.333333,0.397338867,72.333333,3,78.000000,0.428466797,75.666667,3
338,92.000000,0.505371094,92.000000,3,78.666667,0.432128906,78.666667,3,81.500000,0.447692871,80.333333,3
339,58.000000,0.318603516,58.000000,3,54.000000,0.296630859,54.000000,3,54.000000,0.296630859,54.333333,3
340,7.666667,0.042114258,7.666667,3,8.000000,0.043945312,8.000000,3,12.000000,0.065917969,10.333333,3
341,86.666667,0.476074219,86.666667,3,90.333333,0.496215820,90.333333,3,92.500000,0.508117676,91.666667,3
342,130.666667,0.717773438,130.666667,3,126.666667,0.695800781,126.666667,3,134.500000,0.738830566,134.333333,3
343,158.666667,0.871582031,158.666667,3,155.000000,0.851440430,155.000000,3,164.500000,0.903625488,162.666667,3
344,140.666667,0.772705078,140.666667,3,145.333333,0.798339844,145.333333,3,146.500000,0.804748535,149.333333,3
345,76.666667,0.421142578,76.666667,3,47.666667,0.261840820,47.666667,3,50.000000,0.274658203,48.000000,3
346,201.000000,1.104125977,201.000000,3,186.666667,1.025390625,186.666667,3,187.500000,1.029968262,189.333333,3
347,227.000000,1.246948242,227.000000,3,220.666667,1.212158203,220.666667,3,216.000000,1.186523438,214.333333,3
348,178.000000,0.977783203,178.000000,3,171.333333,0.941162109,171.333333,3,178.000000,0.977783203,178.666667,3
349,131.333333,0.721435547,131.333333,3,135.333333,0.743408203,135.333333,3,131.500000,0.722351074,130.666667,3
350,43.666667,0.239868164,43.666667,3,53.333333,0.292968750,53.333333,3,45.000000,0.247192383,44.333333,3
351,32.666667,0.179443359,32.666667,3,26.666667,0.146484375,26.666667,3,29.500000,0.162048340,30.666667,3
352,76.333333,0.419311523,76.333333,3,72.000000,0.395507812,72.000000,3,74.000000,0.406494141,75.666667,3
353,101.666667,0.558471680,101.666667,3,98.000000,0.538330078,98.000000,3,97.000000,0.532836914,98.666667,3
354,98.000000,0.538330078,98.000000,3,90.666667,0.498046875,90.666667,3,92.000000,0.505371094,92.666667,3
355,34.000000,0.186767578,34.000000,3,51.333333,0.281982422,51.333333,3,51.500000,0.282897949,52.000000,3
356,149.000000,0.818481445,149.000000,3,149.666667,0.822143555,149.666667,3,152.500000,0.837707520,153.000000,3
357,168.666667,0.926513672,168.666667,3,167.333333,0.919189453,167.333333,3,170.000000,0.933837891,168.666667,3
358,144.666667,0.794677734,144.666667,3,140.000000,0.769042969,140.000000,3,136.000000,0.747070312,135.333333,3
359,97.666667,0.536499023,97.666667,3,98.333333,0.540161133,98.333333,3,100.500000,0.552062988,98.333333,3
