MechanicalAngleDeg,MeasuredErrorDeg,H36FitDeg,ElectricalFamilyFitDeg,Extended12OrderFitDeg,ElectricalFamilyResidualDeg
0.0,-0.00974,-0.5549746469735666,-0.5176483553675079,-0.04226480511320357,0.5079083553675079
1.0,0.86804,0.002484363670006262,-0.022126019525333898,0.45180239798634636,0.8901660195253339
2.0,1.29709,0.40759282388546336,0.2009415696091859,0.6827351240917788,1.0961484303908142
3.0,1.14606,0.5056130710006348,0.4423076414497207,0.9507042220405459,0.7037523585502794
4.0,1.55597,0.2591047022031887,0.5561471638339439,1.1068798166720883,0.9998228361660562
5.0,0.78839,-0.2377744641375444,-0.11073374425641322,0.48431262857036417,0.8991237442564133
6.0,-0.20715,-0.7952334747811173,-1.0692070195253385,-0.4441069668050389,0.8620570195253385
7.0,-0.43762,-1.2003419349965745,-1.3425927081685853,-0.710436234917302,0.9049727081685853
8.0,-0.35391,-1.298362182111746,-1.1521061363280614,-0.5314105165990222,0.7981961363280614
9.0,-0.19617,-1.0518538133143,-0.9487279472771663,-0.3424112931223787,0.7525579472771662
10.0,0.27948,-0.5549746469735668,-0.5176483553675082,0.08918525097182448,0.7971283553675081
11.0,0.681,0.002484363670006706,-0.022126019525333676,0.6094695279217665,0.7031260195253337
12.0,0.86588,0.40759282388546336,0.20094156960918597,0.8761310251974467,0.664938430390814
13.0,1.09885,0.5056130710006348,0.44230764144972057,1.1615476255677684,0.6565423585502795
14.0,1.25916,0.25910470220318893,0.5561471638339438,1.2975582894324227,0.7030128361660563
15.0,0.69226,-0.2377744641375442,-0.11073374425641241,0.6158772678170078,0.8029937442564123
16.0,-0.35886,-0.7952334747811171,-1.0692070195253383,-0.3950271458033271,0.7103470195253383
17.0,-1.0838,-1.2003419349965743,-1.3425927081685856,-0.7453932192325965,0.25879270816858546
18.0,-0.87833,-1.2983621821117461,-1.1521061363280616,-0.6374929064060125,0.2737761363280615
19.0,-0.76874,-1.0518538133143,-0.948727947277166,-0.5077958832456436,0.17998794727716605
20.0,-0.3746,-0.554974646973567,-0.5176483553675084,-0.138096630782317,0.14304835536750843
21.0,0.08896,0.002484363670005818,-0.022126019525334245,0.3012920920519324,0.11108601952533424
22.0,0.35239,0.4075928238854639,0.20094156960918777,0.46326690992183633,0.1514484303908122
23.0,0.54572,0.505613071000635,0.4423076414497196,0.6344586314572408,0.10341235855028036
24.0,0.45038,0.25910470220318893,0.5561471638339441,0.6763233304434403,-0.10576716383394413
25.0,-0.28809,-0.23777446413754397,-0.11073374425641201,-0.047747321303894155,-0.177356255743588
26.0,-1.38269,-0.7952334747811168,-1.0692070195253378,-1.0312896883744227,-0.31348298047466217
27.0,-1.32758,-1.2003419349965743,-1.3425927081685858,-1.2896376127780032,0.015012708168585798
28.0,-1.12024,-1.2983621821117461,-1.1521061363280611,-1.0510214752123241,0.031866136328061234
29.0,-0.86658,-1.0518538133143003,-0.9487279472771661,-0.7860997156600849,0.08214794727716612
30.0,-0.34506,-0.5549746469735672,-0.5176483553675094,-0.3031057034668735,0.17258835536750944
31.0,0.10803,0.002484363670005596,-0.02212601952533437,0.2194808274315166,0.13015601952533437
32.0,0.42496,0.40759282388546303,0.2009415696091857,0.44423333677677895,0.22401843039081432
33.0,0.68329,0.5056130710006348,0.44230764144972,0.6748504581404108,0.24098235855027994
34.0,0.73929,0.25910470220318915,0.5561471638339437,0.7834600966476618,0.1831428361660563
35.0,0.43536,-0.23777446413754375,-0.11073374425641078,0.1290590221376078,0.5460937442564108
36.0,-0.63043,-0.7952334747811167,-1.0692070195253376,-0.7996917405890542,0.43877701952533754
37.0,-0.95755,-1.2003419349965743,-1.3425927081685858,-1.0384251224829322,0.38504270816858577
38.0,-0.82074,-1.298362182111746,-1.152106136328061,-0.8246973786020725,0.3313661363280609
39.0,-0.61703,-1.0518538133143003,-0.9487279472771667,-0.6198040481719626,0.3316979472771667
40.0,-0.2374,-0.5549746469735675,-0.5176483553675089,-0.20693607412274923,0.28024835536750886
41.0,0.24887,0.0024843636700055405,-0.022126019525334398,0.2637845395156308,0.2709960195253344
42.0,0.55438,0.40759282388546303,0.20094156960918658,0.47185768856767196,0.3534384303908134
43.0,0.76367,0.5056130710006344,0.44230764144972035,0.7178696827867302,0.3213623585502796
44.0,0.80389,0.25910470220318715,0.5561471638339412,0.8534003670293456,0.24774283616605874
45.0,0.19553,-0.23777446413754036,-0.11073374425640674,0.21188641276727982,0.30626374425640673
46.0,-0.78104,-0.7952334747811136,-1.0692070195253334,-0.7334369450703857,0.2881670195253334
47.0,-1.03619,-1.200341934996574,-1.3425927081685847,-1.014339048633008,0.3064027081685847
48.0,-0.84375,-1.2983621821117461,-1.1521061363280618,-0.8473379083043525,0.3083561363280618
49.0,-0.60913,-1.0518538133143005,-0.9487279472771663,-0.6676791183787241,0.3395979472771663
50.0,-0.11557,-0.5549746469735677,-0.5176483553675099,-0.24269196598368603,0.40207835536750985
51.0,0.31723,0.0024843636700022653,-0.022126019525336632,0.2736679840615732,0.33935601952533667
52.0,0.5351,0.4075928238854629,0.20094156960918572,0.5389513430205738,0.3341584303908143
53.0,0.80527,0.5056130710006345,0.4423076414497208,0.8253080862212773,0.36296235855027925
54.0,0.93176,0.2591047022031896,0.556147163833944,0.9642678598113699,0.375612836166056
55.0,0.46387,-0.2377744641375465,-0.11073374425641448,0.28716527571892786,0.5746037442564145
56.0,-0.6228,-0.7952334747811163,-1.069207019525337,-0.7179672461918403,0.4464070195253369
57.0,-1.03333,-1.2003419349965754,-1.3425927081685864,-1.0618435633071652,0.30926270816858636
58.0,-0.93057,-1.2983621821117461,-1.1521061363280611,-0.9472326745528111,0.22153613632806113
59.0,-0.77905,-1.051853813314303,-0.9487279472771682,-0.8111035163069457,0.16967794727716823
60.0,-0.39645,-0.5549746469735679,-0.5176483553675109,-0.43573263236470805,0.12119835536751083
61.0,0.08701,0.0024843636700021543,-0.0221260195253368,0.00812112478855069,0.1091360195253368
62.0,0.31943,0.4075928238854627,0.20094156960918463,0.17296159704676495,0.11848843039081536
63.0,0.53378,0.5056130710006355,0.44230764144971935,0.3450953049956898,0.09147235855028069
64.0,0.52435,0.2591047022031896,0.5561471638339445,0.38573491982881625,-0.031797163833944486
65.0,-0.34167,-0.23777446413754627,-0.11073374425641491,-0.3418813223148902,-0.23093625574358506
66.0,-1.44144,-0.7952334747811161,-1.0692070195253367,-1.3313478568216142,-0.37223298047466336
67.0,-1.53311,-1.2003419349965754,-1.3425927081685858,-1.5979597334795868,-0.1905172918314142
68.0,-1.34857,-1.2983621821117461,-1.152106136328061,-1.3698141286299272,-0.19646386367193913
69.0,-1.11554,-1.0518538133142985,-0.948727947277164,-1.117348145765371,-0.16681205272283595
70.0,-0.64246,-0.5549746469735681,-0.517648355367512,-0.6484955111170029,-0.12481164463248806
71.0,-0.23093,0.0024843636700019323,-0.022126019525336896,-0.14137094508201864,-0.2088039804746631
72.0,-0.01431,0.4075928238854626,0.2009415696091854,0.06701391610262498,-0.2152515696091854
73.0,0.19684,0.5056130710006345,0.44230764144972146,0.28080515111446086,-0.24546764144972147
74.0,0.29575,0.2591047022031898,0.5561471638339441,0.37259218458211507,-0.2603971638339441
75.0,-0.28882,-0.23777446413754605,-0.11073374425641536,-0.2981714064911932,-0.17808625574358466
76.0,-1.19522,-0.7952334747811158,-1.0692070195253365,-1.2423908016917729,-0.12601298047466347
77.0,-1.42874,-1.200341934996572,-1.342592708168585,-1.4953051768373324,-0.08614729183141501
78.0,-1.32663,-1.2983621821117461,-1.1521061363280622,-1.2941321070614336,-0.17452386367193773
79.0,-1.13217,-1.0518538133143034,-0.9487279472771687,-1.0998959337411964,-0.1834420527228312
80.0,-0.74979,-0.5549746469735684,-0.5176483553675097,-0.6955931470754099,-0.2321416446324902
