leg,motor_id,jig_id,order,mean_curve_amplitude_deg,mean_curve_phase_deg,run_amplitude_mean_deg,run_amplitude_sd_deg
A1,UNKNOWN,JIG7,1,0.02273964285270508,-102.18185343177814,0.022746741421468247,0.003581259852365628
A1,UNKNOWN,JIG7,2,0.004412572600857559,-73.62472857736083,0.005107945370370665,0.0024499686646510775
A1,UNKNOWN,JIG7,3,0.0016045619266909857,171.42587691247775,0.002563843924428425,0.001962869592317262
A1,UNKNOWN,JIG7,4,0.004224649375027554,75.57783160021633,0.005012412564095012,0.00013835648430924507
A1,UNKNOWN,JIG7,5,0.008401654178839455,-118.95181650599372,0.008439640727871,0.0028542080913832282
A1,UNKNOWN,JIG7,6,0.0024748538727072658,128.9906483120217,0.002791996795337646,0.001325027225314081
A1,UNKNOWN,JIG7,7,0.007260421966900803,-170.83102051003075,0.007271564953433528,0.0013093553796016963
A1,UNKNOWN,JIG7,8,0.001297863959040912,131.03917286878522,0.0015468654226767182,0.0006517947054567821
A1,UNKNOWN,JIG7,9,0.028785759268487348,75.00781375113895,0.02880525694008568,0.0010644603750466501
A1,UNKNOWN,JIG7,10,0.011251593971421425,-88.06094804735034,0.011348088299462171,0.000900133095924073
A1,UNKNOWN,JIG7,11,0.004986851395468929,-45.13788651429612,0.005171920610950201,0.0020271430625227924
A1,UNKNOWN,JIG7,12,0.016626211013553098,-33.2869749954193,0.016665318313267962,0.0013337409303286305
A1,UNKNOWN,JIG7,13,0.009132289121618063,18.852062967554396,0.00913365870062168,0.0013028394167776257
A1,UNKNOWN,JIG7,14,0.0035061842790377338,94.51459416396827,0.003596618660775508,0.001547968598075328
A1,UNKNOWN,JIG7,15,0.0013906665037716622,20.95975164654349,0.0028876197663425794,0.0013219275706289845
A1,UNKNOWN,JIG7,16,0.0038162480154779166,-47.66014694599124,0.0041087386700748825,0.001182759025786357
A1,UNKNOWN,JIG7,17,0.007575894582598005,10.38224686106976,0.007663192315413777,0.001978452291131975
A1,UNKNOWN,JIG7,18,0.026540128580444158,-64.81141788443665,0.026550682940825066,0.001348732449893666
A1,UNKNOWN,JIG7,19,0.0033195983718012803,-128.17512984443673,0.0033678682484512058,0.00045328970793282846
A1,UNKNOWN,JIG7,20,0.002898057603921965,-25.341634425651673,0.0031946783829322196,0.0017482098838354553
A1,UNKNOWN,JIG7,21,0.003999620570357846,-111.88382446205344,0.004025645330057217,0.0010911249585800707
A1,UNKNOWN,JIG7,22,0.0030983218563203417,153.67384438315744,0.0032204326832231595,0.001210704351902501
A1,UNKNOWN,JIG7,23,0.004910668107545321,-117.10268574524696,0.005418732786621761,0.001192824237961957
A1,UNKNOWN,JIG7,24,0.01177447121230865,-63.3369953038006,0.011807325692584048,0.0010083601354966484
A1,UNKNOWN,JIG7,25,0.004259549655053724,-48.4504856713745,0.004357019094618038,0.0010197734272228613
A1,UNKNOWN,JIG7,26,0.006423314206977985,-57.241858726987765,0.006450490645515289,0.0020779810844117914
A1,UNKNOWN,JIG7,27,0.018060806845082742,-169.64808647265713,0.01807557689120907,0.0017494101601507322
A1,UNKNOWN,JIG7,28,0.008200735186987895,37.227520819226925,0.008283114783436081,0.0011593013678848718
A1,UNKNOWN,JIG7,29,0.0050537113751398756,113.20015691554414,0.005085131137930597,0.001892932989968851
A1,UNKNOWN,JIG7,30,0.003542731538352833,92.11982180003213,0.003838367444630071,0.0007890433049501629
A1,UNKNOWN,JIG7,31,0.006976497781788745,41.12769208108192,0.007037903337905482,0.0022869429678066956
A1,UNKNOWN,JIG7,32,0.003560720707265871,134.2219774220629,0.0038910033049047027,0.0020670172169380656
A1,UNKNOWN,JIG7,33,0.006627697153705469,174.04002649689414,0.00704184040606502,0.00157420756544284
A1,UNKNOWN,JIG7,34,0.003947035521276726,27.340712105437646,0.004082609013121791,0.00044351184759845995
A1,UNKNOWN,JIG7,35,0.015153557816184642,59.478517300720874,0.015272598736121157,0.001910610605623231
A1,UNKNOWN,JIG7,36,0.14380663601254068,90.32167737871086,0.14381157227902966,0.0036155727512737473
A1,UNKNOWN,JIG7,37,0.020755122300873542,-157.37274579398294,0.020863503685994756,0.002361883677665033
A1,UNKNOWN,JIG7,38,0.007082216441827158,-87.75719102812772,0.007815867787684004,0.0024308281311674726
A1,UNKNOWN,JIG7,39,0.0006340945498308466,81.38329473483998,0.0020255456122867167,0.001208482395161152
A1,UNKNOWN,JIG7,40,0.002739447182962601,-9.741846805982371,0.0033806052151867925,0.0019024104587563814
A1,UNKNOWN,JIG7,41,0.005596379092152377,152.7464905455602,0.006122816648774654,0.0031996646893457806
A1,UNKNOWN,JIG7,42,0.0024753917600726007,64.00102929985397,0.0033770403929827054,0.0008239968806856582
A1,UNKNOWN,JIG7,43,0.0032228746750473875,136.10891046232453,0.003303395122209203,0.001176875874230666
A1,UNKNOWN,JIG7,44,0.004907202509520148,-39.23778962288728,0.005229698765169437,0.001099942484762437
A1,UNKNOWN,JIG7,45,0.013904720445530021,-27.12379478158874,0.01394318717021543,0.0007348035941245119
A1,UNKNOWN,JIG7,46,0.011273726880447267,172.88835371782525,0.011387501631493671,0.0011555023594892997
A1,UNKNOWN,JIG7,47,0.005276072153690117,-126.78041340507394,0.005673019358780229,0.00264565352938874
A1,UNKNOWN,JIG7,48,0.010139638501081542,-126.93790358111663,0.010207017196025856,0.0005389741039788944
A1,UNKNOWN,JIG7,49,0.006329252682002496,-68.82566491553042,0.00635141555949417,0.0031925930001447727
A1,UNKNOWN,JIG7,50,0.006713634753403307,-1.7495210274276496,0.0070755270827217165,0.002575146508230114
A1,UNKNOWN,JIG7,51,0.0013994476353806607,-53.71860336399859,0.004252217152971458,0.0009526898016663986
A1,UNKNOWN,JIG7,52,0.0018859954618608515,173.93078905172155,0.0030794659574624635,0.0007971757251651482
A1,UNKNOWN,JIG7,53,0.007442576368855588,-68.8911065270815,0.0075557827794626815,0.0007879183959879592
A1,UNKNOWN,JIG7,54,0.011584793615808072,-173.32940268160567,0.011644463045076709,0.0002685050561669391
A1,UNKNOWN,JIG7,55,0.0039408598436472125,47.476435342537656,0.004076021373660516,0.0009635309103972281
A1,UNKNOWN,JIG7,56,0.0010943350422371108,-133.82866650156558,0.0021027391907505358,0.0007304785043203887
A1,UNKNOWN,JIG7,57,0.004055843362731623,139.73766863203397,0.004193713080211451,0.0008694882842833755
A1,UNKNOWN,JIG7,58,0.004226290492460108,36.90778983218671,0.004364554201141083,0.002165038307801771
A1,UNKNOWN,JIG7,59,0.003012386926883044,149.1281720859779,0.0038056181566532474,0.00270945918772115
A1,UNKNOWN,JIG7,60,0.0021293293048301742,-123.33117387688574,0.002190203897760984,0.0016812126573106704
A1,UNKNOWN,JIG7,61,0.0015377844940039998,94.40415470386768,0.0018378623644822432,0.0008565787652253763
A1,UNKNOWN,JIG7,62,0.0076566157509958405,159.85276940134392,0.007686868997361748,0.0015090078231215663
A1,UNKNOWN,JIG7,63,0.0009086985645021342,140.3004859537824,0.0018262333842529765,0.0005816881061659714
