leg,source_file,test_id,sweep_id,run_order,motor_id,jig_id,analysis_points,robust_nl_deg,top_tail_mean_deg,bottom_tail_mean_deg,rms_ac_deg,raw_p2p_deg,closure_error_deg,h1_amplitude_deg,h2_amplitude_deg,h4_amplitude_deg,h8_amplitude_deg,h9_amplitude_deg,h18_amplitude_deg,h36_amplitude_deg
A1,P05 JIG1-A1.txt,2,2,1,p05,JIG1,360,3.144044,1.509816,-1.6342279999999998,0.7436937238741674,3.2787800000000002,-0.07782,0.45998177157792425,0.1122990908588358,0.06735089799368378,0.018611334936583873,0.28066487236421117,0.10461774145759155,0.8505653460887
A1,P05 JIG1-A1.txt,3,3,2,p05,JIG1,360,3.153074,1.49281,-1.6602640000000002,0.7446651280243209,3.32687,-0.11993,0.4625466396779175,0.10794555077957196,0.06836231117828168,0.01879418081030814,0.28037191970324116,0.10338787551893674,0.8521306470269681
A1,P05 JIG1-A1.txt,4,4,3,p05,JIG1,360,3.157032,1.5079820000000002,-1.6490500000000001,0.7411776889193635,3.32834,-0.06744,0.4497356544187084,0.12744951720139008,0.06666858739909466,0.020767871648814377,0.28329720748707915,0.10405102867932349,0.8492393764008697
B,P05 JIG4-B.txt,2,2,1,p05,JIG4,360,2.731578,1.6242539999999999,-1.107324,0.6972861437825295,2.7763999999999998,-0.06213,0.24127308498374034,0.12937766967430064,0.012211763564135069,0.0059115688432608985,0.2705391630205034,0.1016588313504594,0.8695044891122541
B,P05 JIG4-B.txt,3,3,2,p05,JIG4,360,2.771966,1.6569340000000001,-1.115032,0.7012762041046356,2.82904,-0.11774,0.25231277392159474,0.15983218796463972,0.014927332082147606,0.008600450596344523,0.2662608980127397,0.1025248888103441,0.8686009358303693
A2,P05 JIG1-A2.txt,2,2,1,p05,JIG1,360,2.9104520000000003,1.704298,-1.2061540000000002,0.709760015181864,3.01764,-0.07074,0.34041935051113115,0.12116478512880013,0.025484859179090248,0.023852544327364354,0.273632650511634,0.10442567858692821,0.8556368069809596
A2,P05 JIG1-A2.txt,3,3,2,p05,JIG1,360,2.872202,1.674204,-1.1979980000000001,0.7064898567519043,2.98279,-0.06195,0.3464857809904607,0.09960117864194651,0.018845847610251966,0.019305515872973016,0.27286017030249293,0.10465269093268342,0.8512171366367701
A2,P05 JIG1-A2.txt,4,4,3,p05,JIG1,360,2.88063,1.6288440000000002,-1.251786,0.7075150032409332,2.99737,-0.12091,0.34882816788138626,0.10238548983480285,0.018823420679947994,0.025310499661615773,0.2733290777703298,0.10280924232182401,0.8514598081510563
