leg,motor_id,jig_id,eligible_runs,analysis_points,nl_mean_deg,nl_sd_deg,top_mean_deg,top_sd_deg,bottom_mean_deg,bottom_sd_deg,closure_mean_deg,closure_sd_deg,closure_max_abs_deg,centered_pointwise_sd_mean_deg,centered_pointwise_sd_max_deg,centered_pointwise_sd_max_angle_deg
A1,p05,JIG1,3,360,3.1513833333333334,0.006657011441580485,1.5035360000000002,0.009334141417398887,-1.6478473333333332,0.013059599126058143,-0.08839666666666667,0.027797471707573213,0.11993,0.014599981857920571,0.11032979655199204,25.0
B,p05,JIG4,2,360,2.751772,0.028558628678562344,1.640594,0.02310824960917656,-1.111178,0.005450379069385942,-0.089935,0.039322208101783905,0.11774,0.02264033086292519,0.09630747219308694,175.0
A2,p05,JIG1,3,360,2.8877613333333336,0.020097451612911942,1.6691153333333333,0.037983515178736806,-1.2186460000000001,0.028988356007197055,-0.08453333333333334,0.03180821329992198,0.12091,0.01659643225631562,0.05599573321948566,35.0
