"Batch","Product","RunOrder","TestID","SweepID","NL_RobustP2P","MeanDC","RMS_AC","A1","A2","A3","A6","A9","A12","A18","A27","A36","A45","A72","A108","Residual_RMS_H6","Residual_RMS_H36","Residual_RMS_Full","Residual_RMS_Extended","Fitted_P2P","Fitted_P2P_Extended","FitExplainedRatio","FitExplainedRatio_Extended","Motor_Error_P2P_Deg","Motor_System_INL_Deg","CrestFactor","P99_AbsDeviation","TrackingError_RMS_Deg","TrackingError_MaxAbs_Deg","ClosureErrorDeg","AbsClosureErrorDeg","ShadowP2P","BackoffFeedforwardTargetErrorRaw","ForwardFeedforwardTargetErrorRaw","BackoffTargetErrorRaw","ApproachTargetErrorRaw","ApproachReturnErrorRaw","BackoffObservedDeltaRaw","ApproachObservedDeltaRaw","AbsApproachReturnErrorRaw","AnalysisStartRaw","MaxAbsSettlePositionErrorDeg","MotorActiveDurationMs","TimeSincePreviousRunMs"
"P06_R1","P06","8","54","53","3.022368","-0.1202","0.7278","0.2499","0.118","0.0237","0.0186","0.0671","0.076","0.454","0.0147","0.8175","0.0311","0.1452","0.0782","0.7277","0.4422","0.6206","0.1859","1.6111","3.1072","0.2729","0.9348","3.2526","1.6263","2.4959","1.6125","0.7401","1.6974","-0.15235","0.15235","3.25367","12","12","12","12","24","-170","194","24","64404","NaN","24363","120096"
"P06_R1","P06","9","55","54","3.041166","-0.1241","0.7312","0.2555","0.1164","0.024","0.0222","0.0713","0.0761","0.4549","0.0123","0.8206","0.0329","0.1449","0.0788","0.731","0.4449","0.6231","0.1867","1.6134","3.1177","0.2736","0.9348","3.2293","1.6147","2.4785","1.6344","0.743","1.6919","-0.12162","0.12162","3.23444","10","10","10","10","20","-172","192","20","64402","NaN","24482","120094"
"P06_R1","P06","10","56","55","3.011778","-0.1142","0.728","0.2544","0.114","0.0214","0.0172","0.0688","0.0755","0.4544","0.0144","0.8178","0.029","0.1432","0.0783","0.7279","0.4422","0.6202","0.1844","1.6085","3.1029","0.2743","0.9358","3.17","1.585","2.4547","1.6378","0.7387","1.6589","-0.17587","0.17587","3.16466","12","14","12","14","26","-170","196","26","64405","NaN","24213","120094"
"P06_R2","P06","1","2","2","3.087916","-0.175","0.7374","0.2836","0.1179","0.0164","0.0139","0.0669","0.073","0.4588","0.0143","0.822","0.0308","0.1429","0.0774","0.7373","0.4538","0.6232","0.1859","1.657","3.1664","0.2856","0.9364","3.2737","1.6369","2.4805","1.6626","0.7575","1.637","-0.12952","0.12952","3.27436","13","12","13","12","25","-169","194","25","64415","NaN","25223","120067"
"P06_R2","P06","2","3","3","3.093018","-0.1701","0.735","0.2823","0.1186","0.017","0.02","0.0671","0.0761","0.4553","0.0145","0.8186","0.0327","0.1438","0.0779","0.7349","0.453","0.6217","0.1876","1.6574","3.1613","0.2846","0.9349","3.3112","1.6556","2.5881","1.6785","0.7546","1.7194","-0.13261","0.13261","3.31152","11","13","11","13","24","-171","195","24","64411","NaN","24364","120054"
"P06_R2","P06","3","4","4","3.082224","-0.1921","0.7375","0.2831","0.1215","0.0142","0.0205","0.0648","0.0778","0.4559","0.014","0.8216","0.0302","0.1437","0.0794","0.7373","0.4542","0.6238","0.1884","1.6715","3.1778","0.2845","0.9347","3.2331","1.6165","2.4863","1.6883","0.7628","1.6315","-0.13158","0.13158","3.23058","13","8","13","8","21","-169","190","21","64413","NaN","24607","120053"
"P06_R2","P06","4","5","5","3.101354","-0.1633","0.7369","0.287","0.1244","0.0122","0.0152","0.0667","0.0751","0.4568","0.0135","0.8197","0.0311","0.1431","0.0775","0.7369","0.4551","0.6219","0.1866","1.6672","3.1789","0.2877","0.9359","3.2952","1.6476","2.516","1.6793","0.756","1.6809","-0.1466","0.1466","3.29298","16","12","16","12","28","-166","194","28","64418","NaN","24722","120055"
"P06_R2","P06","5","6","6","3.062788","-0.1718","0.7364","0.2826","0.1207","0.0192","0.0135","0.0704","0.0775","0.4571","0.0156","0.8202","0.0336","0.1433","0.0776","0.7364","0.4539","0.6224","0.186","1.6665","3.1729","0.2857","0.9362","3.2569","1.6284","2.4736","1.6467","0.7577","1.6425","-0.1369","0.1369","3.26045","10","16","10","16","26","-172","198","26","64417","NaN","24334","120053"
"P06_R2","P06","6","7","7","3.06767","-0.1658","0.7348","0.284","0.1163","0.0168","0.0163","0.0666","0.0775","0.4543","0.0124","0.8204","0.032","0.141","0.0776","0.7347","0.451","0.6216","0.1847","1.6592","3.1657","0.2844","0.9368","3.2446","1.6223","2.5006","1.6718","0.7544","1.6644","-0.1387","0.1387","3.23925","11","18","11","18","29","-171","200","29","64413","NaN","24340","120054"
"P06_R2","P06","7","8","8","3.101428","-0.1959","0.7365","0.2839","0.1177","0.0149","0.0165","0.065","0.0784","0.4597","0.0158","0.8191","0.0321","0.1438","0.0758","0.7364","0.4548","0.6214","0.1862","1.6663","3.1723","0.288","0.9361","3.2973","1.6486","2.5226","1.6923","0.7632","1.6589","-0.13261","0.13261","3.30465","17","7","17","7","24","-165","189","24","64417","NaN","24448","120055"
"P06_R2","P06","8","9","9","3.093144","-0.1797","0.7362","0.2836","0.1214","0.0175","0.0161","0.065","0.0756","0.4564","0.0111","0.8203","0.0298","0.1435","0.0774","0.7362","0.4534","0.6222","0.1865","1.6606","3.1702","0.2858","0.9358","3.2992","1.6496","2.5235","1.6744","0.759","1.6699","-0.10772","0.10772","3.30242","12","14","12","14","26","-170","196","26","64413","NaN","24589","120053"
"P06_R2","P06","9","10","10","3.087976","-0.197","0.7371","0.2847","0.1242","0.0164","0.0143","0.0679","0.0753","0.4556","0.0133","0.8217","0.0336","0.1406","0.0789","0.737","0.4536","0.6231","0.1863","1.6703","3.1764","0.2854","0.9361","3.2875","1.6437","2.5085","1.6719","0.7632","1.6425","-0.12737","0.12737","3.28955","15","11","15","11","26","-167","193","26","64411","NaN","24144","120053"
"P06_R2","P06","10","11","11","3.07522","-0.1814","0.7336","0.2827","0.1197","0.0129","0.0181","0.0648","0.0742","0.456","0.0145","0.8176","0.0278","0.1406","0.078","0.7335","0.4515","0.6197","0.185","1.656","3.1592","0.2863","0.9364","3.2706","1.6353","2.4815","1.6633","0.756","1.6425","-0.14806","0.14806","3.26646","15","13","15","13","28","-167","195","28","64413","NaN","24374","120097"
"P07","P07","1","58","57","2.468476","0.1863","0.6683","0.1839","0.0924","0.024","0.0145","0.1237","0.1185","0.0751","0.0142","0.8602","0.0375","0.1892","0.125","0.6682","0.2769","0.6444","0.1054","0.7856","2.7379","0.0703","0.9751","2.5734","1.2867","2.0791","1.2782","0.6951","1.5875","-0.25432","0.25432","2.57235","70","-5","70","-5","65","-112","177","65","640","NaN","23646","120098"
"P07","P07","2","59","58","2.498502","0.1261","0.6687","0.2029","0.1055","0.0281","0.0129","0.1252","0.1184","0.0771","0.0139","0.8556","0.0352","0.1863","0.1247","0.6686","0.2848","0.6407","0.1041","0.852","2.7413","0.0819","0.9758","2.6092","1.3046","2.075","1.2451","0.6824","1.5216","-0.24822","0.24822","2.61294","68","-9","68","-9","59","-114","173","59","638","NaN","23953","120091"
"P07","P07","3","60","59","2.483924","0.0882","0.6672","0.2032","0.1012","0.0295","0.0166","0.1242","0.1144","0.0714","0.0133","0.8556","0.0344","0.1848","0.1234","0.6671","0.2813","0.6401","0.103","0.8288","2.7249","0.0796","0.9762","2.5865","1.2932","2.084","1.2687","0.6748","1.4667","-0.23741","0.23741","2.59844","69","-10","69","-10","59","-113","172","59","630","NaN","23673","120088"
"P07","P07","4","61","60","2.47438","0.1098","0.6671","0.1973","0.1018","0.0268","0.0146","0.1292","0.1142","0.0732","0.0179","0.8556","0.0374","0.1858","0.1215","0.667","0.2811","0.6409","0.1042","0.8232","2.7191","0.0771","0.9756","2.5933","1.2966","2.0582","1.2635","0.6772","1.4612","-0.23955","0.23955","2.59037","64","-5","64","-5","59","-118","177","59","639","NaN","23914","120089"
"P07","P07","5","62","61","2.463164","0.1297","0.6654","0.1935","0.1059","0.0252","0.0147","0.1242","0.1108","0.0734","0.0137","0.8542","0.0357","0.1865","0.1249","0.6653","0.279","0.6396","0.1031","0.8151","2.7114","0.0759","0.976","2.5702","1.2851","2.0538","1.2526","0.6811","1.4941","-0.27474","0.27474","2.57072","63","-6","63","-6","57","-119","176","57","642","NaN","23840","120089"
"P07","P07","6","63","62","2.483568","0.1249","0.6652","0.2","0.098","0.0228","0.0164","0.1267","0.1109","0.0779","0.0163","0.8527","0.0351","0.1877","0.1228","0.6651","0.281","0.6389","0.1032","0.8185","2.7241","0.0777","0.9759","2.6115","1.3057","2.0868","1.243","0.6784","1.5106","-0.22187","0.22187","2.60385","63","-3","63","-3","60","-119","179","60","642","NaN","24416","120088"
"P07","P07","7","64","63","2.499178","0.1165","0.6651","0.1979","0.0908","0.0326","0.0147","0.1287","0.1106","0.0757","0.0133","0.8528","0.038","0.1882","0.128","0.665","0.2806","0.6396","0.1022","0.8077","2.7279","0.0754","0.9764","2.6573","1.3286","2.1659","1.2762","0.6762","1.5765","-0.22659","0.22659","2.66376","59","-1","59","-1","58","-123","181","58","642","NaN","24006","120091"
"P07","P07","8","65","64","2.46371","0.1361","0.6629","0.1979","0.0817","0.0315","0.0192","0.1265","0.1115","0.0771","0.0167","0.852","0.0363","0.1853","0.1225","0.6627","0.2766","0.6377","0.1011","0.7992","2.7175","0.0746","0.9767","2.5955","1.2977","2.1041","1.2414","0.6784","1.5161","-0.2496","0.2496","2.59277","62","1","62","1","63","-120","183","63","641","NaN","23888","120088"
"P07","P07","9","66","65","2.472246","0.1371","0.6622","0.185","0.0822","0.0432","0.0144","0.1267","0.1131","0.0762","0.013","0.8528","0.035","0.1869","0.1228","0.6621","0.2737","0.6385","0.1016","0.7705","2.7199","0.0703","0.9764","2.5681","1.2841","2.0407","1.2584","0.6771","1.4996","-0.25011","0.25011","2.56496","65","-3","65","-3","62","-117","179","62","646","NaN","25072","120088"
"P07","P07","10","67","66","2.463676","0.1488","0.6645","0.199","0.0865","0.0338","0.0166","0.1282","0.1098","0.0743","0.0154","0.8543","0.0377","0.1863","0.1245","0.6644","0.2769","0.6392","0.0972","0.8018","2.7304","0.0748","0.9786","2.6013","1.3006","2.1336","1.2613","0.6821","1.582","-0.26264","0.26264","2.60187","67","-1","67","-1","66","-115","181","66","647","NaN","24416","120091"
