"Batch","Product","RunOrder","TestID","SweepID","NL_RobustP2P","MeanDC","RMS_AC","A1","A2","A3","A6","A9","A12","A18","A27","A36","A45","A72","A108","Residual_RMS_H6","Residual_RMS_H36","Residual_RMS_Full","Residual_RMS_Extended","Fitted_P2P","Fitted_P2P_Extended","FitExplainedRatio","FitExplainedRatio_Extended","Motor_Error_P2P_Deg","Motor_System_INL_Deg","CrestFactor","P99_AbsDeviation","TrackingError_RMS_Deg","TrackingError_MaxAbs_Deg","ClosureErrorDeg","AbsClosureErrorDeg","ShadowP2P","BackoffFeedforwardTargetErrorRaw","ForwardFeedforwardTargetErrorRaw","BackoffTargetErrorRaw","ApproachTargetErrorRaw","ApproachReturnErrorRaw","BackoffObservedDeltaRaw","ApproachObservedDeltaRaw","AbsApproachReturnErrorRaw","AnalysisStartRaw","MaxAbsSettlePositionErrorDeg","MotorActiveDurationMs","TimeSincePreviousRunMs"
"P02_R2","P02","4","17","16","3.243486","-0.3288","0.768","0.1806","0.2409","0.023","0.0347","0.4092","0.0259","0.1011","0.1073","0.8997","0.1138","0.1852","0.1099","0.7676","0.4302","0.7335","0.1194","0.959","3.7081","0.0876","0.9758","3.463","1.7315","2.4242","1.7004","0.8348","1.9336","0.03957","0.03957","3.46687","42","28","42","28","70","-140","210","70","4669","NaN","26633","120092"
"P02_R2","P02","5","18","17","3.285042","-0.3446","0.7734","0.2119","0.2509","0.0091","0.0179","0.4087","0.0276","0.1005","0.1091","0.9025","0.1153","0.1853","0.1112","0.7733","0.4369","0.7339","0.1088","0.9474","3.691","0.0996","0.9802","3.4455","1.7227","2.4553","1.7462","0.8449","1.9006","0.01081","0.01081","3.44748","46","30","46","30","76","-136","212","76","4673","NaN","26680","120092"
"P02_R2","P02","6","19","18","3.294254","-0.3297","0.7741","0.2153","0.253","0.0086","0.0187","0.41","0.0269","0.1009","0.1093","0.9003","0.1168","0.1869","0.1112","0.774","0.4404","0.7337","0.1124","0.9508","3.705","0.1015","0.9789","3.4903","1.7451","2.4655","1.7694","0.8407","1.9281","0.00566","0.00566","3.49743","52","30","52","30","82","-130","212","82","4673","NaN","26867","120090"
"P02_R2","P02","7","20","19","3.29329","-0.3628","0.7747","0.2079","0.2544","0.0097","0.0175","0.4119","0.0282","0.1023","0.1085","0.9022","0.1143","0.1844","0.1112","0.7746","0.4395","0.7351","0.1138","0.9539","3.6927","0.0996","0.9784","3.5548","1.7774","2.4785","1.7516","0.8527","1.9885","0.00137","0.00137","3.55227","46","29","46","29","75","-136","211","75","4675","NaN","26849","120090"
"P02_R2","P02","8","21","20","3.264872","-0.3561","0.772","0.2124","0.2518","0.0076","0.0163","0.4105","0.0261","0.1014","0.1096","0.8984","0.1167","0.1815","0.1067","0.7719","0.4387","0.7322","0.1153","0.9463","3.6796","0.1005","0.9777","3.4325","1.7162","2.4331","1.7397","0.8498","1.9061","0.01339","0.01339","3.42979","44","29","44","29","73","-138","211","73","4673","NaN","26676","120092"
"P02_R2","P02","9","22","21","3.2958","-0.343","0.7734","0.2082","0.2552","0.0083","0.0171","0.4092","0.0249","0.1011","0.109","0.9007","0.1178","0.1859","0.1109","0.7733","0.4388","0.7337","0.1125","0.9463","3.6947","0.1","0.9788","3.4693","1.7347","2.47","1.7649","0.8447","1.9226","0.01639","0.01639","3.47494","47","32","47","32","79","-135","214","79","4674","NaN","27246","120092"
"P02_R2","P02","10","23","22","3.275146","-0.36","0.7721","0.2115","0.2492","0.0086","0.0184","0.4083","0.0244","0.1034","0.1061","0.9008","0.1132","0.1862","0.1097","0.772","0.4364","0.7327","0.1114","0.9444","3.6782","0.0994","0.9792","3.4853","1.7427","2.4309","1.727","0.8505","1.9666","0.01751","0.01751","3.4897","48","31","48","31","79","-134","213","79","4669","NaN","26430","120090"
"P03","P03","1","2","2","3.02014","-0.3964","0.7249","0.2351","0.1702","0.0659","0.0529","0.1914","0.0266","0.097","0.0355","0.9108","0.0397","0.2012","0.1249","0.7239","0.3327","0.689","0.1103","0.9888","3.3097","0.0966","0.9769","3.4431","1.7216","2.6934","1.5424","0.8215","1.8896","0.27698","0.27698","3.44851","4","-17","4","-17","-13","-178","165","13","62290","NaN","23895","120064"
"P03","P03","2","3","3","3.017822","-0.382","0.7212","0.2378","0.1771","0.0612","0.0555","0.1921","0.012","0.0905","0.0379","0.9054","0.0466","0.195","0.1209","0.7202","0.3322","0.6846","0.1105","0.9812","3.2892","0.0991","0.9765","3.4504","1.7252","2.7366","1.6175","0.8128","1.8622","0.27577","0.27577","3.44713","-4","-9","-4","-9","-13","-186","173","13","62288","NaN","24701","120055"
"P03","P03","3","4","4","2.995424","-0.3907","0.7196","0.2328","0.1803","0.0576","0.0531","0.1927","0.0112","0.0936","0.0381","0.9035","0.0465","0.1945","0.1225","0.7186","0.3312","0.6834","0.1097","0.9733","3.277","0.0982","0.9768","3.4333","1.7166","2.724","1.578","0.8146","1.8677","0.23578","0.23578","3.43924","-3","-10","-3","-10","-13","-185","172","13","62291","NaN","24083","120053"
"P03","P03","4","5","5","3.055234","-0.4069","0.7251","0.2389","0.1818","0.0656","0.0548","0.1914","0.0237","0.0918","0.0378","0.9075","0.048","0.2003","0.125","0.7241","0.3377","0.6875","0.1131","1.0012","3.3291","0.1012","0.9757","3.499","1.7495","2.7782","1.6056","0.8263","1.8842","0.27354","0.27354","3.49786","-2","-13","-2","-13","-15","-184","169","15","62290","NaN","24072","120052"
"P03","P03","5","6","6","3.032772","-0.3776","0.7242","0.2377","0.1774","0.0596","0.0537","0.1923","0.0292","0.0944","0.0383","0.9096","0.0434","0.196","0.124","0.7233","0.3329","0.6874","0.1081","0.9866","3.3041","0.0993","0.9777","3.4844","1.7422","2.7255","1.5676","0.8123","1.8677","0.27389","0.27389","3.48078","13","-21","13","-21","-8","-169","161","8","62289","NaN","23951","120056"
"P03","P03","6","7","7","3.053408","-0.3674","0.7256","0.2346","0.176","0.0604","0.0534","0.193","0.0203","0.093","0.0378","0.9098","0.0468","0.2028","0.1256","0.7246","0.3357","0.6897","0.114","0.9737","3.3087","0.0965","0.9753","3.4819","1.741","2.7606","1.5979","0.8082","1.8622","0.24221","0.24221","3.47975","15","-19","15","-19","-4","-167","163","4","62301","NaN","24513","120053"
"P03","P03","7","8","8","3.021434","-0.3954","0.7227","0.237","0.1779","0.0602","0.055","0.1911","0.0243","0.0977","0.0364","0.9059","0.0491","0.1954","0.1207","0.7216","0.3345","0.6855","0.1144","0.9951","3.3095","0.1001","0.9749","3.4405","1.7203","2.6957","1.5288","0.8192","1.8677","0.27062","0.27062","3.43906","15","-23","15","-23","-8","-167","159","8","62293","NaN","23927","120053"
"P03","P03","8","9","9","3.024892","-0.3635","0.7245","0.2244","0.1819","0.0561","0.0523","0.1926","0.0336","0.095","0.0363","0.9106","0.0423","0.2006","0.1245","0.7236","0.3321","0.6893","0.1123","0.9818","3.3087","0.0947","0.976","3.452","1.726","2.6875","1.5351","0.8071","1.8622","0.24736","0.24736","3.45537","6","-15","6","-15","-9","-176","167","9","62294","NaN","23795","120055"
"P03","P03","9","10","10","3.02495","-0.3927","0.7235","0.2358","0.1768","0.0613","0.0541","0.1918","0.0331","0.0903","0.0363","0.9085","0.0415","0.1966","0.1244","0.7225","0.3328","0.687","0.1112","0.98","3.2945","0.0982","0.9764","3.4614","1.7307","2.7291","1.5495","0.8202","1.8951","0.24419","0.24419","3.45709","4","-12","4","-12","-8","-178","170","8","62285","NaN","23864","120053"
"P03","P03","10","11","11","3.034488","-0.374","0.7255","0.2318","0.1739","0.0691","0.0553","0.1907","0.0345","0.0916","0.0372","0.9116","0.0459","0.2005","0.1239","0.7245","0.333","0.6897","0.1117","0.993","3.3248","0.0963","0.9763","3.5204","1.7602","2.7529","1.6038","0.8106","1.8951","0.24788","0.24788","3.51666","8","-12","8","-12","-4","-174","170","4","62293","NaN","24171","120094"
"P04","P04","1","25","24","3.135824","-0.2879","0.727","0.3009","0.2511","0.07","0.0567","0.159","0.0291","0.2516","0.051","0.8497","0.0465","0.1575","0.1075","0.7259","0.4093","0.6447","0.1462","1.5707","3.479","0.2137","0.9595","3.4819","1.741","2.798","1.5678","0.7773","1.7578","0.03948","0.03948","3.4855","-19","-5","-19","-5","-24","-201","177","24","61170","NaN","26778","120107"
"P04","P04","2","26","25","3.170234","-0.2803","0.7279","0.3091","0.2551","0.069","0.0552","0.1598","0.0272","0.2546","0.0509","0.8457","0.0447","0.1599","0.1085","0.7269","0.4151","0.6426","0.1469","1.5822","3.4917","0.2208","0.9593","3.4901","1.745","2.7672","1.61","0.7754","1.7578","0.03193","0.03193","3.49031","-11","-8","-11","-8","-19","-193","174","19","61177","NaN","27045","120095"
"P04","P04","3","27","26","3.151608","-0.271","0.7328","0.3103","0.2687","0.063","0.0492","0.1611","0.0281","0.2525","0.0493","0.8512","0.0469","0.1624","0.1095","0.732","0.4181","0.646","0.1435","1.5857","3.5083","0.2229","0.9616","3.4691","1.7345","2.7876","1.5513","0.7776","1.7798","-0.01717","0.01717","3.46825","-12","-10","-12","-10","-22","-194","172","22","61185","NaN","26536","120093"
"P04","P04","4","28","27","3.179566","-0.3479","0.7353","0.3044","0.2614","0.0796","0.0533","0.1669","0.0285","0.2488","0.0496","0.8545","0.0476","0.1697","0.1145","0.7343","0.419","0.6513","0.1478","1.5819","3.5421","0.2154","0.9596","3.5155","1.7578","2.7889","1.6117","0.8088","1.8237","0.0654","0.0654","3.51288","-10","-10","-10","-10","-20","-192","172","20","61171","NaN","26379","120094"
"P04","P04","5","29","28","3.17903","-0.3029","0.7342","0.309","0.2593","0.0662","0.0529","0.1636","0.0282","0.2493","0.047","0.8543","0.046","0.1699","0.1153","0.7332","0.4173","0.6501","0.1451","1.5785","3.5286","0.216","0.9609","3.5027","1.7513","2.7597","1.5969","0.7901","1.7798","0.0345","0.0345","3.50035","-5","-8","-5","-8","-13","-187","174","13","61181","NaN","27095","120097"
"P04","P04","6","30","29","3.115472","-0.3136","0.7317","0.2934","0.2609","0.0782","0.0546","0.1645","0.0292","0.2519","0.0492","0.8543","0.0474","0.1705","0.1142","0.7307","0.4128","0.6493","0.1405","1.5877","3.5365","0.2125","0.9631","3.4628","1.7314","2.7737","1.563","0.791","1.7523","0.04343","0.04343","3.46404","-15","-4","-15","-4","-19","-197","178","19","61181","NaN","26531","120095"
"P04","P04","7","31","30","3.138916","-0.2946","0.7309","0.299","0.2584","0.0757","0.0539","0.1621","0.028","0.2507","0.0516","0.8518","0.0492","0.1683","0.1135","0.7299","0.4141","0.6481","0.1447","1.579","3.5223","0.2138","0.9608","3.4799","1.7399","2.7937","1.5601","0.7826","1.7688","0.02789","0.02789","3.49091","-17","-3","-17","-3","-20","-199","179","20","61181","NaN","26588","120093"
