MetricX,MetricY,N,RCentered,PCentered,RDetrended,PDetrended,BatchValid,BatchSameDirection,BatchOppositeDirection,MedianBatchR,AbsRDetrended
BackoffTargetErrorRaw,ApproachTargetErrorRaw,80,-0.540322578559653,2.3017840959409e-07,-0.579063856286883,1.83491598345385e-08,8,6,2,-0.491649206297217,0.579063856286883
BackoffTargetErrorRaw,ApproachObservedDeltaRaw,80,-0.540322578559654,2.30178409594089e-07,-0.579063856286883,1.83491598345385e-08,8,6,2,-0.491649206297217,0.579063856286883
BackoffObservedDeltaRaw,ApproachObservedDeltaRaw,80,-0.540322578559653,2.3017840959409e-07,-0.579063856286882,1.83491598345388e-08,8,6,2,-0.491649206297217,0.579063856286882
BackoffFeedforwardTargetErrorRaw,ApproachReturnErrorRaw,80,0.609421661558549,1.9841163914403e-09,0.578272750847314,1.93858465254831e-08,8,7,1,0.671420705419247,0.578272750847314
BackoffTargetErrorRaw,ApproachReturnErrorRaw,80,0.609421661558549,1.9841163914403e-09,0.578272750847314,1.93858465254831e-08,8,7,1,0.671420705419247,0.578272750847314
ApproachReturnErrorRaw,BackoffObservedDeltaRaw,80,0.609421661558548,1.9841163914403e-09,0.578272750847314,1.93858465254833e-08,8,7,1,0.671420705419245,0.578272750847314
A72,Fitted_P2P_Extended,80,0.387808045761459,0.000379074195803796,0.563861777494368,5.14561312378423e-08,8,7,1,0.331411872532133,0.563861777494368
ClosureErrorDeg,AnalysisStartRaw,80,-0.438077390766328,4.82349164503487e-05,-0.553001203412021,1.04196372437709e-07,8,8,0,-0.489502281960561,0.553001203412021
RMS_AC,TrackingError_RMS_Deg,80,0.504497870437808,1.82811832411609e-06,0.551651969239498,1.13543611362624e-07,8,8,0,0.671823430699699,0.551651969239498
Residual_RMS_H6,TrackingError_RMS_Deg,80,0.500609484540151,2.25758421078797e-06,0.546422437005527,1.57845210036638e-07,8,8,0,0.670137547716876,0.546422437005527
NL_RobustP2P,A1,80,0.620055105021269,8.6006644199489e-10,0.538191398796549,2.62147461111186e-07,8,8,0,0.557474649657047,0.538191398796549
NL_RobustP2P,Fitted_P2P_Extended,80,0.480896355305794,6.32869400639094e-06,0.53711367129626,2.79872367361235e-07,8,8,0,0.521504034474343,0.53711367129626
Motor_System_INL_Deg,TrackingError_MaxAbs_Deg,80,0.535568947524842,3.07266123496293e-07,0.528299584896628,4.73887258603207e-07,8,8,0,0.547885140316407,0.528299584896628
Motor_Error_P2P_Deg,TrackingError_MaxAbs_Deg,80,0.53519218467793,3.14322487358692e-07,0.528069832487332,4.80341973077061e-07,8,8,0,0.547702853884596,0.528069832487332
Residual_RMS_Full,Fitted_P2P_Extended,80,0.327088134936593,0.00306203424576013,0.522092846484748,6.8059710264937e-07,8,7,1,0.592647972265201,0.522092846484748
TrackingError_MaxAbs_Deg,ShadowP2P,80,0.528272199227598,4.74652310083296e-07,0.519171521210841,8.05030832375834e-07,8,8,0,0.530354472157636,0.519171521210841
Residual_RMS_H6,FitExplainedRatio,80,0.365928952294886,0.000843741309221534,0.515117467083445,1.01365485958417e-06,8,6,2,0.467902063750681,0.515117467083445
A36,A72,80,0.56214693674429,5.76168849385697e-08,0.510025077472336,1.34828739508944e-06,8,6,2,0.389403102280218,0.510025077472336
RMS_AC,A72,80,0.38713721305528,0.00038881322296288,0.508800279851897,1.44305352624204e-06,8,6,2,0.259871797323746,0.508800279851897
RMS_AC,FitExplainedRatio,80,0.359609430682898,0.00105231044136805,0.507219544819076,1.57465779014599e-06,8,6,2,0.463367342595404,0.507219544819076
A72,Residual_RMS_H6,80,0.38725401553963,0.000387101192418595,0.506048413954662,1.67936796872774e-06,8,7,1,0.268092028232959,0.506048413954662
Fitted_P2P_Extended,ShadowP2P,80,0.480555222464125,6.43900946918121e-06,0.479956930762376,6.6368523108804e-06,8,7,1,0.615892808789921,0.479956930762376
Fitted_P2P_Extended,Motor_System_INL_Deg,80,0.48159532260466,6.10817658252023e-06,0.47962309059546,6.74971017325022e-06,8,7,1,0.611912330167826,0.47962309059546
Fitted_P2P_Extended,Motor_Error_P2P_Deg,80,0.481667094070295,6.08594614128875e-06,0.479510883252788,6.78804531310157e-06,8,7,1,0.611854712229321,0.479510883252788
NL_RobustP2P,P99_AbsDeviation,80,0.472728950670174,9.52377796497488e-06,0.472750239764085,9.5137665547538e-06,8,8,0,0.486583446347184,0.472750239764085
RMS_AC,Fitted_P2P,80,0.423782708329474,8.96369639533748e-05,0.472430876712961,9.66499044849087e-06,8,7,1,0.621872727027988,0.472430876712961
MeanDC,ClosureErrorDeg,80,-0.441055935690805,4.22429326984744e-05,-0.472302284133699,9.7265145536721e-06,8,7,1,-0.376236472995215,0.472302284133699
A1,Fitted_P2P,80,0.57292297673393,2.80056900357196e-08,0.466217855688043,1.30944970080587e-05,8,7,1,0.471821110893211,0.466217855688043
Residual_RMS_H6,Fitted_P2P,80,0.420509252738719,0.000102906009820522,0.465886368313808,1.33061872649497e-05,8,7,1,0.622362118669748,0.465886368313808
A36,A108,80,0.508665849934433,1.4538288426867e-06,0.46490954830066,1.39487536332063e-05,8,7,1,0.441185068988796,0.46490954830066
A1,A3,80,-0.373059115394499,0.000654055064309512,-0.464127120617311,1.44842522212265e-05,8,6,2,-0.521971288661214,0.464127120617311
RMS_AC,A108,80,0.341985644154886,0.00190369206879528,0.463505338595035,1.49234449087329e-05,8,8,0,0.376913060783065,0.463505338595035
A108,Residual_RMS_H6,80,0.340460273166449,0.00200076566356374,0.459521770693968,1.80462493386202e-05,8,8,0,0.374205720789856,0.459521770693968
