MetricX,MetricY,N,RCentered,PCentered,RDetrended,PDetrended,BatchValid,BatchSameDirection,BatchOppositeDirection,MedianBatchR,AbsRDetrended
A6,Residual_RMS_H6,80,-0.35663640423064,0.0011657561487312,-0.357193534185527,0.00114368850154946,8,6,2,-0.368696460505405,0.357193534185527
NL_RobustP2P,BackoffObservedDeltaRaw,80,0.241629091712999,0.0308278641958383,0.350387882908605,0.00144106212926516,8,7,1,0.282426268826066,0.350387882908605
NL_RobustP2P,BackoffFeedforwardTargetErrorRaw,80,0.241629091712999,0.0308278641958383,0.350387882908605,0.00144106212926517,8,7,1,0.282426268826067,0.350387882908605
NL_RobustP2P,BackoffTargetErrorRaw,80,0.241629091712999,0.0308278641958383,0.350387882908605,0.00144106212926517,8,7,1,0.282426268826067,0.350387882908605
A36,TrackingError_RMS_Deg,80,0.278907452592504,0.0122350885258336,0.350239812932369,0.00144824535237996,8,6,2,0.568002174003885,0.350239812932369
A3,FitExplainedRatio,80,-0.351166169524414,0.00140383233591327,-0.35010849270165,0.00145464306363667,8,7,1,-0.269023763496107,0.35010849270165
A9,A45,80,0.324769440969273,0.00329032618632659,0.348288994312618,0.00154595320547151,8,7,1,0.415192488684826,0.348288994312618
A9,Residual_RMS_H36,80,0.261492142952874,0.0191308526197307,0.34463113293416,0.00174534437601343,8,6,2,0.457590456360522,0.34463113293416
FitExplainedRatio_Extended,ClosureErrorDeg,80,-0.25271460965918,0.023720980439645,-0.341488358706605,0.00193486262121427,8,7,1,-0.301475103281283,0.341488358706605
FitExplainedRatio,AnalysisStartRaw,80,-0.0185017850905796,0.870601562534143,0.336065060714411,0.00230587680460013,8,5,3,0.464787143968869,0.336065060714411
ClosureErrorDeg,AbsClosureErrorDeg,80,-0.268365391108084,0.0160892208696412,-0.331758109738316,0.00264475401051904,8,4,4,-0.0995016502880706,0.331758109738316
ApproachReturnErrorRaw,ApproachObservedDeltaRaw,80,0.33786254352692,0.0021763783994585,0.330285831356301,0.00277044423822153,8,6,2,0.516205164083586,0.330285831356301
ForwardFeedforwardTargetErrorRaw,ApproachReturnErrorRaw,80,0.33786254352692,0.0021763783994585,0.330285831356301,0.00277044423822154,8,6,2,0.516205164083586,0.330285831356301
ApproachTargetErrorRaw,ApproachReturnErrorRaw,80,0.33786254352692,0.0021763783994585,0.330285831356301,0.00277044423822154,8,6,2,0.516205164083586,0.330285831356301
NL_RobustP2P,AbsClosureErrorDeg,80,-0.36998714963957,0.000730418882672314,-0.329914419032215,0.00280298548828922,8,6,2,-0.441721601097418,0.329914419032215
FitExplainedRatio,ClosureErrorDeg,80,-0.298936275452042,0.00706899405041508,-0.32988493259825,0.00280558354487967,8,5,3,-0.306644781704191,0.32988493259825
RMS_AC,A6,80,-0.330037198573083,0.00279219050029579,-0.329165631881568,0.00286963287112174,8,6,2,-0.343131652860757,0.329165631881568
Fitted_P2P_Extended,FitExplainedRatio,80,0.335294428584202,0.0023634849616827,0.328205268764172,0.00295718673540532,8,7,1,0.243142422795686,0.328205268764172
A1,Residual_RMS_Extended,80,-0.338844274328836,0.00210844514140539,-0.328057792251073,0.00297084142282676,8,6,2,-0.0519154600113407,0.328057792251073
Motor_Error_P2P_Deg,P99_AbsDeviation,80,0.331937737656106,0.00262977413631749,0.327495235971564,0.00302344732840961,8,7,1,0.293154566520292,0.327495235971564
