"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"0","ALIGN_RAMP","29532","-3","-16.4794921875","-3","-3000","-3000000","0","537050","537050","0","2897","1336","1253"
"1","ALIGN_RAMP","29529","-6","-32.958984375","-3","-3000","0","200","537051","537051","0","2903","1336","602"
"2","ALIGN_RAMP","29529","-6","-32.958984375","0","0","3000000","400","537052","537052","0","2902","1336","512"
"3","ALIGN_RAMP","29533","-2","-10.986328125","4","4000","4000000","600","537053","537053","0","2902","1336","422"
"4","ALIGN_RAMP","29534","-1","-5.4931640625","1","1000","-3000000","800","537054","537054","0","2902","1336","332"
"5","ALIGN_RAMP","29533","-2","-10.986328125","-1","-1000","-2000000","1000","537055","537055","0","2902","1336","242"
"6","ALIGN_RAMP","29530","-5","-27.4658203125","-3","-3000","-2000000","1200","537056","537056","0","2902","1336","152"
"7","ALIGN_RAMP","29534","-1","-5.4931640625","4","4000","7000000","1400","537057","537057","0","2902","1336","62"
"8","ALIGN_RAMP","29533","-2","-10.986328125","-1","-1000","-5000000","1600","537058","537058","0","2902","1336","2127"
"9","ALIGN_RAMP","29530","-5","-27.4658203125","-3","-3000","-2000000","1800","537059","537059","0","2902","1336","2037"
"10","ALIGN_RAMP","29536","1","5.4931640625","6","6000","9000000","2000","537060","537060","0","2902","1336","1947"
"11","ALIGN_RAMP","29529","-6","-32.958984375","-7","-7000","-13000000","2200","537061","537061","0","2902","1336","1857"
"12","ALIGN_RAMP","29533","-2","-10.986328125","4","4000","11000000","2400","537062","537062","0","2902","1336","1767"
"13","ALIGN_RAMP","29533","-2","-10.986328125","0","0","-4000000","2600","537063","537063","0","2902","1336","1677"
"14","ALIGN_RAMP","29531","-4","-21.97265625","-2","-2000","-2000000","2800","537064","537064","0","2902","1336","1587"
"15","ALIGN_RAMP","29533","-2","-10.986328125","2","2000","4000000","3000","537065","537065","0","2902","1336","1497"
"16","ALIGN_RAMP","29529","-6","-32.958984375","-4","-4000","-6000000","3200","537066","537066","0","2902","1336","1407"
"17","ALIGN_RAMP","29533","-2","-10.986328125","4","4000","8000000","3400","537067","537067","0","2902","1336","1317"
"18","ALIGN_RAMP","29532","-3","-16.4794921875","-1","-1000","-5000000","3600","537068","537068","0","2902","1336","1227"
"19","ALIGN_RAMP","29532","-3","-16.4794921875","0","0","1000000","3800","537069","537069","0","2902","1336","1137"
"20","ALIGN_RAMP","29533","-2","-10.986328125","1","1000","1000000","4000","537070","537070","0","2902","1336","1047"
"21","ALIGN_RAMP","29532","-3","-16.4794921875","-1","-1000","-2000000","4200","537071","537071","0","2902","1336","957"
"22","ALIGN_RAMP","29533","-2","-10.986328125","1","1000","2000000","4400","537072","537072","0","2902","1336","867"
"23","ALIGN_RAMP","29531","-4","-21.97265625","-2","-2000","-3000000","4600","537073","537073","0","2902","1336","777"
"24","ALIGN_RAMP","29534","-1","-5.4931640625","3","3000","5000000","4800","537074","537074","0","2902","1336","687"
"25","ALIGN_RAMP","29537","2","10.986328125","3","3000","0","5000","537075","537075","0","2902","1336","597"
"26","ALIGN_RAMP","29533","-2","-10.986328125","-4","-4000","-7000000","5200","537076","537076","0","2902","1336","507"
"27","ALIGN_RAMP","29533","-2","-10.986328125","0","0","4000000","5400","537077","537077","0","2902","1336","417"
