"Seq","Phase","EncoderRaw","TravelRaw","TravelMilliDeg","DeltaRaw","VelocityRawPerSecond","AccelerationRawPerSecond2","PowerPpm","ScheduledTick","SampleTick","LatenessTicks","LoopCycles","SpiLatencyCycles","PwmCounterAtCs"
"221","ALIGN_RAMP","58857","17","93.3837890625","4","4000","2000000","44200","207097","207097","0","2902","1336","562"
"222","ALIGN_RAMP","58852","12","65.91796875","-5","-5000","-9000000","44400","207098","207098","0","2902","1336","472"
"223","ALIGN_RAMP","58853","13","71.4111328125","1","1000","6000000","44600","207099","207099","0","2902","1336","382"
"224","ALIGN_RAMP","58854","14","76.904296875","1","1000","0","44800","207100","207100","0","2902","1336","292"
"225","ALIGN_RAMP","58856","16","87.890625","2","2000","1000000","45000","207101","207101","0","2902","1336","202"
"226","ALIGN_RAMP","58853","13","71.4111328125","-3","-3000","-5000000","45200","207102","207102","0","2902","1336","112"
"227","ALIGN_RAMP","58852","12","65.91796875","-1","-1000","2000000","45400","207103","207103","0","2902","1336","22"
"228","ALIGN_RAMP","58854","14","76.904296875","2","2000","3000000","45600","207104","207104","0","2902","1336","2087"
"229","ALIGN_RAMP","58858","18","98.876953125","4","4000","2000000","45800","207105","207105","0","2902","1336","1997"
"230","ALIGN_RAMP","58856","16","87.890625","-2","-2000","-6000000","46000","207106","207106","0","2902","1336","1907"
"231","ALIGN_RAMP","58853","13","71.4111328125","-3","-3000","-1000000","46200","207107","207107","0","2902","1336","1817"
"232","ALIGN_RAMP","58853","13","71.4111328125","0","0","3000000","46400","207108","207108","0","2902","1336","1727"
"233","ALIGN_RAMP","58858","18","98.876953125","5","5000","5000000","46600","207109","207109","0","2902","1336","1637"
"234","ALIGN_RAMP","58856","16","87.890625","-2","-2000","-7000000","46800","207110","207110","0","2902","1336","1547"
"235","ALIGN_RAMP","58858","18","98.876953125","2","2000","4000000","47000","207111","207111","0","2902","1336","1457"
"236","ALIGN_RAMP","58857","17","93.3837890625","-1","-1000","-3000000","47200","207112","207112","0","2902","1336","1367"
"237","ALIGN_RAMP","58856","16","87.890625","-1","-1000","0","47400","207113","207113","0","2902","1336","1277"
"238","ALIGN_RAMP","58856","16","87.890625","0","0","1000000","47600","207114","207114","0","2902","1336","1187"
"239","ALIGN_RAMP","58858","18","98.876953125","2","2000","2000000","47800","207115","207115","0","2902","1336","1097"
"240","ALIGN_RAMP","58856","16","87.890625","-2","-2000","-4000000","48000","207116","207116","0","2902","1336","1007"
"241","ALIGN_RAMP","58857","17","93.3837890625","1","1000","3000000","48200","207117","207117","0","2902","1336","917"
"242","ALIGN_RAMP","58859","19","104.3701171875","2","2000","1000000","48400","207118","207118","0","2902","1336","827"
"243","ALIGN_RAMP","58860","20","109.86328125","1","1000","-1000000","48600","207119","207119","0","2902","1336","737"
"244","ALIGN_RAMP","58859","19","104.3701171875","-1","-1000","-2000000","48800","207120","207120","0","2902","1336","647"
"245","ALIGN_RAMP","58858","18","98.876953125","-1","-1000","0","49000","207121","207121","0","2902","1336","557"
"246","ALIGN_RAMP","58860","20","109.86328125","2","2000","3000000","49200","207122","207122","0","2902","1336","467"
"247","ALIGN_RAMP","58858","18","98.876953125","-2","-2000","-4000000","49400","207123","207123","0","2902","1336","377"
"248","ALIGN_RAMP","58859","19","104.3701171875","1","1000","3000000","49600","207124","207124","0","2902","1336","287"
"249","ALIGN_RAMP","58861","21","115.3564453125","2","2000","1000000","49800","207125","207125","0","2902","1336","197"
"250","ALIGN_RAMP","58857","17","93.3837890625","-4","-4000","-6000000","50000","207126","207126","0","2902","1336","107"
"251","ALIGN_RAMP","58858","18","98.876953125","1","1000","5000000","50200","207127","207127","0","2902","1336","17"
"252","ALIGN_RAMP","58859","19","104.3701171875","1","1000","0","50400","207128","207128","0","2902","1336","2082"
"253","ALIGN_RAMP","58860","20","109.86328125","1","1000","0","50600","207129","207129","0","2902","1336","1992"
"254","ALIGN_RAMP","58859","19","104.3701171875","-1","-1000","-2000000","50800","207130","207130","0","2902","1336","1902"
"255","ALIGN_RAMP","58859","19","104.3701171875","0","0","1000000","51000","207131","207131","0","2902","1336","1812"
"256","ALIGN_RAMP","58860","20","109.86328125","1","1000","1000000","51200","207132","207132","0","2902","1336","1722"
"257","ALIGN_RAMP","58859","19","104.3701171875","-1","-1000","-2000000","51400","207133","207133","0","2902","1336","1632"
"258","ALIGN_RAMP","58859","19","104.3701171875","0","0","1000000","51600","207134","207134","0","2902","1336","1542"
