motor_id,jig_a,jig_b,analysis_points,runs_a,runs_b,zero_shift_correlation,best_shift_deg,best_shift_points,best_shift_correlation,second_shift_deg,second_shift_correlation,correlation_margin,shifts_within_0_001_of_best,centered_rmse_zero_shift_deg,centered_rmse_aligned_deg,top5_mean_a_deg,top5_mean_b_deg,top5_delta_b_minus_a_deg,bottom5_mean_a_deg,bottom5_mean_b_deg,bottom5_delta_b_minus_a_deg,robust_nl_a_deg,robust_nl_b_deg,robust_nl_delta_b_minus_a_deg,top5_mean_distance_aligned_deg,top5_max_distance_aligned_deg,bottom5_mean_distance_aligned_deg,bottom5_max_distance_aligned_deg
P05,JIG4,JIG5,360,9,9,0.860517327315275,320.0,320,0.8719507577001535,0.0,0.860517327315275,0.01143343038487854,1,0.40293080568181683,0.3864729213795816,1.6077946666666667,2.070246666666667,0.4624520000000001,-1.6990553333333334,-1.0015666666666667,0.6974886666666666,3.30685,3.0718133333333335,-0.23503666666666634,15.6,39.0,111.6,159.0
P05,JIG4,test-1,360,9,9,0.9620946061535757,0.0,0,0.9620946061535757,320.0,0.9547841691585264,0.0073104369950492964,1,0.21734774423698752,0.21734774423698752,1.6077946666666667,1.8053635555555556,0.1975688888888889,-1.6990553333333334,-1.191187777777778,0.5078675555555554,3.30685,2.9965513333333336,-0.3102986666666663,18.0,30.0,8.0,38.0
P05,JIG4,test-2,360,9,6,0.9177843613628439,0.0,0,0.9177843613628439,320.0,0.8963153858668038,0.0214689754960401,1,0.3118927330466677,0.3118927330466677,1.6077946666666667,1.9342413333333335,0.3264466666666668,-1.6990553333333334,-1.076943,0.6221123333333334,3.30685,3.0111843333333335,-0.2956656666666664,25.6,39.0,79.6,119.0
P05,JIG5,test-1,360,9,9,0.9344572991018839,0.0,0,0.9344572991018839,40.0,0.9227134886059408,0.011743810495943086,1,0.2611177481667424,0.2611177481667424,2.070246666666667,1.8053635555555556,-0.2648831111111112,-1.0015666666666667,-1.191187777777778,-0.18962111111111124,3.0718133333333335,2.9965513333333336,-0.07526199999999994,26.0,39.0,103.6,120.0
P05,JIG5,test-2,360,9,6,0.9834614734136901,0.0,0,0.9834614734136901,40.0,0.937802597057876,0.045658876355814004,1,0.1314905783164107,0.1314905783164107,2.070246666666667,1.9342413333333335,-0.1360053333333333,-1.0015666666666667,-1.076943,-0.07537633333333327,3.0718133333333335,3.0111843333333335,-0.060629000000000044,18.0,30.0,32.0,80.0
P05,test-1,test-2,360,9,6,0.96916096968102,0.0,0,0.96916096968102,40.0,0.9221774407530576,0.046983528927962315,1,0.17903380381354125,0.17903380381354125,1.8053635555555556,1.9342413333333335,0.12887777777777787,-1.191187777777778,-1.076943,0.11424477777777797,2.9965513333333336,3.0111843333333335,0.014632999999999896,8.0,29.0,87.6,120.0
