motor_id,jig_a,jig_b,analysis_points,runs_a,runs_b,zero_shift_correlation,best_shift_deg,best_shift_points,best_shift_correlation,second_shift_deg,second_shift_correlation,correlation_margin,shifts_within_0_001_of_best,centered_rmse_zero_shift_deg,centered_rmse_aligned_deg,top5_mean_a_deg,top5_mean_b_deg,top5_delta_b_minus_a_deg,bottom5_mean_a_deg,bottom5_mean_b_deg,bottom5_delta_b_minus_a_deg,robust_nl_a_deg,robust_nl_b_deg,robust_nl_delta_b_minus_a_deg,top5_mean_distance_aligned_deg,top5_max_distance_aligned_deg,bottom5_mean_distance_aligned_deg,bottom5_max_distance_aligned_deg
P05,JIG4,JIG5,360,9,9,0.860517327315275,320.0,320,0.8719507577001535,0.0,0.860517327315275,0.01143343038487854,1,0.40293080568181683,0.3864729213795816,1.6077946666666667,2.070246666666667,0.4624520000000001,-1.6990553333333334,-1.0015666666666667,0.6974886666666666,3.30685,3.0718133333333335,-0.23503666666666634,15.6,39.0,111.6,159.0
P05,JIG4,JIG8,360,9,3,0.9700085993412757,0.0,0,0.9700085993412757,40.0,0.920405106024899,0.0496034933163767,1,0.19187787844025597,0.19187787844025597,1.6077946666666667,1.4469793333333334,-0.1608153333333333,-1.6990553333333334,-1.7184686666666666,-0.019413333333333282,3.30685,3.165448,-0.1414019999999998,9.6,39.0,0.0,0.0
P05,JIG4,test-2,360,9,18,0.9179146233102553,0.0,0,0.9179146233102553,320.0,0.8861135807628634,0.03180104254739191,1,0.3117314568443821,0.3117314568443821,1.6077946666666667,1.8997575555555555,0.29196288888888877,-1.6990553333333334,-1.1817338888888889,0.5173214444444445,3.30685,3.0814914444444446,-0.22535855555555528,18.0,30.0,55.6,119.0
P05,JIG5,JIG8,360,9,3,0.8679051526558271,40.0,40,0.9223709496344608,80.0,0.8838829619849152,0.03848798764954553,1,0.3772514099042178,0.28946979868833045,2.070246666666667,1.4469793333333334,-0.6232673333333334,-1.0015666666666667,-1.7184686666666666,-0.7169019999999999,3.0718133333333335,3.165448,0.09363466666666653,6.0,29.0,111.6,159.0
P05,JIG5,test-2,360,9,18,0.9776438456637556,0.0,0,0.9776438456637556,40.0,0.9451712007705979,0.03247264489315771,1,0.153521806007951,0.153521806007951,2.070246666666667,1.8997575555555555,-0.1704891111111113,-1.0015666666666667,-1.1817338888888889,-0.18016722222222215,3.0718133333333335,3.0814914444444446,0.009678111111111054,26.0,39.0,40.0,80.0
P05,JIG8,test-2,360,3,18,0.9381478880017037,0.0,0,0.9381478880017037,320.0,0.9355091581287606,0.002638729872943113,1,0.2590586986980834,0.2590586986980834,1.4469793333333334,1.8997575555555555,0.4527782222222221,-1.7184686666666666,-1.1817338888888889,0.5367347777777778,3.165448,3.0814914444444446,-0.08395655555555548,20.0,30.0,55.6,119.0
