motor_id,jig_a,jig_b,analysis_points,runs_a,runs_b,zero_shift_correlation,best_shift_deg,best_shift_points,best_shift_correlation,second_shift_deg,second_shift_correlation,correlation_margin,shifts_within_0_001_of_best,centered_rmse_zero_shift_deg,centered_rmse_aligned_deg,top5_mean_a_deg,top5_mean_b_deg,top5_delta_b_minus_a_deg,bottom5_mean_a_deg,bottom5_mean_b_deg,bottom5_delta_b_minus_a_deg,robust_nl_a_deg,robust_nl_b_deg,robust_nl_delta_b_minus_a_deg,top5_mean_distance_aligned_deg,top5_max_distance_aligned_deg,bottom5_mean_distance_aligned_deg,bottom5_max_distance_aligned_deg
P05,JIG4,JIG5,360,9,9,0.860517327315275,320.0,320,0.8719507577001535,0.0,0.860517327315275,0.01143343038487854,1,0.40293080568181683,0.3864729213795816,1.6077946666666667,2.070246666666667,0.4624520000000001,-1.6990553333333334,-1.0015666666666667,0.6974886666666666,3.30685,3.0718133333333335,-0.23503666666666634,15.6,39.0,111.6,159.0
P05,JIG4,JIG7,360,9,9,0.9299445588304962,0.0,0,0.9299445588304962,320.0,0.9264181180084107,0.0035264408220855303,1,0.2928350296123692,0.2928350296123692,1.6077946666666667,1.5632231111111112,-0.044571555555555475,-1.6990553333333334,-1.0885897777777778,0.6104655555555556,3.30685,2.651812888888889,-0.6550371111111106,35.8,40.0,15.6,78.0
P05,JIG5,JIG7,360,9,9,0.9499959333309769,0.0,0,0.9499959333309769,320.0,0.9298613807192098,0.02013455261176711,1,0.225931198047622,0.225931198047622,2.070246666666667,1.5632231111111112,-0.5070235555555556,-1.0015666666666667,-1.0885897777777778,-0.08702311111111105,3.0718133333333335,2.651812888888889,-0.4200004444444443,15.8,30.0,80.0,119.0
