Group,n,mean,sample_sd,cv_pct,median,mad,robust_sigma,min,max,range,repeatability_limit_2_77sd,slope_deg_per_run,slope_pct_of_mean_per_run,trend_r2,trend_residual_sd,slope_ci95_low,slope_ci95_high
Remount04,3.0,3.097391333333333,0.013669736842138966,0.44133063507438525,3.093794,0.007913999999999977,0.011733296399999964,3.08588,3.1125,0.026619999999999866,0.03786517105272494,0.013309999999999933,0.4297164474104747,0.9480599552700222,0.004405815550685974,-0.026274044359664725,0.05289404435966459
Remount04Low,3.0,3.114171333333333,0.025091708936087625,0.8057266685205169,3.1275,0.0022860000000002323,0.0033892236000003443,3.085228,3.129786,0.04455800000000032,0.06950403375296273,0.02227900000000016,0.7154070092910804,0.7883714798335648,0.01632421614248797,-0.12438589971882474,0.16894389971882506
ALL,6.0,3.1057813333333333,0.02027443575211575,0.6527966259091351,3.103147,0.01759299999999997,0.026083381799999954,3.085228,3.129786,0.04455800000000032,0.05616018703336063,0.008382171428571462,0.26988929769808206,0.5982511866280669,0.014367495978936716,-0.001151968502255964,0.01791631135939889
