point_index,sweep_angle_deg,a1_raw_mean_error_deg,a1_raw_pointwise_sd_deg,a1_centered_mean_error_deg,a1_centered_pointwise_sd_deg,a1_top_selection_rate,a1_bottom_selection_rate,b_raw_mean_error_deg,b_raw_pointwise_sd_deg,b_centered_mean_error_deg,b_centered_pointwise_sd_deg,b_top_selection_rate,b_bottom_selection_rate,a2_raw_mean_error_deg,a2_raw_pointwise_sd_deg,a2_centered_mean_error_deg,a2_centered_pointwise_sd_deg,a2_top_selection_rate,a2_bottom_selection_rate,a_average_raw_mean_error_deg,a_average_centered_mean_error_deg,b_minus_a_raw_error_deg,b_minus_a_centered_error_deg,b_aligned_source_index,b_aligned_source_angle_deg,b_aligned_centered_mean_error_deg,b_minus_a_aligned_centered_error_deg
0,0.0,0.0034800000000000005,0.013358491681323907,-0.3009267222222222,0.015077354161432254,0.0,0.0,0.00064,0.004307632760577438,-0.05541444444444444,0.017786061123773608,0.0,0.0,-0.0023000000000000004,0.012490752579408498,-0.3263703148148148,0.012904085768600823,0.0,0.0,0.00059,-0.3136485185185185,5.000000000000002e-05,0.25823407407407406,0,0.0,-0.05541444444444444,0.25823407407407406
1,1.0,0.5192066666666667,0.0269578213758704,0.21479994444444447,0.030189730937270967,0.0,0.0,0.4708833333333333,0.005242349981957842,0.41482888888888886,0.01004597366935019,0.0,0.0,0.47045000000000003,0.0034589160151700816,0.14637968518518518,0.013839378280474619,0.0,0.0,0.49482833333333337,0.18058981481481484,-0.02394500000000005,0.23423907407407402,1,1.0,0.41482888888888886,0.23423907407407402
2,2.0,0.81906,0.05635907291643468,0.5146532777777778,0.06029092527218274,0.0,0.0,0.7366933333333333,0.0195070559883682,0.6806388888888889,0.03282478907470098,0.0,0.0,0.72526,0.03013776534516118,0.4011896851851852,0.03700373992091224,0.0,0.0,0.77216,0.4579214814814815,-0.035466666666666646,0.22271740740740742,2,2.0,0.6806388888888889,0.22271740740740742
3,3.0,0.9951966666666667,0.03558497482552618,0.6907899444444444,0.03978684023306553,0.0,0.0,0.96738,0.01868089665942187,0.9113255555555556,0.005189738140337854,0.0,0.0,0.9238066666666667,0.010135740393939318,0.5997363518518518,0.006011480173406266,0.0,0.0,0.9595016666666667,0.6452631481481481,0.00787833333333332,0.2660624074074075,3,3.0,0.9113255555555556,0.2660624074074075
4,4.0,0.9740833333333333,0.0899839331955063,0.6696766111111111,0.09137265348352523,0.0,0.0,0.98176,0.03798050684232632,0.9257055555555556,0.02528038944119745,0.0,0.0,0.95083,0.051993188977018955,0.6267596851851852,0.042897633932693885,0.0,0.0,0.9624566666666666,0.6482181481481482,0.01930333333333334,0.2774874074074074,4,4.0,0.9257055555555556,0.2774874074074074
5,5.0,0.3358966666666667,0.03810288221819096,0.03148994444444444,0.03564959320569425,0.0,0.0,0.31246666666666667,0.03239545852945029,0.2564122222222222,0.04091105747389016,0.0,0.0,0.28457666666666664,0.04023586749820777,-0.03949364814814815,0.04609849726084995,0.0,0.0,0.31023666666666666,-0.004001851851851857,0.0022300000000000098,0.2604140740740741,5,5.0,0.2564122222222222,0.2604140740740741
6,6.0,-0.6348033333333333,0.012321153896179236,-0.9392100555555555,0.004352940660995541,0.0,0.0,-0.7132266666666668,0.02607638842580263,-0.7692811111111112,0.015618204051638268,0.0,0.0,-0.68866,0.0067882766590644855,-1.0127303148148148,0.007155152577848565,0.0,0.0,-0.6617316666666666,-0.9759701851851852,-0.05149500000000018,0.206689074074074,6,6.0,-0.7692811111111112,0.206689074074074
7,7.0,-0.8592033333333333,0.021703330005631235,-1.1636100555555555,0.025476386662910973,0.0,0.0,-0.9271266666666667,0.0357356913090167,-0.9831811111111111,0.026838246812436857,0.0,0.0,-0.8728400000000001,0.014735925488410961,-1.1969103148148148,0.007685011427090811,0.0,0.0,-0.8660216666666667,-1.180260185185185,-0.061104999999999965,0.197079074074074,7,7.0,-0.9831811111111111,0.197079074074074
8,8.0,-0.6901366666666666,0.011027956897509794,-0.9945433888888888,0.014920161905523494,0.0,0.0,-0.76648,0.03513168228252101,-0.8225344444444445,0.022962676661601948,0.0,0.0,-0.7054766666666668,0.005455871454986215,-1.0295469814814815,0.006295475637701038,0.0,0.0,-0.6978066666666667,-1.012045185185185,-0.06867333333333336,0.1895107407407406,8,8.0,-0.8225344444444445,0.1895107407407406
9,9.0,-0.4091766666666667,0.007239767491662534,-0.713583388888889,0.009849710213353352,0.0,0.0,-0.50531,0.02545249103722462,-0.5613644444444444,0.012519743785927778,0.0,0.0,-0.42319666666666667,0.013043022400246565,-0.7472669814814815,0.004335339427234151,0.0,0.0,-0.4161866666666667,-0.7304251851851853,-0.08912333333333333,0.16906074074074084,9,9.0,-0.5613644444444444,0.16906074074074084
