leg,motor_id,jig_id,kind,rank,point_index,sweep_angle_deg,mean_error_deg,pointwise_sd_deg,selection_count,selection_rate
A1,p03,JIG1,TOP,1,254,254.0,1.70695,0.012965072309863965,3,1.0
A1,p03,JIG1,TOP,2,294,294.0,1.63566,0.033761917895759413,3,1.0
A1,p03,JIG1,TOP,3,334,334.0,1.5864466666666666,0.012170132839592705,3,1.0
A1,p03,JIG1,TOP,4,253,253.0,1.5527766666666665,0.008277767412372359,3,1.0
A1,p03,JIG1,TOP,5,244,244.0,1.5514733333333333,0.022787475361113002,2,0.6666666666666666
A1,p03,JIG1,BOTTOM,1,107,107.0,-1.0203633333333333,0.01316858509230705,3,1.0
A1,p03,JIG1,BOTTOM,2,106,106.0,-0.98816,0.008039123086506393,3,1.0
A1,p03,JIG1,BOTTOM,3,27,27.0,-0.95996,0.022736585055808188,3,1.0
A1,p03,JIG1,BOTTOM,4,67,67.0,-0.9571533333333333,0.04363932782861503,2,0.6666666666666666
A1,p03,JIG1,BOTTOM,5,347,347.0,-0.9333066666666667,0.026628579258633628,1,0.3333333333333333
B,p03,JIG1,TOP,1,294,294.0,1.4186633333333332,0.01607376848574506,3,1.0
B,p03,JIG1,TOP,2,54,54.0,1.3402333333333332,0.010147868413284347,3,1.0
B,p03,JIG1,TOP,3,94,94.0,1.3286633333333333,0.013458656446069618,3,1.0
B,p03,JIG1,TOP,4,334,334.0,1.31071,0.0107957213746928,3,1.0
B,p03,JIG1,TOP,5,293,293.0,1.27783,0.019700598975665718,3,1.0
B,p03,JIG1,BOTTOM,1,226,226.0,-1.41264,0.09870411693541464,3,1.0
B,p03,JIG1,BOTTOM,2,227,227.0,-1.2830000000000001,0.03283108283319328,3,1.0
B,p03,JIG1,BOTTOM,3,187,187.0,-1.1942333333333333,0.022945623402586678,3,1.0
B,p03,JIG1,BOTTOM,4,106,106.0,-1.1697600000000001,0.013343721369992713,2,0.6666666666666666
B,p03,JIG1,BOTTOM,5,107,107.0,-1.1590066666666667,0.021895804012032383,2,0.6666666666666666
A2,p03,JIG1,TOP,1,254,254.0,1.7366733333333333,0.005609744498043872,3,1.0
A2,p03,JIG1,TOP,2,294,294.0,1.7082333333333333,0.021590188357986418,3,1.0
A2,p03,JIG1,TOP,3,253,253.0,1.60681,0.01495629967605628,3,1.0
A2,p03,JIG1,TOP,4,244,244.0,1.5888066666666667,0.008430873817898922,3,1.0
A2,p03,JIG1,TOP,5,274,274.0,1.5704933333333333,0.004377583046994457,2,0.6666666666666666
A2,p03,JIG1,BOTTOM,1,107,107.0,-0.9915600000000001,0.019497086961902763,3,1.0
A2,p03,JIG1,BOTTOM,2,347,347.0,-0.96814,0.012624765344353927,3,1.0
A2,p03,JIG1,BOTTOM,3,27,27.0,-0.9608666666666666,0.010051986536666929,3,1.0
A2,p03,JIG1,BOTTOM,4,106,106.0,-0.9427666666666666,0.02684503368098712,3,1.0
A2,p03,JIG1,BOTTOM,5,346,346.0,-0.9150366666666666,0.02007301256247632,2,0.6666666666666666
